Serial,Precipitation(mm)
20170101,0
20170102,0
20170103,11.1
20170104,1.6
20170105,0
20170106,3.5
20170107,0.7
20170108,6.7
20170109,0
20170110,0
20170111,2.8
20170112,6.0
20170113,48.4
20170114,21.0
20170115,17.3
20170116,13.0
20170117,0
20170118,0
20170119,3.1
20170120,28.5
20170121,0
20170122,0
20170123,0
20170124,24.3
20170125,8.0
20170126,3.2
20170127,8.5
20170128,17.0
20170129,0
20170130,26.5
20170131,3.5
20170201,1.1
20170202,0
20170203,0
20170204,0
20170205,0.6
20170206,0
20170207,0
20170208,4.0
20170209,6.2
20170210,0
20170211,0
20170212,0
20170213,0
20170214,0
20170215,0
20170216,0
20170217,0
20170218,13.6
20170219,0
20170220,14.7
20170221,8.4
20170222,20.5
20170223,23.0
20170224,59.2
20170225,80.2
20170226,29.0
20170227,0
20170228,4.0
20170301,0.8
20170302,0
20170303,0
20170304,1.0
20170305,0
20170306,19.5
20170307,7.1
20170308,3.0
20170309,3.5
20170310,98.0
20170311,3.3
20170312,0
20170313,8.4
20170314,4.3
20170315,0
20170316,28.0
20170317,17.0
20170318,2.8
20170319,9.0
20170320,0
20170321,3.6
20170322,0.5
20170323,2.4
20170324,0
20170325,36.1
20170326,8.0
20170327,0
20170328,0
20170329,0
20170330,0
20170331,32.5
20170401,10.4
20170402,0
20170403,0
20170404,0
20170405,0
20170406,0.1
20170407,0.1
20170408,0
20170409,0
20170410,0
20170411,15.0
20170412,22.6
20170413,1.0
20170414,0.5
20170415,0
20170416,0
20170417,0
20170418,0.2
20170419,2.8
20170420,0.9
20170421,50.0
20170422,9.5
20170423,0
20170424,0.1
20170425,0
20170426,14.5
20170427,14.2
20170428,0
20170429,0
20170430,0
20170501,0
20170502,0.6
20170503,1.8
20170504,0
20170505,0
20170506,21.5
20170507,0
20170508,0.2
20170509,0.3
20170510,0
20170511,0
20170512,24.9
20170513,31.2
20170514,0
20170515,12.8
20170516,49.5
20170517,10.5
20170518,0
20170519,4.2
20170520,2.0
20170521,7.5
20170522,0
20170523,0
20170524,32.9
20170525,1.3
20170526,0
20170527,15.9
20170528,0.5
20170529,6.3
20170530,5.0
20170531,0.2
20170601,0
20170602,337.6
20170603,73.9
20170604,27.7
20170605,0
20170606,0
20170607,0
20170608,0
20170609,0
20170610,0.6
20170611,3.1
20170612,32.7
20170613,7.1
20170614,88.3
20170615,82.0
20170616,42.8
20170617,76.0
20170618,22.5
20170619,0.1
20170620,0
20170621,26.0
20170622,0
20170623,0
20170624,0
20170625,0
20170626,0
20170627,0
20170628,3.0
20170629,1.5
20170630,0
20170701,4.5
20170702,0
20170703,1.0
20170704,0
20170705,0
20170706,0
20170707,1.0
20170708,0.1
20170709,0
20170710,0
20170711,0
20170712,0
20170713,0
20170714,0
20170715,0
20170716,0
20170717,0
20170718,0
20170719,0
20170720,0
20170721,0
20170722,0
20170723,0
20170724,0
20170725,0
20170726,0
20170727,0
20170728,0.1
20170729,57.0
20170730,4.0
20170731,0.2
20170801,0
20170802,0
20170803,0
20170804,0
20170805,0
20170806,0
20170807,0
20170808,0
20170809,0
20170810,0
20170811,1.5
20170812,0
20170813,0
20170814,0
20170815,0
20170816,0
20170817,0
20170818,0
20170819,0
20170820,0
20170821,6.7
20170822,2.5
20170823,0
20170824,0
20170825,0
20170826,0
20170827,0
20170828,0
20170829,0
20170830,0
20170831,9.5
20170901,32.5
20170902,44.5
20170903,35.0
20170904,0.5
20170905,0
20170906,0
20170907,0
20170908,0.4
20170909,0
20170910,0
20170911,0
20170912,0.4
20170913,7.5
20170914,14.0
20170915,0
20170916,0
20170917,0
20170918,0
20170919,0
20170920,0
20170921,0
20170922,0
20170923,0
20170924,0
20170925,0
20170926,0
20170927,0
20170928,17.5
20170929,36.5
20170930,0
20171001,0
20171002,0
20171003,0.9
20171004,1.0
20171005,3.0
20171006,46.0
20171007,2.0
20171008,31.5
20171009,3.0
20171010,4.5
20171011,28.5
20171012,10.5
20171013,57.5
20171014,76.0
20171015,47.5
20171016,8.5
20171017,9.5
20171018,7.5
20171019,3.0
20171020,37.5
20171021,0.7
20171022,0
20171023,0
20171024,0.3
20171025,0
20171026,0
20171027,0.4
20171028,0
20171029,0
20171030,0.5
20171031,30.0
20171101,60.5
20171102,25.8
20171103,17.5
20171104,18.5
20171105,3.0
20171106,1.0
20171107,0
20171108,9.0
20171109,22.5
20171110,0.5
20171111,50.5
20171112,24.0
20171113,62.0
20171114,26.5
20171115,1.5
20171116,2.5
20171117,0
20171118,33.5
20171119,32.0
20171120,82.5
20171121,27.5
20171122,8.5
20171123,8.9
20171124,1.5
20171125,77.0
20171126,4.5
20171127,14.5
20171128,0
20171129,0
20171130,92.5
20171201,53.0
20171202,49.5
20171203,29.0
20171204,0
20171205,3.0
20171206,5.0
20171207,42.0
20171208,8.5
20171209,7.5
20171210,2.0
20171211,0
20171212,43.0
20171213,30.5
20171214,2.0
20171215,1.0
20171216,47.5
20171217,4.5
20171218,43.0
20171219,22.5
20171220,0.5
20171221,0
20171222,0
20171223,0
20171224,0
20171225,0
20171226,0
20171227,0
20171228,0.3
20171229,16.0
20171230,27.5
20171231,21.0
20180101,1.0
20180102,0.5
20180103,0
20180104,0
20180105,13.0
20180106,48.0
20180107,63.5
20180108,71.5
20180109,15.0
20180110,0
20180111,0
20180112,0
20180113,0.7
20180114,0
20180115,0
20180116,0
20180117,0.5
20180118,21.0
20180119,43.0
20180120,17.5
20180121,15.5
20180122,0.5
20180123,10.5
20180124,6.0
20180125,8.5
20180126,60.0
20180127,4.0
20180128,19.5
20180129,38.5
20180130,41.0
20180131,42.5
20180201,14.5
20180202,28.5
20180203,38.0
20180204,44.0
20180205,25.0
20180206,0
20180207,38.5
20180208,19.5
20180209,5.0
20180210,33.0
20180211,16.5
20180212,0
20180213,0
20180214,0
20180215,0
20180216,0.4
20180217,1.0
20180218,0
20180219,0
20180220,0.1
20180221,24.5
20180222,46.0
20180223,0.5
20180224,0
20180225,12.0
20180226,0.5
20180227,0
20180228,13.0
20180301,0
20180302,0
20180303,0
20180304,0.3
20180305,7.5
20180306,7.5
20180307,3.0
20180308,23.5
20180309,0
20180310,0
20180311,0
20180312,0
20180313,0
20180314,0.2
20180315,4.0
20180316,1.0
20180317,2.5
20180318,0.5
20180319,1.5
20180320,11.0
20180321,1.0
20180322,0
20180323,0
20180324,0
20180325,0
20180326,0
20180327,0
20180328,5.0
20180329,0
20180330,0
20180331,0.9
20180401,0
20180402,0
20180403,0
20180404,0
20180405,0
20180406,10.0
20180407,1.5
20180408,0
20180409,0
20180410,0
20180411,0
20180412,0.5
20180413,0
20180414,18.0
20180415,21.0
20180416,4.5
20180417,14.0
20180418,0
20180419,0
20180420,0
20180421,0
20180422,0
20180423,0
20180424,39.0
20180425,0
20180426,0
20180427,0.2
20180428,0
20180429,0
20180430,0
20180501,0
20180502,22.0
20180503,1.5
20180504,0
20180505,0
20180506,0
20180507,1.5
20180508,21.0
20180509,0
20180510,0
20180511,0
20180512,0
20180513,0
20180514,0
20180515,0
20180516,0
20180517,0
20180518,0
20180519,0
20180520,0
20180521,0
20180522,0
20180523,4.0
20180524,0
20180525,0
20180526,0
20180527,0
20180528,0
20180529,1.5
20180530,0
20180531,0.5
20180601,9.5
20180602,0
20180603,1.0
20180604,0
20180605,1.0
20180606,2.5
20180607,0.5
20180608,7.0
20180609,0
20180610,7.0
20180611,16.0
20180612,0
20180613,0
20180614,6.0
20180615,27.0
20180616,1.0
20180617,29.5
20180618,4.5
20180619,0
20180620,0
20180621,17.5
20180622,95.0
20180623,19.5
20180624,0
20180625,0
20180626,0
20180627,0
20180628,0
20180629,0
20180630,0
20180701,0
20180702,0
20180703,0
20180704,0
20180705,0
20180706,24.0
20180707,0
20180708,0
20180709,0
20180710,22.5
20180711,71.5
20180712,0.5
20180713,0
20180714,0
20180715,0
20180716,6.0
20180717,0.1
20180718,0
20180719,0
20180720,0
20180721,11.0
20180722,0
20180723,0.2
20180724,0
20180725,0
20180726,0
20180727,0
20180728,0
20180729,0
20180730,0
20180731,0
20180801,0
20180802,0
20180803,10.0
20180804,0
20180805,0
20180806,0
20180807,0
20180808,0
20180809,0
20180810,0
20180811,0.5
20180812,6.0
20180813,1.0
20180814,34.0
20180815,0
20180816,0.1
20180817,0
20180818,10.0
20180819,0.5
20180820,0
20180821,0
20180822,0
20180823,2.5
20180824,0.5
20180825,0.2
20180826,0.7
20180827,0.7
20180828,7.0
20180829,0.3
20180830,6.0
20180831,12.0
20180901,0
20180902,0
20180903,0
20180904,0
20180905,0
20180906,0
20180907,0
20180908,191.0
20180909,200.0
20180910,126.0
20180911,0.1
20180912,0
20180913,0
20180914,1.5
20180915,9.0
20180916,2.5
20180917,0
20180918,0
20180919,0
20180920,0
20180921,0
20180922,0
20180923,0.1
20180924,5.5
20180925,9.5
20180926,0.5
20180927,1.2
20180928,3.5
20180929,8.0
20180930,0
20181001,0
20181002,0
20181003,0
20181004,11.5
20181005,5.5
20181006,0
20181007,9.0
20181008,43.0
20181009,27.5
20181010,17.5
20181011,27.0
20181012,47.5
20181013,16.0
20181014,16.0
20181015,3.0
20181016,41.5
20181017,72.5
20181018,8.0
20181019,13.0
20181020,0
20181021,0
20181022,0
20181023,21.0
20181024,0
20181025,0
20181026,1.0
20181027,0
20181028,0
20181029,0
20181030,8.5
20181031,14.5
20181101,29.0
20181102,59.0
20181103,12.5
20181104,4.5
20181105,25.5
20181106,1.5
20181107,0
20181108,0
20181109,16.0
20181110,17.0
20181111,0
20181112,0
20181113,16.5
20181114,0.5
20181115,0
20181116,7.0
20181117,20.5
20181118,0
20181119,12.5
20181120,0
20181121,1.0
20181122,10.5
20181123,16.0
20181124,4.5
20181125,0.2
20181126,5.0
20181127,0
20181128,2.0
20181129,0
20181130,0
20181201,0
20181202,0
20181203,0
20181204,0
20181205,3.0
20181206,12.0
20181207,57.5
20181208,46.5
20181209,54.0
20181210,25.5
20181211,13.0
20181212,3.0
20181213,35.5
20181214,56.5
20181215,7.5
20181216,0
20181217,0
20181218,0
20181219,0
20181220,0
20181221,0
20181222,0
20181223,71.5
20181224,43.0
20181225,17.0
20181226,6.5
20181227,14.0
20181228,6.5
20181229,1.5
20181230,28.0
20181231,76.0
20190101,43.0
20190102,45.0
20190103,40.0
20190104,2.0
20190105,10.0
20190106,47.5
20190107,8.0
20190108,31.5
20190109,9.5
20190110,0
20190111,0
20190112,7.0
20190113,12.5
20190114,1.5
20190115,20.5
20190116,53.0
20190117,12.0
20190118,0
20190119,0
20190120,7.5
20190121,26.5
20190122,4.5
20190123,0
20190124,0
20190125,0
20190126,0
20190127,0.5
20190128,0
20190129,0.1
20190130,0
20190131,0
20190201,0.4
20190202,0
20190203,0
20190204,41.5
20190205,12.5
20190206,0
20190207,0.5
20190208,8.5
20190209,23.5
20190210,18.0
20190211,19.5
20190212,7.0
20190213,1.0
20190214,3.0
20190215,1.0
20190216,14.5
20190217,30.0
20190218,23.0
20190219,0
20190220,0.5
20190221,6.0
20190222,10.5
20190223,5.5
20190224,59.5
20190225,4.5
20190226,0
20190227,0
20190228,2.0
20190301,0.6
20190302,0
20190303,5.0
20190304,0
20190305,0
20190306,6.0
20190307,25.0
20190308,45.5
20190309,32.5
20190310,14.0
20190311,0
20190312,0
20190313,0
20190314,0
20190315,6.5
20190316,0.5
20190317,6.0
20190318,4.0
20190319,0
20190320,0
20190321,0
20190322,20.5
20190323,6.0
20190324,4.0
20190325,14.5
20190326,0
20190327,0
20190328,0
20190329,15.0
20190330,3.0
20190331,0.5
20190401,9.5
20190402,2.0
20190403,2.0
20190404,0.5
20190405,0
20190406,0
20190407,0
20190408,0
20190409,0
20190410,5.5
20190411,18.5
20190412,0.5
20190413,2.5
20190414,2.5
20190415,9.0
20190416,19.5
20190417,0
20190418,0
20190419,3.0
20190420,8.5
20190421,22.5
20190422,0.5
20190423,0
20190424,0
20190425,0
20190426,1.5
20190427,13.0
20190428,0.5
20190429,0
20190430,18.5
20190501,60.5
20190502,12.0
20190503,2.0
20190504,0
20190505,0.2
20190506,45.5
20190507,33.0
20190508,27.5
20190509,27.5
20190510,2.5
20190511,0
20190512,0
20190513,0
20190514,0
20190515,0
20190516,2.5
20190517,19.5
20190518,7.5
20190519,18.5
20190520,76.5
20190521,0
20190522,0
20190523,10.0
20190524,0
20190525,0
20190526,0
20190527,7.0
20190528,52.0
20190529,0
20190530,0
20190531,0
20190601,18.5
20190602,0.2
20190603,1.5
20190604,3.0
20190605,0
20190606,2.5
20190607,43.0
20190608,0
20190609,0
20190610,7.0
20190611,115.5
20190612,41.0
20190613,35.0
20190614,48.5
20190615,0
20190616,0
20190617,0.1
20190618,0.3
20190619,0
20190620,0
20190621,0
20190622,2.0
20190623,50.0
20190624,27.0
20190625,15.0
20190626,17.5
20190627,3.5
20190628,0
20190629,0
20190630,0
20190701,0
20190702,30.5
20190703,27.0
20190704,0
20190705,0
20190706,0.1
20190707,0
20190708,1.0
20190709,0
20190710,0
20190711,1.5
20190712,8.5
20190713,0
20190714,0
20190715,0
20190716,0
20190717,10.0
20190718,8.0
20190719,12.5
20190720,0.2
20190721,0
20190722,2.5
20190723,0
20190724,0.5
20190725,0
20190726,0
20190727,0
20190728,0
20190729,0
20190730,0
20190731,0
20190801,0
20190802,0.1
20190803,0
20190804,0.5
20190805,1.0
20190806,0.9
20190807,11.5
20190808,28.0
20190809,43.0
20190810,0
20190811,0
20190812,0
20190813,0
