Date,Location,AQI
2017-01-01,基隆,37.0
2017-01-01,新莊,37.0
2017-01-01,湖口,45.0
2017-01-01,二林,71.0
2017-01-01,新營,100.0
2017-01-01,屏東,153.0
2017-01-01,士林,39.0
2017-01-01,板橋,31.0
2017-01-01,竹東,63.0
2017-01-01,南投,105.0
2017-01-01,善化,111.0
2017-01-01,潮州,134.0
2017-01-01,中山,36.0
2017-01-01,土城,36.0
2017-01-01,苗栗,58.0
2017-01-01,竹山,119.0
2017-01-01,楠梓,138.0
2017-01-01,恆春,44.0
2017-01-01,松山,37.0
2017-01-01,新店,41.0
2017-01-01,三義,67.0
2017-01-01,崙背,95.0
2017-01-01,左營,111.0
2017-01-01,宜蘭,35.0
2017-01-01,萬華,40.0
2017-01-01,萬里,38.0
2017-01-01,西屯,84.0
2017-01-01,斗六,107.0
2017-01-01,前金,112.0
2017-01-01,冬山,28.0
2017-01-01,古亭,40.0
2017-01-01,桃園,36.0
2017-01-01,忠明,89.0
2017-01-01,嘉義,121.0
2017-01-01,小港,142.0
2017-01-01,花蓮,38.0
2017-01-01,淡水,35.0
2017-01-01,大園,40.0
2017-01-01,豐原,71.0
2017-01-01,新港,94.0
2017-01-01,美濃,135.0
2017-01-01,臺東,29.0
2017-01-01,林口,48.0
2017-01-01,平鎮,43.0
2017-01-01,沙鹿,86.0
2017-01-01,朴子,78.0
2017-01-01,仁武,109.0
2017-01-01,馬祖,50.0
2017-01-01,菜寮,38.0
2017-01-01,龍潭,58.0
2017-01-01,大里,110.0
2017-01-01,安南,93.0
2017-01-01,大寮,120.0
2017-01-01,金門,72.0
2017-01-01,汐止,38.0
2017-01-01,新竹,57.0
2017-01-01,彰化,96.0
2017-01-01,臺南,108.0
2017-01-01,林園,108.0
2017-01-01,馬公,138.0
2017-01-02,基隆,51.0
2017-01-02,新莊,58.0
2017-01-02,湖口,90.0
2017-01-02,二林,81.0
2017-01-02,新營,137.0
2017-01-02,屏東,153.0
2017-01-02,士林,53.0
2017-01-02,板橋,57.0
2017-01-02,竹東,73.0
2017-01-02,南投,130.0
2017-01-02,善化,153.0
2017-01-02,潮州,120.0
2017-01-02,中山,52.0
2017-01-02,土城,60.0
2017-01-02,苗栗,92.0
2017-01-02,竹山,136.0
2017-01-02,楠梓,155.0
2017-01-02,恆春,44.0
2017-01-02,松山,53.0
2017-01-02,新店,54.0
2017-01-02,三義,81.0
2017-01-02,崙背,119.0
2017-01-02,左營,156.0
2017-01-02,宜蘭,38.0
2017-01-02,萬華,56.0
2017-01-02,萬里,46.0
2017-01-02,西屯,112.0
2017-01-02,斗六,137.0
2017-01-02,前金,154.0
2017-01-02,冬山,40.0
2017-01-02,古亭,68.0
2017-01-02,桃園,64.0
2017-01-02,忠明,112.0
2017-01-02,嘉義,154.0
2017-01-02,小港,158.0
2017-01-02,花蓮,37.0
2017-01-02,淡水,60.0
2017-01-02,大園,72.0
2017-01-02,豐原,93.0
2017-01-02,新港,118.0
2017-01-02,美濃,126.0
2017-01-02,臺東,29.0
2017-01-02,林口,86.0
2017-01-02,平鎮,63.0
2017-01-02,沙鹿,112.0
2017-01-02,朴子,93.0
2017-01-02,仁武,122.0
2017-01-02,馬祖,80.0
2017-01-02,菜寮,65.0
2017-01-02,龍潭,75.0
2017-01-02,大里,117.0
2017-01-02,安南,136.0
2017-01-02,大寮,132.0
2017-01-02,金門,118.0
2017-01-02,汐止,59.0
2017-01-02,新竹,95.0
2017-01-02,彰化,121.0
2017-01-02,臺南,153.0
2017-01-02,林園,87.0
2017-01-02,馬公,49.0
2017-01-03,基隆,35.0
2017-01-03,新莊,31.0
2017-01-03,湖口,49.0
2017-01-03,二林,68.0
2017-01-03,新營,115.0
2017-01-03,屏東,152.0
2017-01-03,士林,37.0
2017-01-03,板橋,32.0
2017-01-03,竹東,35.0
2017-01-03,南投,105.0
2017-01-03,善化,103.0
2017-01-03,潮州,137.0
2017-01-03,中山,37.0
2017-01-03,土城,38.0
2017-01-03,苗栗,58.0
2017-01-03,竹山,125.0
2017-01-03,楠梓,155.0
2017-01-03,恆春,42.0
2017-01-03,松山,31.0
2017-01-03,新店,39.0
2017-01-03,三義,52.0
2017-01-03,崙背,103.0
2017-01-03,左營,152.0
2017-01-03,宜蘭,39.0
2017-01-03,萬華,42.0
2017-01-03,萬里,41.0
2017-01-03,西屯,83.0
2017-01-03,斗六,135.0
2017-01-03,前金,152.0
2017-01-03,冬山,36.0
2017-01-03,古亭,52.0
2017-01-03,桃園,40.0
2017-01-03,忠明,91.0
2017-01-03,嘉義,151.0
2017-01-03,小港,155.0
2017-01-03,花蓮,33.0
2017-01-03,淡水,33.0
2017-01-03,大園,48.0
2017-01-03,豐原,69.0
2017-01-03,新港,114.0
2017-01-03,美濃,119.0
2017-01-03,臺東,28.0
2017-01-03,林口,60.0
2017-01-03,平鎮,32.0
2017-01-03,沙鹿,75.0
2017-01-03,朴子,113.0
2017-01-03,仁武,137.0
2017-01-03,馬祖,137.0
2017-01-03,菜寮,40.0
2017-01-03,龍潭,38.0
