county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
南投縣,2024,10,1,南投,0.4895969,0.529,0.21627334,0.216,21.179405,22.387,23.412273,24.821,20.678835,23.417,7.102221,6.104,7.657213,9.292,24.861,30.169,33.875
南投縣,2024,10,2,南投,0.6428004,0.946,0.20143849,0.196,25.837189,33.075,24.619318,33.583,18.041107,12.375,6.6498704,3.946,7.68131,5.542,24.939,17.994,30.292
南投縣,2024,10,3,南投,0.72898495,0.55,0.2424756,0.256,29.019672,36.158,27.669153,35.021,15.421146,11.375,5.9813695,8.958,7.4280586,4.792,24.117,15.558,33.083
南投縣,2024,10,4,南投,0.56930107,0.442,0.24300395,0.211,27.04685,33.633,26.825607,33.771,15.9457245,19.292,10.511704,8.058,6.185147,8.417,20.082,27.328,31.25
南投縣,2024,10,5,南投,0.68282074,0.904,0.2296277,0.168,25.546661,28.621,26.570711,29.433,21.830439,21.458,9.339058,3.321,8.555036,10.667,27.776,34.633,34.208
南投縣,2024,10,6,南投,0.74373615,0.296,0.21198158,0.201,27.778967,28.9,28.308393,28.367,19.585382,25.167,5.9127803,6.046,10.423632,12.083,33.843,39.231,38.125
南投縣,2024,10,7,南投,0.46968925,1.154,0.21195203,0.218,24.359203,32.554,24.773119,32.879,21.014292,16.25,7.6681213,8.442,9.560581,8.167,31.041,26.516,35.042
南投縣,2024,10,8,南投,0.88817257,0.926,0.24815571,0.289,28.590052,35.054,28.42055,34.652,17.175707,21.391,9.872332,12.174,7.8984127,8.913,25.644,28.938,34.958
南投縣,2024,10,9,南投,0.90078443,1.2,0.26390383,0.255,27.377602,39.296,30.732105,40.646,25.532194,26.565,12.045328,9.27,10.426796,12.696,33.853,41.221,44.0
南投縣,2024,10,10,南投,0.930331,1.725,0.27746534,0.314,33.109936,42.125,35.665276,41.825,29.162283,31.583,10.878054,11.188,13.648204,16.125,44.312,52.539,58.958
南投縣,2024,10,11,南投,1.0993513,1.0,0.29814604,0.331,32.85588,42.083,35.582184,41.392,33.95395,35.333,11.4442215,8.771,18.09274,20.625,57.384,63.619,74.417
南投縣,2024,10,12,南投,0.92607236,1.1,0.3050024,0.29,30.940353,33.908,32.824577,33.367,36.34515,34.125,9.894978,6.029,19.24847,19.667,60.23,61.26,61.333
南投縣,2024,10,13,南投,0.92825145,0.787,0.2931105,0.314,31.91178,36.679,32.042774,37.138,34.573055,36.458,7.8235435,8.825,21.367855,21.083,65.448,64.747,70.0
南投縣,2024,10,14,南投,0.7807343,1.225,0.30451405,0.364,32.90307,38.188,34.608025,37.854,37.0855,39.917,9.605506,9.867,20.631765,22.083,63.636,67.209,72.375
南投縣,2024,10,15,南投,0.8982692,0.963,0.33169845,0.36,31.95184,35.071,33.012104,33.604,39.702755,42.565,10.366135,10.596,22.075474,24.043,67.191,72.036,75.083
南投縣,2024,10,16,南投,0.7911652,0.612,0.33238187,0.322,31.841831,35.129,32.65548,37.521,41.211517,45.167,10.495457,9.221,22.7686,26.25,68.898,77.47,75.0
南投縣,2024,10,17,南投,0.56853247,1.158,0.333839,0.347,34.137985,40.654,34.31366,38.033,46.88705,49.625,9.683797,10.129,27.20072,27.292,79.811,80.036,83.0
南投縣,2024,10,18,南投,0.6584555,1.05,0.3153904,0.366,30.96753,31.7,32.25482,32.871,42.87712,40.583,10.505734,9.938,22.973486,25.25,69.402,75.008,75.625
南投縣,2024,10,19,南投,0.92774266,0.979,0.32371148,0.305,26.948456,35.229,27.165524,35.379,31.174578,22.25,9.671185,6.575,16.46375,12.458,53.373,40.448,49.0
南投縣,2024,10,20,南投,0.7612845,0.858,0.31724742,0.291,28.021366,35.875,27.436823,35.275,27.103899,26.625,8.867166,10.9,11.565683,11.75,37.551,38.149,40.75
南投縣,2024,10,21,南投,0.86286354,1.848,0.2956344,0.288,26.955208,29.275,28.68495,29.083,29.931398,33.826,11.145276,9.317,13.716572,13.174,44.534,42.773,47.25
南投縣,2024,10,22,南投,0.8653457,1.025,0.25018418,0.321,24.64447,29.238,23.368334,30.188,21.761955,23.13,9.468004,10.148,7.1124225,5.609,23.092,23.13,28.958
南投縣,2024,10,23,南投,0.91984373,0.779,0.2738989,0.277,30.581161,28.617,27.19374,27.479,20.1645,19.0,11.250116,9.825,6.3517995,4.542,20.623,19.0,28.5
南投縣,2024,10,24,南投,0.7010116,0.525,0.29293284,0.251,27.836983,31.233,25.402393,29.233,23.203157,25.333,10.973219,10.329,7.060518,10.25,23.203,33.279,38.25
南投縣,2024,10,25,南投,0.7440645,1.394,0.301942,0.3,25.431152,20.921,27.277386,20.588,31.680271,40.958,11.233244,9.825,15.315001,18.5,49.724,58.387,56.5
南投縣,2024,10,26,南投,0.85587937,0.429,0.30727735,0.275,25.830486,23.196,26.134089,23.771,39.369373,41.667,10.307827,8.738,20.34174,19.0,62.922,59.618,60.5
南投縣,2024,10,27,南投,0.5937681,1.062,0.27527398,0.266,24.553429,20.925,23.250086,22.433,28.687304,27.375,9.639164,11.417,10.430738,11.0,33.866,35.714,40.0
南投縣,2024,10,28,南投,0.908042,1.171,0.2256334,0.31,27.263866,37.896,26.6199,38.163,20.283005,20.833,11.054413,9.762,8.612764,9.583,27.964,31.114,35.208
南投縣,2024,10,29,南投,1.1359477,0.835,0.31478155,0.237,32.418694,38.154,30.123816,36.55,22.43736,16.609,11.184917,10.217,12.165596,6.435,39.499,20.893,34.917
南投縣,2024,10,30,南投,0.47995126,0.314,0.27494073,0.157,24.64441,21.567,21.648035,21.354,13.07693,12.458,9.2864065,5.033,6.9678397,2.583,22.623,12.458,19.625
南投縣,2024,10,31,南投,1.0621758,0.852,0.22940457,0.264,26.79597,31.621,30.502836,32.117,10.163252,22.917,5.512719,7.0,3.4365363,11.583,11.158,37.607,35.75
南投縣,2024,11,1,南投,0.42570055,1.142,0.24415474,0.364,27.322193,28.896,38.49031,27.675,25.936613,25.917,5.586044,12.654,18.48024,13.333,58.338,43.289,47.167
南投縣,2024,11,2,南投,1.1161386,0.821,0.296027,0.334,24.773827,26.517,29.187508,28.975,26.07968,30.917,11.481093,11.046,12.546168,15.875,40.734,51.923,45.208
南投縣,2024,11,3,南投,0.8751538,1.379,0.33026665,0.337,29.305185,31.829,30.657036,31.162,37.8814,39.583,11.7694435,11.983,20.1441,19.792,62.435,61.568,64.958
南投縣,2024,11,4,南投,1.0384592,1.358,0.29603422,0.296,24.312462,30.779,27.784494,31.475,27.411806,25.958,11.0177,13.533,11.8421135,12.25,38.448,39.773,40.125
南投縣,2024,11,5,南投,0.97241956,1.278,0.31378454,0.222,25.281223,40.8,26.569332,40.922,23.724337,22.478,11.669662,9.165,10.341879,8.783,33.578,28.516,38.5
南投縣,2024,11,6,南投,0.93137604,1.375,0.2683804,0.222,32.79241,36.692,32.436794,35.462,20.233835,18.083,12.4629135,11.754,8.139435,7.792,26.427,25.299,33.625
南投縣,2024,11,7,南投,0.9344162,1.154,0.23729034,0.275,23.393906,26.233,25.83972,24.775,20.967812,17.958,12.336937,14.438,7.202632,9.708,23.385,31.519,30.208
南投縣,2024,11,8,南投,1.15535,0.867,0.2721057,0.285,20.731697,21.562,23.550201,21.171,21.914412,20.5,12.767276,10.817,9.94102,11.958,32.276,38.825,38.667
南投縣,2024,11,9,南投,0.892902,0.829,0.2897464,0.288,22.045015,18.804,24.93165,18.342,24.855051,23.125,10.774546,10.283,12.290286,14.0,39.904,45.455,44.792
南投縣,2024,11,10,南投,0.6783815,1.367,0.28469896,0.289,20.262932,24.758,20.513918,25.542,20.494211,22.458,9.069458,11.996,10.178541,10.625,33.047,34.497,36.208
