county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
新竹市,2024,10,1,新竹,1.422189,0.967,0.25141916,0.181,28.103767,35.371,28.507908,38.546,21.642427,22.625,9.955027,5.017,7.8382306,4.875,25.449,22.625,33.583
新竹市,2024,10,2,新竹,0.93624485,0.838,0.16624801,0.169,41.258125,44.904,42.309475,44.738,23.383474,10.292,7.1334352,3.825,8.808805,2.125,28.6,10.292,41.458
新竹市,2024,10,3,新竹,0.6508123,0.442,0.2360127,0.197,38.467438,44.921,41.66695,44.358,14.344929,9.042,7.294039,5.325,7.5530457,3.0,24.523,9.74,41.292
新竹市,2024,10,4,新竹,0.60375124,1.196,0.19707438,0.291,35.888752,32.825,39.134518,30.846,9.899216,19.542,5.5538187,9.6,2.201415,5.125,9.899,19.542,30.583
新竹市,2024,10,5,新竹,1.0543727,1.621,0.2679222,0.244,19.777086,22.667,19.469568,20.429,19.000292,21.042,10.383474,8.021,6.0034246,6.292,19.492,21.042,28.25
新竹市,2024,10,6,新竹,0.8826145,0.961,0.2517306,0.222,16.26912,12.85,15.72682,14.987,15.763897,13.087,6.4766765,9.209,5.187738,4.565,16.843,15.348,18.292
新竹市,2024,10,7,新竹,0.36632,1.404,0.2218658,0.236,21.755745,37.971,22.823584,41.283,15.549215,6.417,9.617703,8.154,6.8567724,2.667,22.262,13.59,34.75
新竹市,2024,10,8,新竹,0.90919995,1.392,0.25170934,0.276,40.968395,44.1,44.003,42.038,12.225154,19.833,8.46614,10.338,5.593743,6.542,18.162,21.24,40.333
新竹市,2024,10,9,新竹,1.1581609,1.558,0.27568838,0.247,36.701195,51.562,41.409515,53.692,22.19653,22.833,11.782725,7.204,8.86455,9.625,28.781,31.25,49.833
新竹市,2024,10,10,新竹,1.494734,1.809,0.31439275,0.268,47.538963,55.542,53.25186,54.975,22.467073,23.042,9.399827,8.367,7.2370377,9.167,23.497,29.763,57.167
新竹市,2024,10,11,新竹,1.226983,1.474,0.3081537,0.235,42.9654,44.833,45.30332,42.387,20.258211,15.375,9.171453,8.013,5.74784,3.5,20.258,15.375,41.25
