county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
澎湖縣,2024,10,1,馬公,0.5684271,1.688,0.17049555,0.159,36.946594,46.146,37.52079,47.825,21.46038,34.542,2.974717,1.204,8.001955,11.292,25.98,36.662,43.375
澎湖縣,2024,10,2,馬公,0.789866,0.946,0.08888933,0.141,49.60536,51.012,47.80799,50.542,36.429363,22.043,1.5190758,1.042,12.896428,8.083,41.872,26.244,46.583
澎湖縣,2024,10,3,馬公,0.28436643,0.946,0.14706238,0.155,50.976826,50.133,49.12405,50.296,19.927444,11.13,1.7692538,1.336,9.392745,2.043,30.496,11.13,45.708
澎湖縣,2024,10,4,馬公,0.493594,1.283,0.15996033,0.152,50.305897,48.254,49.1297,47.888,16.306934,12.0,1.915445,2.65,7.2620783,4.625,23.578,15.016,44.25
澎湖縣,2024,10,5,馬公,0.8425472,1.275,0.13047794,0.131,42.44796,37.575,40.165874,35.779,9.069155,18.458,2.8775845,3.042,4.264225,6.042,13.845,19.617,34.5
澎湖縣,2024,10,6,馬公,1.0291183,1.383,0.12087958,0.107,27.584154,29.054,26.340668,30.212,13.081562,14.25,2.5568912,2.433,5.566018,4.857,18.071,15.769,26.5
澎湖縣,2024,10,7,馬公,0.8615852,1.291,0.11630839,0.17,36.03932,48.579,38.339863,51.486,13.364214,12.913,3.8154862,1.991,8.915492,5.091,28.946,16.529,45.417
澎湖縣,2024,10,8,馬公,0.6542042,1.05,0.16258514,0.19,55.457836,55.108,53.19542,54.808,17.920599,21.083,2.4715998,1.875,8.649169,9.042,28.082,29.357,52.833
澎湖縣,2024,10,9,馬公,0.752546,1.621,0.19708712,0.203,58.25847,64.562,57.036396,67.279,25.666742,20.167,2.2263966,2.454,12.630849,12.125,41.009,39.367,80.417
澎湖縣,2024,10,10,馬公,0.9501237,1.708,0.21580285,0.206,68.31239,69.071,65.00948,67.433,23.869394,21.708,2.2008038,1.483,13.832109,10.375,44.909,33.685,94.833
澎湖縣,2024,10,11,馬公,0.71912664,1.267,0.1580553,0.138,56.538136,57.312,57.395126,54.742,24.51746,17.042,1.6492243,1.354,9.799155,6.208,31.815,20.156,58.625
澎湖縣,2024,10,12,馬公,0.63543576,1.113,0.12444152,0.14,45.372013,45.05,44.721684,44.367,17.82559,18.875,1.6164446,1.783,6.677414,8.625,21.68,28.003,41.542
澎湖縣,2024,10,13,馬公,0.55372524,1.179,0.13675925,0.155,43.01551,42.125,41.41169,42.733,16.109716,22.333,2.3419375,2.279,7.9907036,10.958,25.944,35.578,42.042
澎湖縣,2024,10,14,馬公,0.54278,1.404,0.106522635,0.138,42.726986,44.521,40.573147,43.892,16.381346,18.0,2.9837587,2.121,8.112124,6.833,26.338,22.185,40.667
澎湖縣,2024,10,15,馬公,0.9082133,1.826,0.14540975,0.131,37.866276,39.392,36.905865,38.308,11.2308655,18.391,2.405942,2.0,5.926956,7.478,19.243,24.279,35.833
澎湖縣,2024,10,16,馬公,0.6794212,1.162,0.09405302,0.147,36.90631,40.729,36.61412,40.854,13.551434,23.458,2.5470567,2.108,6.9361935,10.833,22.52,35.172,37.833
澎湖縣,2024,10,17,馬公,0.35205048,1.242,0.10673222,0.14,37.07927,34.558,35.31944,35.421,14.858666,19.792,2.9705954,3.121,6.38552,9.917,20.732,32.198,33.375
澎湖縣,2024,10,18,馬公,0.49585408,1.296,0.1254344,0.135,34.950863,38.058,34.328117,37.879,12.137689,17.0,3.5506785,2.421,7.6418424,9.167,24.811,29.763,34.75
澎湖縣,2024,10,19,馬公,0.5652151,1.833,0.119016394,0.187,38.64178,44.988,38.897354,45.846,12.520754,24.833,2.644382,1.554,8.759352,9.667,28.439,31.386,41.667
