county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
臺南市,2024,10,1,善化,0.20346966,0.508,0.11788792,0.153,21.754015,25.429,17.625006,26.167,16.316738,14.417,5.6285086,5.188,8.901184,9.708,28.9,31.519,30.625
臺南市,2024,10,2,善化,0.7762729,0.963,0.12863106,0.148,26.161627,34.142,26.059664,33.838,13.78763,17.333,5.8057756,3.471,6.6995697,8.917,21.752,28.951,31.958
臺南市,2024,10,3,善化,1.0634522,0.758,0.19326097,0.174,31.123365,34.683,30.717281,34.892,14.811863,16.0,6.6696353,5.104,7.441071,8.417,24.159,27.328,33.0
臺南市,2024,10,4,善化,1.0611544,1.161,0.1880416,0.158,31.61783,34.271,31.004671,34.85,17.05613,19.375,7.4315963,4.832,9.904356,9.875,32.157,32.062,33.25
臺南市,2024,10,5,善化,1.1431726,0.912,0.18668675,0.143,33.64881,32.333,32.403122,31.275,23.127483,20.708,5.757282,3.617,13.375364,12.042,43.427,39.097,43.292
臺南市,2024,10,6,善化,0.88795733,1.139,0.14910996,0.121,24.561384,26.408,23.453661,26.732,16.600431,13.174,3.873038,4.087,9.477754,8.435,30.772,27.386,28.125
臺南市,2024,10,7,善化,0.9854456,2.129,0.15473196,0.163,30.164297,32.496,29.55965,33.888,18.526031,24.083,4.543278,5.638,12.569666,13.833,40.811,44.912,41.792
臺南市,2024,10,8,善化,1.5619591,1.767,0.20977235,0.24,35.445274,36.925,33.442726,36.533,31.067125,27.667,6.544763,8.021,18.030458,17.458,57.231,55.821,56.458
臺南市,2024,10,9,善化,1.4288492,1.35,0.25045496,0.248,36.51401,41.258,33.672276,43.633,33.72811,41.083,8.310887,7.275,19.104528,21.417,59.875,65.569,68.25
臺南市,2024,10,10,善化,1.6506788,2.288,0.28065112,0.285,44.460503,48.325,41.127563,47.113,46.92885,49.125,10.527402,8.721,23.574194,27.333,70.881,80.137,83.208
臺南市,2024,10,11,善化,1.7881684,1.404,0.31244653,0.291,41.756184,45.017,37.175896,43.917,46.65408,44.875,9.752774,7.783,25.583826,23.958,75.83,71.826,83.875
臺南市,2024,10,12,善化,1.419222,1.171,0.2708035,0.258,38.857365,40.633,36.009506,39.604,38.330326,37.542,8.342229,7.171,19.802946,22.375,61.595,67.928,72.375
臺南市,2024,10,13,善化,1.1990826,0.942,0.25740245,0.248,35.423264,42.512,33.964397,42.646,39.979168,33.5,7.642098,7.704,21.602419,21.917,66.026,66.801,70.958
臺南市,2024,10,14,善化,1.1350193,1.409,0.25595605,0.21,37.029667,33.596,34.978638,34.071,37.313354,39.783,7.976558,7.278,21.553377,23.217,65.905,70.002,68.833
臺南市,2024,10,15,善化,1.2999296,0.958,0.20581022,0.215,34.340782,37.337,32.414837,35.692,41.39545,39.25,7.4318414,7.946,22.014212,21.667,67.04,66.185,68.25
臺南市,2024,10,16,善化,1.2190945,1.175,0.2161462,0.239,33.02199,38.55,32.55128,40.408,40.652225,41.833,7.7420163,8.025,21.443258,24.042,65.634,72.033,68.667
臺南市,2024,10,17,善化,1.244222,1.042,0.25243634,0.202,37.218163,37.042,35.081192,35.067,43.582672,37.125,8.157303,6.95,22.80959,22.333,68.998,67.825,69.708
