county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
連江縣,2024,10,1,馬祖,0.25187376,0.421,0.08408281,0.183,33.864952,42.529,33.676704,44.438,22.357107,16.417,3.1326184,2.808,9.022727,7.583,29.295,24.62,38.917
連江縣,2024,10,2,馬祖,-0.30298933,0.646,0.18806025,0.18,46.873486,52.321,44.796906,52.5,23.06657,24.292,3.7116563,2.883,10.394116,11.583,33.747,37.607,47.833
連江縣,2024,10,3,馬祖,0.78683794,0.671,0.1942155,0.154,47.71676,49.033,45.257584,47.204,24.181932,16.043,3.787748,2.829,11.010316,7.0,35.748,22.727,44.75
連江縣,2024,10,4,馬祖,2.1856306,0.504,0.1216112,0.183,37.295013,37.408,34.19559,36.271,10.798832,11.583,2.5623677,3.612,7.2985935,4.167,23.697,13.529,33.958
連江縣,2024,10,5,馬祖,0.4703565,0.412,0.18934736,0.18,32.4351,28.983,28.34423,30.579,12.101108,16.375,4.876877,4.121,3.2745335,7.125,12.101,23.133,26.917
連江縣,2024,10,6,馬祖,-0.23689495,0.717,0.17729193,0.205,36.389187,42.771,35.842728,43.108,18.066938,19.083,2.9149945,3.867,7.5368605,8.417,24.47,27.328,39.708
連江縣,2024,10,7,馬祖,-0.42828402,0.226,0.22939762,0.204,42.193035,48.146,40.429996,48.482,18.555075,13.609,3.6990774,3.143,7.9734106,4.696,25.888,15.247,44.208
連江縣,2024,10,8,馬祖,-0.88124907,0.8,0.23318517,0.266,50.451855,53.683,51.050182,55.817,21.666643,34.792,3.4794905,4.442,9.288156,18.333,30.156,57.976,61.167
連江縣,2024,10,9,馬祖,1.5292383,0.883,0.30176598,0.255,60.809658,64.508,60.73108,66.396,36.962055,38.208,3.9016173,4.112,17.54511,22.083,56.036,67.209,85.458
連江縣,2024,10,10,馬祖,1.2113134,1.25,0.3001195,0.304,72.624146,87.908,78.53759,88.304,42.789303,48.333,3.5519426,4.933,24.658367,28.625,73.551,83.318,153.833
連江縣,2024,10,11,馬祖,0.4917623,0.738,0.26357841,0.287,74.6573,70.196,70.7643,66.517,38.194527,37.304,3.6151445,4.35,16.186132,19.826,52.689,61.652,98.375
連江縣,2024,10,12,馬祖,0.449572,0.787,0.20592332,0.139,49.24604,49.383,47.06816,48.638,23.437838,30.042,4.121982,2.917,9.434268,14.667,30.631,47.62,48.625
連江縣,2024,10,13,馬祖,1.205628,1.058,0.18988857,0.187,48.760242,41.333,46.496468,40.167,28.713112,29.458,3.1902382,3.196,13.530475,17.042,43.93,54.797,55.875
連江縣,2024,10,14,馬祖,0.9717757,0.771,0.21355787,0.188,37.095615,39.396,37.116013,40.117,23.017471,27.833,3.531048,4.783,11.405486,13.542,37.031,43.968,47.708
連江縣,2024,10,15,馬祖,-0.58317494,0.614,0.21805492,0.18,42.608513,43.633,41.752087,45.695,24.853468,28.565,4.441871,2.79,10.75879,15.478,34.931,28.565,47.417
連江縣,2024,10,16,馬祖,1.1016333,0.596,0.22030133,0.198,51.001957,52.718,49.05525,51.8,30.270353,34.75,3.2717292,2.523,14.411906,16.333,46.792,53.051,56.875
連江縣,2024,10,17,馬祖,0.69269,0.875,0.2029976,0.181,51.603157,40.488,49.686687,38.95,33.219315,31.875,2.9426305,3.85,13.748262,19.042,44.637,59.722,58.917
連江縣,2024,10,18,馬祖,0.45381954,0.442,0.19537723,0.194,36.097782,39.375,36.381424,39.633,22.630241,26.5,4.021536,3.862,11.7291565,14.25,38.082,46.266,47.958
連江縣,2024,10,19,馬祖,0.43588105,0.725,0.18813708,0.179,40.481953,45.283,39.804893,47.621,22.676413,32.292,3.8004932,3.079,9.410037,12.042,30.552,39.097,43.375
連江縣,2024,10,20,馬祖,0.29717687,0.529,0.18188116,0.206,51.368153,51.642,48.034927,51.75,30.520876,31.208,2.8056493,2.896,11.480037,12.667,37.273,41.127,49.25
連江縣,2024,10,21,馬祖,0.04934241,0.617,0.21751976,0.269,53.526283,57.654,52.541683,57.221,32.457447,38.25,2.966235,3.696,12.620417,18.167,40.975,57.567,63.708
連江縣,2024,10,22,馬祖,1.1086217,0.674,0.25506532,0.31,54.65936,47.983,52.405907,48.961,34.171345,42.217,2.9641688,3.948,13.988397,17.652,45.417,56.299,61.083
連江縣,2024,10,23,馬祖,1.0731269,0.708,0.26307994,0.182,48.020275,54.171,48.142246,53.408,38.808346,41.625,3.2418387,3.133,14.652154,17.167,47.572,55.105,57.708
連江縣,2024,10,24,馬祖,-0.13915788,0.452,0.15574458,0.147,48.605934,49.025,45.35396,46.539,32.838448,24.727,3.362674,2.674,11.149653,10.652,36.2,34.584,45.375
連江縣,2024,10,25,馬祖,0.6466049,0.35,0.1370495,0.148,38.17014,28.683,34.08342,26.946,17.566053,12.292,3.7323036,4.208,4.690856,5.167,17.566,16.776,26.083
連江縣,2024,10,26,馬祖,1.1671761,0.562,0.15737116,0.121,28.663157,34.642,28.881187,36.25,17.925442,23.333,4.730706,3.433,6.447434,8.792,20.933,28.545,31.875
連江縣,2024,10,27,馬祖,0.6886593,0.421,0.1636442,0.179,41.653183,42.329,38.8888,43.15,23.719007,19.25,4.1052327,2.617,8.137121,9.208,26.419,29.896,38.875
連江縣,2024,10,28,馬祖,0.5662538,0.612,0.23328814,0.318,52.746563,57.171,56.458664,61.429,31.974073,48.875,3.608435,4.55,17.002047,29.292,54.699,84.96,81.958
連江縣,2024,10,29,馬祖,0.6537708,0.725,0.29248947,0.195,60.356525,56.762,56.38807,53.204,42.306095,38.435,2.9314704,3.35,19.555521,19.13,60.986,59.938,68.083
連江縣,2024,10,30,馬祖,-0.0781561,0.558,0.18173653,0.14,42.197662,43.992,40.011078,41.087,22.856339,26.875,4.7060037,2.1,10.923434,10.25,35.466,33.279,40.917
連江縣,2024,10,31,馬祖,0.25442424,0.696,0.20563397,0.205,32.453247,27.6,33.960033,25.0,23.253714,27.333,2.7131364,6.767,11.120533,8.333,36.106,27.333,33.667
連江縣,2024,11,1,馬祖,1.0941738,0.871,0.18916869,0.216,26.944326,35.471,21.650204,42.15,22.616522,17.167,6.796959,4.179,9.141677,6.083,29.681,19.75,34.5
連江縣,2024,11,2,馬祖,0.17919911,0.804,0.22948068,0.292,57.30837,64.821,60.99694,67.75,31.354832,44.333,4.17541,4.025,13.188185,27.292,42.819,80.036,84.375
連江縣,2024,11,3,馬祖,0.8832474,1.258,0.38469243,0.347,66.91751,74.867,68.38454,74.154,42.819733,47.25,2.9437077,4.517,26.80266,30.333,78.831,87.523,115.25
連江縣,2024,11,4,馬祖,0.9767347,0.738,0.35687387,0.391,64.80708,71.604,64.50436,70.317,40.950386,62.542,5.1448417,4.779,23.815197,37.583,71.475,106.4,111.625
連江縣,2024,11,5,馬祖,0.4551578,1.022,0.26096907,0.17,56.78656,55.05,50.701683,54.057,37.03609,40.0,5.034241,4.009,15.363752,16.522,49.882,53.516,63.875
連江縣,2024,11,6,馬祖,0.8804438,0.583,0.15906689,0.154,47.14828,53.2,46.096928,52.454,29.475285,28.5,4.532625,2.783,13.199891,12.0,42.857,38.961,50.375
