county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
嘉義市,2024,10,1,嘉義,1.2142798,0.959,0.15049253,0.192,25.191568,24.496,25.226282,25.546,25.956429,25.667,4.423087,5.683,10.14819,10.792,32.949,35.039
嘉義市,2024,10,2,嘉義,0.77528703,1.113,0.14395481,0.176,28.942434,33.667,27.13236,33.996,23.486174,22.125,3.8286712,4.688,7.5986457,6.375,24.671,22.125
嘉義市,2024,10,3,嘉義,1.7058027,1.938,0.09483449,0.217,33.947956,36.071,30.56227,35.079,27.279297,16.667,4.5101385,7.921,9.023837,6.583,29.298,21.373
嘉義市,2024,10,4,嘉義,1.9570827,1.533,0.13825768,0.196,31.125658,32.454,27.925196,33.108,22.87414,26.583,8.332533,6.996,8.078969,8.833,26.23,28.679
嘉義市,2024,10,5,嘉義,1.7182952,1.617,0.15936588,0.156,31.508,30.829,30.124983,28.917,31.461323,27.0,5.825843,4.508,10.568658,9.875,34.314,32.062
嘉義市,2024,10,6,嘉義,1.344803,1.317,0.17013378,0.158,23.01781,24.421,24.788412,25.354,22.83117,18.583,4.754238,4.75,6.8833017,5.875,22.831,19.075
嘉義市,2024,10,7,嘉義,1.5054506,2.935,0.17043312,0.214,27.449688,32.021,28.163986,32.687,21.799786,24.696,5.1575594,8.3,8.76729,10.783,28.465,35.01
嘉義市,2024,10,8,嘉義,2.7272305,4.217,0.23443855,0.31,33.083298,36.196,32.86331,36.342,30.060915,36.0,9.01071,10.875,13.475297,16.125,43.751,52.539
嘉義市,2024,10,9,嘉義,2.3548675,2.967,0.33283883,0.285,36.165173,40.862,34.12526,43.092,37.150043,36.458,11.080308,9.725,17.027988,17.917,54.762,56.951
嘉義市,2024,10,10,嘉義,2.5804234,4.108,0.30100745,0.353,42.51656,42.779,40.210304,41.462,42.85148,47.083,10.962125,12.088,17.519857,23.542,55.974,70.802
嘉義市,2024,10,11,嘉義,2.2291148,3.504,0.3753649,0.35,39.8729,44.421,38.70176,43.771,46.429626,43.625,11.585281,9.558,19.211939,24.958,60.14,74.289
嘉義市,2024,10,12,嘉義,1.7902211,2.096,0.3318019,0.29,40.951286,41.775,39.04866,41.721,41.173492,40.333,8.436506,6.125,19.816504,22.208,61.629,67.517
嘉義市,2024,10,13,嘉義,2.3097496,1.958,0.26393533,0.27,38.389027,39.692,38.42489,40.204,37.8042,37.957,6.252693,6.546,18.83469,21.435,59.211,65.614
嘉義市,2024,10,14,嘉義,2.7485907,2.054,0.29242766,0.271,38.07009,37.617,38.427063,37.538,40.297146,40.375,6.923423,7.333,21.173742,23.583,64.971,70.903
