county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
嘉義縣,2024,10,1,新港,1.6868148,1.533,0.1645154,0.153,22.519478,30.887,23.21534,33.058,25.88301,32.125,5.5885887,4.133,11.509854,8.875,37.37,32.125
嘉義縣,2024,10,2,新港,1.3648298,1.692,0.13373241,0.146,33.7181,41.908,34.424255,41.971,24.760937,34.542,4.826891,2.962,10.172556,6.917,33.028,34.542
嘉義縣,2024,10,3,新港,1.4520466,1.058,0.115057066,0.179,39.808994,42.3,37.17596,41.867,22.554665,15.739,3.2583425,4.352,9.860859,5.261,32.016,17.081
嘉義縣,2024,10,4,新港,1.3245943,1.667,0.1964508,0.161,39.69419,40.05,37.13177,40.008,16.909016,25.125,6.1067066,4.15,9.682886,7.5,31.438,25.125
嘉義縣,2024,10,5,新港,1.4666612,1.929,0.20724666,0.164,34.906086,38.483,36.034004,36.779,28.723265,27.917,5.492073,4.388,10.9258995,11.083,35.474,35.984
嘉義縣,2024,10,6,新港,1.8847432,2.571,0.21793135,0.195,29.591196,29.942,30.80844,30.162,25.72792,22.25,5.0012274,6.575,10.200449,9.458,33.118,30.708
嘉義縣,2024,10,7,新港,2.4700177,1.865,0.16451555,0.203,29.746452,33.146,29.55641,34.659,21.46903,29.87,6.5119267,7.0,10.008154,10.043,32.494,32.607
嘉義縣,2024,10,8,新港,1.8412111,1.846,0.23525256,0.253,36.93612,44.283,35.530437,43.904,33.19132,34.417,6.980489,7.0,11.915563,12.667,38.687,41.127
嘉義縣,2024,10,9,新港,1.6567125,1.571,0.2777933,0.237,42.199776,48.392,41.344795,50.538,41.078053,40.417,7.4746246,6.454,16.961237,15.333,54.598,49.782
嘉義縣,2024,10,10,新港,1.5866506,1.908,0.24527954,0.265,49.170727,50.575,45.311977,49.483,44.958107,43.125,6.317828,7.075,18.085642,19.792,57.367,61.568
嘉義縣,2024,10,11,新港,2.4010878,2.208,0.27630758,0.267,43.4726,49.163,42.51547,48.242,47.169853,43.333,7.780921,6.825,23.25551,20.5,70.096,63.312
嘉義縣,2024,10,12,新港,2.393416,3.0,0.25161222,0.231,40.60516,41.892,39.98598,41.642,43.55807,38.792,7.6914673,6.654,20.342102,18.042,62.923,57.259
嘉義縣,2024,10,13,新港,2.9674697,2.017,0.21332493,0.182,37.22862,39.742,37.551342,40.154,39.66716,38.792,8.499222,5.383,20.120739,19.75,62.378,61.465
