county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
基隆市,2024,10,1,基隆,1.1319836,0.35,0.16175672,0.146,24.47022,37.696,27.666443,40.675,10.6783085,19.95,3.2381606,1.265,2.6458025,3.15,10.678,19.95
基隆市,2024,10,2,基隆,0.0714716,0.456,0.038657784,0.346,18.008741,11.433,20.746647,7.867,12.941336,11.0,0.9603833,17.0,10.120348,3.3,32.858,28.333
基隆市,2024,10,4,基隆,1.1029943,0.675,0.3444125,0.24,9.916821,7.646,17.577875,8.582,19.518356,10.958,10.78569,9.208,6.968999,2.625,22.627,15.347
基隆市,2024,10,5,基隆,0.99328804,1.336,0.20432933,0.159,14.695671,13.117,12.584723,12.421,9.800809,12.208,7.3933263,3.952,2.3371263,1.875,12.322,12.208
基隆市,2024,10,6,基隆,0.795176,0.855,0.15785772,0.153,11.352751,15.475,16.985718,20.858,14.172745,9.5,5.2998705,4.339,2.265943,1.125,14.173,9.5
基隆市,2024,10,7,基隆,0.7710166,0.548,0.19153887,0.195,32.954132,45.411,35.585987,46.915,18.08085,17.136,6.235931,2.276,6.2975993,3.952,20.447,17.136
基隆市,2024,10,8,基隆,0.5987545,0.833,0.30371633,0.215,46.479225,50.504,44.813656,50.592,26.204964,25.292,6.0476604,3.471,8.705367,7.167,28.264,25.292
基隆市,2024,10,9,基隆,1.2586465,1.113,0.29118443,0.213,48.279255,55.808,44.967636,56.488,32.439667,21.167,6.6653814,2.846,10.968407,7.708,35.612,25.026
基隆市,2024,10,10,基隆,1.3077618,1.154,0.20804337,0.223,54.301365,57.312,51.871338,56.467,30.532658,22.583,5.3630395,3.858,11.190662,9.0,36.333,29.221
基隆市,2024,10,11,基隆,0.97242725,1.226,0.32739037,0.245,38.509476,34.638,39.237453,31.674,18.13239,14.792,6.980088,6.7,7.4253535,4.167,24.108,14.792
基隆市,2024,10,12,基隆,0.93063486,1.121,0.30121106,0.22,21.15966,25.854,20.013702,25.104,10.165622,16.625,8.41132,4.929,3.1638825,7.0,14.019,22.727
基隆市,2024,10,13,基隆,0.76575744,0.886,0.2089162,0.221,18.65107,23.067,16.797686,23.842,11.107628,14.364,5.122318,5.662,4.796644,4.783,15.574,15.529
基隆市,2024,10,14,基隆,0.7800542,0.939,0.2670492,0.196,25.199728,29.283,23.08705,29.804,12.242748,14.792,7.315369,4.968,5.179792,4.0,16.818,14.792
基隆市,2024,10,15,基隆,1.0982424,0.858,0.27647066,0.164,26.109217,30.792,27.604742,30.942,15.6635275,17.917,7.597162,3.883,5.553098,4.792,18.03,17.917
基隆市,2024,10,16,基隆,0.5618981,1.017,0.24562696,0.186,22.955807,28.596,26.448072,26.542,18.488222,20.833,6.816776,4.9,6.42911,7.125,20.874,23.133
基隆市,2024,10,17,基隆,0.5229293,0.904,0.22864984,0.245,16.661655,16.617,16.522053,15.029,14.5141945,13.458,5.3440194,7.562,4.1898975,2.625,14.514,13.458
基隆市,2024,10,18,基隆,0.9228542,0.787,0.25634015,0.211,12.378337,18.0,14.254284,23.504,14.213225,15.667,8.111363,3.929,3.706969,3.833,14.213,15.667
基隆市,2024,10,19,基隆,0.63767636,0.854,0.25709143,0.207,37.593044,45.333,36.089672,45.35,25.781487,26.833,6.4837747,1.518,11.259804,6.167,36.558,26.833
基隆市,2024,10,20,基隆,1.352541,0.755,0.2423229,0.216,37.262394,41.2,38.29961,40.191,23.497667,18.458,5.4849277,3.843,9.429926,3.167,30.617,18.458
基隆市,2024,10,21,基隆,1.1454467,0.791,0.31622943,0.22,33.998657,41.158,36.47748,43.518,19.41831,24.261,7.118525,3.57,6.1217656,5.957,19.876,24.261
基隆市,2024,10,22,基隆,1.2439592,0.754,0.31930047,0.315,41.803837,43.629,42.22173,43.404,28.962893,36.083,6.5091624,3.142,10.090534,12.542,32.761,40.721
基隆市,2024,10,23,基隆,0.94446504,0.792,0.19692864,0.152,41.52448,46.621,39.151783,45.567,20.758896,17.542,1.4056433,1.579,3.0926816,4.25,20.759,17.542
基隆市,2024,10,24,基隆,0.35937175,0.8,0.2938402,0.129,33.224285,34.129,36.68231,30.579,16.824165,11.417,6.5535636,2.567,6.304789,1.304,20.47,11.417
基隆市,2024,10,25,基隆,1.031944,1.067,0.19307932,0.13,12.670508,21.675,15.24496,22.217,11.947655,6.583,5.287153,2.217,4.345953,0.958,14.11,6.583
基隆市,2024,10,26,基隆,0.8811791,0.654,0.19240633,0.148,20.776045,23.504,20.58316,24.475,10.25115,14.739,5.547994,3.733,4.7594914,2.458,15.453,14.739
基隆市,2024,10,27,基隆,0.89186335,0.675,0.2857334,0.178,30.029737,42.475,32.269436,45.475,22.261375,20.0,7.94997,2.483,9.928885,4.708,32.237,20.0
基隆市,2024,10,28,基隆,1.5011714,1.071,0.24540082,0.212,44.668003,50.329,43.391438,51.488,27.105309,26.87,6.238104,2.746,9.688429,8.783,31.456,28.516
基隆市,2024,10,29,基隆,0.79626167,0.988,0.28308356,0.185,47.57367,48.196,46.411686,45.413,18.68792,25.208,4.0663695,2.254,6.0668435,6.167,19.698,25.208
基隆市,2024,10,30,基隆,0.5202873,0.481,0.14023714,0.14,28.25599,33.521,30.497597,32.905,16.418934,25.048,2.5611906,0.667,4.263884,3.762,16.419,25.048
基隆市,2024,10,31,基隆,0.37232608,1.18,0.19562912,0.339,22.468077,23.336,32.42333,20.075,19.885517,8.417,4.4287257,13.067,8.901133,4.091,28.9,21.778
基隆市,2024,11,1,基隆,0.78421915,0.735,0.32858628,0.265,23.335396,29.667,21.330786,33.948,12.820353,16.435,9.540703,5.735,4.1994705,6.87,15.901,22.305
基隆市,2024,11,2,基隆,0.6356218,0.575,0.27163622,0.255,42.972424,52.267,39.538143,51.658,24.128088,35.417,8.017396,3.454,11.067219,14.333,35.933,46.536
基隆市,2024,11,3,基隆,0.8621112,1.025,0.29170066,0.228,40.572002,34.258,39.737328,35.0,23.307304,23.125,4.594165,6.029,8.614769,6.417,27.97,23.125
基隆市,2024,11,4,基隆,0.99738896,0.812,0.28736192,0.195,40.05635,51.562,37.371517,52.833,25.621183,35.375,6.764313,2.767,10.34581,12.5,33.59,40.584
基隆市,2024,11,5,基隆,0.7044536,1.248,0.29318127,0.145,47.70135,48.475,45.85813,47.245,32.77031,29.87,2.926858,2.248,11.319447,7.783,36.751,29.87
基隆市,2024,11,6,基隆,1.4415699,0.918,0.3183936,0.17,41.08987,44.939,40.784008,44.745,25.29678,17.435,5.358308,3.106,9.048994,5.652,29.38,18.351
基隆市,2024,11,7,基隆,1.2337263,0.917,0.3010359,0.215,36.986507,39.738,37.975727,38.158,15.580844,10.833,3.6537037,7.191,4.1264496,4.125,15.581,13.393
基隆市,2024,11,8,基隆,0.5559361,0.683,0.29159147,0.177,27.827318,35.871,30.254547,35.554,9.53253,6.292,7.6811438,4.733,3.295759,1.167,12.802,7.888
基隆市,2024,11,9,基隆,0.7996383,0.858,0.36571372,0.185,26.512838,34.733,32.231083,35.529,14.31997,13.833,8.897047,3.738,5.915285,3.375,19.205,13.833
基隆市,2024,11,10,基隆,0.9826988,0.822,0.29914314,0.166,32.385475,36.346,33.594788,35.943,15.722111,15.478,7.350385,3.148,5.4193444,3.208,17.595,15.478
基隆市,2024,11,11,基隆,1.1720898,0.65,0.26303062,0.145,32.01425,38.775,33.631687,40.071,15.512854,16.125,6.245282,2.908,3.5737288,2.458,15.513,16.125
基隆市,2024,11,12,基隆,0.6450087,0.908,0.2728088,0.158,34.75964,36.333,37.04224,32.121,18.94833,9.87,4.9045806,3.221,6.686261,1.478,21.709,9.87
基隆市,2024,11,13,基隆,0.96085286,0.662,0.24787608,0.127,10.234138,12.525,12.890993,11.754,10.788015,5.25,3.914312,3.279,3.3046591,1.458,10.788,5.465
基隆市,2024,11,14,基隆,1.1101339,0.817,0.20913199,0.191,13.558343,9.729,16.788523,10.0,9.904016,11.333,5.524859,5.046,4.2432714,5.167,13.777,16.776
基隆市,2024,11,15,基隆,1.1337701,1.425,0.20408341,0.143,15.000861,18.462,16.322567,20.912,14.221165,12.375,4.0216265,4.517,7.2916574,4.375,23.674,14.205
