county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
新竹縣,2024,10,1,湖口,1.0419248,0.658,0.29060146,0.145,33.713036,38.225,33.204655,40.696,19.666643,22.25,8.230174,2.575,10.683141,8.125,34.686,26.38
新竹縣,2024,10,2,湖口,0.58498037,0.612,0.22703978,0.175,44.524952,45.467,45.45688,45.2,23.572847,12.042,6.1821837,3.104,10.850288,4.417,35.228,14.341
新竹縣,2024,10,3,湖口,0.92187554,0.4,0.24358973,0.184,45.260693,46.858,44.382957,46.871,17.429514,11.75,7.577187,2.629,9.632969,4.583,31.276,14.88
新竹縣,2024,10,4,湖口,0.6064732,0.758,0.23732452,0.204,37.861034,34.4,40.014248,31.088,13.4757395,18.292,5.898309,7.421,5.946739,8.167,19.308,26.516
新竹縣,2024,10,5,湖口,0.8967989,0.388,0.21578571,0.23,22.696842,21.083,23.3973,19.179,17.566624,19.958,9.717387,6.888,9.341876,9.652,30.331,31.338
新竹縣,2024,10,6,湖口,0.77892727,0.214,0.17334023,0.16,14.974341,15.496,18.083206,17.791,12.898825,11.522,5.9455647,6.773,6.408939,5.261,20.808,17.081
新竹縣,2024,10,7,湖口,0.6296486,0.417,0.20502937,0.185,28.711674,41.725,30.38214,44.904,16.875378,10.125,7.403131,5.017,9.657042,5.542,31.354,17.994
新竹縣,2024,10,8,湖口,0.73466134,1.312,0.23085128,0.22,47.299133,44.896,46.731884,44.4,15.969899,22.083,6.8207965,7.004,9.182438,9.458,29.813,30.708
新竹縣,2024,10,9,湖口,1.4959315,1.212,0.24059892,0.207,46.388157,54.958,46.02132,55.95,26.484354,25.75,9.534125,4.842,15.058113,11.833,48.89,38.419
新竹縣,2024,10,10,湖口,1.3152679,1.588,0.26565292,0.22,56.483067,57.408,53.354942,56.296,27.842724,27.125,8.158039,5.675,15.359074,11.25,49.867,36.526
新竹縣,2024,10,11,湖口,1.4318258,1.283,0.2283929,0.195,47.336,46.083,46.278084,44.142,21.06498,18.167,7.75862,5.708,9.947208,6.75,32.296,21.916
新竹縣,2024,10,12,湖口,1.2005059,1.354,0.21474679,0.224,34.910152,34.329,36.62502,32.421,12.626851,16.208,7.3875046,6.296,7.266132,11.042,23.591,35.851
新竹縣,2024,10,13,湖口,1.06888,1.058,0.25510633,0.261,30.855286,31.021,32.107887,32.054,19.751392,25.125,9.37599,10.246,12.441486,12.13,40.394,39.383
新竹縣,2024,10,14,湖口,1.2025895,0.404,0.25446326,0.24,31.151684,29.95,30.527416,30.375,21.14796,24.125,8.666049,9.096,13.542976,12.25,43.971,39.773
新竹縣,2024,10,15,湖口,1.0951587,0.696,0.17242002,0.172,27.901602,28.892,28.417313,27.812,12.577587,17.333,7.8919854,6.821,6.57725,7.625,21.355,24.756
新竹縣,2024,10,16,湖口,0.80543625,1.133,0.23616982,0.201,28.733372,26.005,30.02214,24.525,18.596115,21.783,8.789438,8.825,9.365065,11.739,30.406,38.114
新竹縣,2024,10,17,湖口,0.9547085,0.9,0.22369353,0.236,29.21267,20.467,30.112722,20.645,23.97462,22.826,10.519175,10.377,13.076988,14.652,42.458,47.571
新竹縣,2024,10,18,湖口,0.9172244,0.917,0.21422109,0.254,27.640633,22.4,29.050095,25.104,22.953667,25.042,7.83734,9.654,15.962992,15.333,52.14,49.782
新竹縣,2024,10,19,湖口,0.9481245,0.512,0.18019235,0.203,31.330563,40.521,33.09261,40.388,16.39085,18.625,6.987927,3.383,9.629401,7.958,31.264,25.838
新竹縣,2024,10,20,湖口,0.8383408,0.721,0.23179914,0.2,36.974136,37.462,38.9879,36.254,14.4493475,16.667,5.4234014,6.517,7.8741536,7.542,25.565,24.487
