county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
桃園市,2024,10,1,大園,1.2449396,0.829,0.2578168,0.146,38.692745,37.721,37.62648,40.033,23.549149,27.708,11.140861,5.658,9.860632,13.042,32.015,42.344
桃園市,2024,10,2,大園,1.5814368,1.175,0.18621938,0.151,48.21911,45.667,44.928406,45.454,25.250765,17.333,7.975437,3.792,13.209625,14.375,42.888,46.672
桃園市,2024,10,3,大園,1.4672496,0.854,0.18515545,0.148,43.615494,47.583,38.21756,47.871,11.277717,16.478,8.304262,3.746,11.31948,5.042,36.752,16.478
桃園市,2024,10,4,大園,1.4010344,0.662,0.16614193,0.257,39.606113,30.212,36.127136,25.062,15.920282,22.792,8.133983,13.329,5.567594,7.5,18.077,24.351
桃園市,2024,10,5,大園,1.3899372,0.992,0.19816324,0.205,18.57481,13.671,18.878124,13.396,18.292812,19.167,8.385572,10.858,4.019602,7.208,18.293,23.403
桃園市,2024,10,6,大園,1.0610565,0.946,0.17475063,0.125,18.418472,19.462,15.931903,23.858,13.762196,14.917,6.980488,8.825,3.6482542,4.583,13.762,14.917
桃園市,2024,10,7,大園,0.91470754,1.079,0.19977587,0.191,33.50999,45.308,33.433846,46.617,16.761284,16.542,11.134795,8.654,7.0162888,6.167,22.78,20.023
桃園市,2024,10,8,大園,1.129786,1.191,0.16459256,0.231,41.867207,40.933,42.526215,40.778,25.047174,27.609,11.079743,14.522,6.3995557,9.826,25.047,31.903
桃園市,2024,10,9,大園,1.5442952,1.317,0.25911868,0.2,44.80322,51.962,42.367317,52.225,31.211617,27.042,14.413101,11.467,8.489864,10.125,31.212,32.873
桃園市,2024,10,10,大園,1.4747667,1.887,0.25890964,0.224,47.955795,50.333,47.615513,49.492,23.810034,32.75,14.109239,14.608,7.8087945,11.167,25.353,36.256
桃園市,2024,10,11,大園,1.637458,1.57,0.2055819,0.175,43.789898,39.95,42.10103,38.626,22.370165,22.375,10.889854,12.235,7.2053256,6.75,23.394,22.375
桃園市,2024,10,12,大園,1.503713,1.383,0.18636678,0.182,33.914173,32.596,30.079737,31.15,17.848179,17.833,9.849229,9.371,4.1280456,8.083,17.848,26.244
桃園市,2024,10,13,大園,1.2492936,1.108,0.18287684,0.229,27.274702,28.117,24.623497,26.833,18.65696,23.708,9.37846,12.492,6.0905185,9.25,19.774,30.032
桃園市,2024,10,14,大園,1.3617266,1.312,0.20280606,0.21,22.929457,21.133,23.043272,22.654,19.210608,25.292,10.089098,13.975,6.308706,8.5,20.483,27.597
桃園市,2024,10,15,大園,1.2285414,1.396,0.19425747,0.156,27.695848,27.354,24.939623,26.946,20.04935,20.957,8.858536,10.687,4.808375,8.391,20.049,27.244
