county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
臺中市,2024,10,1,大里,1.0897896,1.004,0.30200157,0.199,24.847555,29.2,25.504936,29.733,19.88124,21.417,10.088552,6.917,9.180885,10.875,29.808,35.308
臺中市,2024,10,2,大里,1.2124141,1.512,0.17147073,0.192,33.08295,36.212,28.2032,36.575,15.087184,10.0,5.7725554,6.55,5.8956413,4.625,19.142,15.016
臺中市,2024,10,3,大里,1.3622952,1.1,0.18424442,0.237,34.192886,36.904,32.847824,36.033,14.036058,6.75,5.706864,8.95,3.7064104,4.417,14.036,14.917
臺中市,2024,10,4,大里,1.1355103,1.071,0.21982834,0.229,29.242182,34.717,28.925419,33.908,11.930877,15.875,9.728246,8.875,4.1940804,8.333,16.214,27.055
臺中市,2024,10,5,大里,1.0698035,1.308,0.2844488,0.224,29.655237,29.129,28.885046,30.117,19.873228,21.875,10.75696,6.742,9.5777,12.708,31.096,41.26
臺中市,2024,10,6,大里,1.3646073,1.317,0.26598236,0.253,30.247137,30.171,30.170439,27.446,23.276108,20.875,9.410606,9.362,12.632942,12.875,41.016,41.802
臺中市,2024,10,7,大里,1.1472678,1.048,0.21934763,0.243,20.998251,23.517,19.985762,26.252,12.674463,11.0,7.6943502,9.774,5.4584227,5.957,17.722,19.341
臺中市,2024,10,8,大里,1.1930921,1.265,0.2453714,0.283,29.812668,37.067,28.206806,36.33,12.557851,18.5,8.227475,10.957,5.450618,8.522,17.697,27.669
臺中市,2024,10,9,大里,1.079391,1.446,0.34369674,0.256,31.392355,37.754,29.875105,38.808,21.388506,23.125,11.425869,8.004,9.722204,12.167,31.566,39.503
臺中市,2024,10,10,大里,1.2272819,1.496,0.2978356,0.343,35.6592,36.946,33.82677,36.317,26.827003,26.826,11.319307,12.787,14.521846,15.174,47.149,49.266
臺中市,2024,10,11,大里,1.5637627,1.191,0.41130227,0.36,33.797684,40.279,34.44176,38.126,31.121498,33.083,14.550019,12.717,18.668837,18.125,58.803,57.464
臺中市,2024,10,12,大里,1.4562895,2.321,0.39768752,0.372,30.932186,35.15,30.380571,34.921,34.678825,34.667,14.687878,10.704,19.321123,19.0,60.409,59.618
臺中市,2024,10,13,大里,1.8692508,1.7,0.43891954,0.368,30.263594,37.992,32.737885,39.221,36.166813,36.708,12.734846,10.971,21.803087,21.208,66.52,65.055
臺中市,2024,10,14,大里,1.6754084,1.454,0.39789766,0.366,35.257496,37.629,34.116043,36.379,36.054214,36.792,12.512955,12.046,20.999472,21.458,64.541,65.67
臺中市,2024,10,15,大里,1.450845,1.467,0.3992258,0.337,32.040043,33.417,31.506205,32.679,38.05419,39.478,14.033058,11.121,22.258087,23.348,67.641,70.324
臺中市,2024,10,16,大里,1.4994063,1.429,0.3740343,0.358,30.857855,34.837,30.542059,35.371,36.529953,42.667,11.796007,11.829,21.159163,25.375,64.935,75.315
臺中市,2024,10,17,大里,1.5523605,2.008,0.42825946,0.368,32.556282,38.825,32.931583,38.708,48.30509,48.917,13.514382,10.312,28.618454,29.125,83.302,84.549
臺中市,2024,10,18,大里,1.5190156,1.608,0.4005957,0.348,32.913696,32.738,32.183346,31.988,40.946293,37.625,12.019843,11.829,24.097225,23.875,72.169,71.622
臺中市,2024,10,19,大里,1.090946,1.412,0.25786316,0.298,25.099157,33.817,26.26136,35.0,20.044537,15.833,11.051305,6.462,9.8561325,8.25,32.0,26.786
臺中市,2024,10,20,大里,1.2772329,1.312,0.34426257,0.322,33.40914,32.667,35.674168,31.529,16.128923,23.875,8.816036,11.104,8.236164,11.708,26.741,38.013
臺中市,2024,10,21,大里,1.2904954,1.243,0.38335642,0.344,30.347342,23.121,30.07451,23.309,32.00947,33.696,11.700506,12.47,17.746464,16.391,56.531,53.194
臺中市,2024,10,22,大里,0.8666008,0.938,0.25946382,0.301,24.993298,33.804,24.502426,34.496,15.377592,21.917,8.606149,7.35,5.6963563,5.875,18.495,21.917
臺中市,2024,10,23,大里,1.1094586,1.279,0.26723093,0.223,30.77736,36.733,30.173187,35.812,21.420341,13.333,7.960083,8.108,6.6641526,3.375,21.637,13.513
臺中市,2024,10,24,大里,1.2742436,1.304,0.26454163,0.278,31.28551,33.192,30.918512,30.988,13.616128,21.5,10.951403,11.388,4.0574727,8.625,18.252,28.003
臺中市,2024,10,25,大里,1.3181622,1.243,0.35956967,0.319,28.994091,22.4,29.983425,23.25,35.81002,45.417,15.196022,11.037,17.419954,22.667,55.728,68.647
臺中市,2024,10,26,大里,1.3235285,1.062,0.31152502,0.284,25.118757,24.1,28.797586,24.35,37.44641,39.0,9.344397,10.112,19.157711,17.375,60.006,55.617
臺中市,2024,10,27,大里,0.9798631,1.079,0.24707517,0.236,21.343836,24.204,26.141672,25.896,21.239117,16.292,8.586285,8.75,7.566136,7.875,24.565,25.568
臺中市,2024,10,28,大里,1.2418993,1.154,0.23392117,0.273,29.390915,37.725,29.226843,38.392,17.41246,13.875,7.6618967,7.121,6.11839,8.083,19.865,26.244
臺中市,2024,10,29,大里,1.1834208,1.075,0.26761636,0.238,32.50208,39.575,32.395947,37.725,15.792092,10.667,8.474697,7.742,8.276442,4.583,26.872,14.88
臺中市,2024,10,30,大里,1.0506873,0.809,0.21105482,0.163,24.156195,24.204,25.255632,23.3,6.657838,10.636,7.624633,4.278,5.2087207,4.826,16.911,15.669
臺中市,2024,10,31,大里,0.79606295,1.308,0.23465256,0.348,30.13838,27.629,25.844292,28.704,13.689741,24.875,4.183286,10.275,9.864666,13.875,32.028,45.049
臺中市,2024,11,1,大里,1.221464,1.512,0.27768755,0.383,26.526619,28.779,30.271746,26.812,22.303015,20.417,7.8120947,11.954,11.774316,10.708,38.228,34.766
臺中市,2024,11,2,大里,1.3179915,1.642,0.3872293,0.349,25.477125,25.446,27.674952,28.262,16.864544,29.333,10.00453,9.05,9.126578,14.917,29.632,48.432
臺中市,2024,11,3,大里,1.4605684,1.488,0.3798494,0.357,30.982174,29.2,35.308784,28.7,32.426243,34.5,9.579046,12.542,18.833822,17.542,59.209,56.028
臺中市,2024,11,4,大里,1.1368804,1.158,0.3525417,0.27,25.04426,32.5,26.831324,34.108,21.535954,22.417,10.676638,9.35,9.676589,11.708,31.417,38.013
臺中市,2024,11,5,大里,0.99879384,1.15,0.2459573,0.207,31.56125,40.467,31.024828,40.112,18.373749,17.0,9.14862,6.071,8.337029,8.125,27.068,26.38
臺中市,2024,11,6,大里,1.1434464,1.383,0.19215375,0.226,33.97082,36.367,31.476868,34.374,14.778687,13.304,6.866498,8.539,6.3985205,5.391,20.774,17.503
臺中市,2024,11,7,大里,1.0880829,1.179,0.22262624,0.279,26.588167,25.338,25.326921,24.938,11.958022,13.375,9.750584,11.296,4.576798,8.167,16.251,26.516
臺中市,2024,11,8,大里,1.218713,1.295,0.31384405,0.36,25.307,18.721,26.106937,17.582,16.771149,22.708,11.049013,12.991,8.520807,13.542,27.665,43.968
臺中市,2024,11,9,大里,1.2655113,0.925,0.3660193,0.33,22.436676,14.467,23.680096,14.512,23.482676,20.0,10.012765,11.888,12.777816,13.458,41.486,43.695
臺中市,2024,11,10,大里,1.2228968,1.117,0.30707693,0.27,22.04624,22.542,20.909042,23.354,15.917034,15.375,8.697445,9.967,7.809753,9.083,25.356,29.49
臺中市,2024,11,11,大里,1.2478199,1.583,0.29275826,0.459,26.108845,10.017,26.500702,8.321,19.707436,28.167,9.295613,19.842,10.69277,13.542,34.717,43.968
臺中市,2024,11,12,大里,1.48944,1.571,0.44761235,0.475,25.107569,24.146,24.445013,26.887,33.919624,52.208,17.845142,18.012,17.736763,27.75,56.508,81.163
臺中市,2024,11,13,大里,1.3873186,1.95,0.5533858,0.47,36.20451,24.904,33.167053,23.596,58.673187,68.478,15.664703,17.746,35.496372,40.87,59.5,114.922
臺中市,2024,11,14,大里,1.0124657,1.51,0.44092765,0.449,28.251308,15.542,28.302443,14.65,60.0931,68.792,13.775143,19.477,39.184406,37.083,110.552,105.104
臺中市,2024,11,15,大里,1.1639878,0.467,0.3181795,0.26,17.270329,16.258,20.134161,17.875,36.8642,30.875,14.302574,10.033,23.233337,17.292,70.042,55.412
臺中市,2024,11,16,大里,1.0117109,1.761,0.2172423,0.173,21.207554,21.2,20.03596,22.683,12.283723,8.833,8.856592,6.2,2.8237896,3.458,14.761,11.227
臺中市,2024,11,17,大里,1.4118328,1.167,0.20950964,0.243,23.036722,28.846,23.303762,28.317,11.566896,10.375,7.784726,7.638,4.7525783,4.625,15.43,15.016
臺中市,2024,11,18,大里,1.219976,1.183,0.22662242,0.317,24.140463,17.858,22.776756,17.125,7.7855625,14.583,6.8514633,12.963,4.782497,5.75,15.528,21.605
