county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
高雄市,2024,10,1,仁武,0.95827585,0.729,0.2663396,0.134,20.12474,28.679,22.848673,30.375,8.894446,5.833,8.2343235,4.312,5.8490944,3.333,18.991,10.821
高雄市,2024,10,2,仁武,0.20015144,0.775,0.1794878,0.189,37.83978,37.712,38.1561,33.669,21.738972,4.062,5.420221,5.587,6.16329,1.438,21.739,9.312
高雄市,2024,10,3,仁武,-0.046496868,1.45,0.21290378,0.288,19.750738,31.909,4.5840344,33.079,21.951328,21.667,11.219476,9.429,10.885992,9.417,35.344,30.575
高雄市,2024,10,4,仁武,1.110903,0.809,0.26799268,0.313,32.84204,30.304,30.248285,31.958,23.182161,28.75,12.572526,10.15,13.220317,16.458,42.923,53.359
高雄市,2024,10,5,仁武,0.71346134,1.306,0.25250927,0.238,31.207115,32.796,27.787748,30.867,25.178558,24.75,10.498103,7.343,15.663788,13.75,51.403,44.643
高雄市,2024,10,6,仁武,1.1555009,0.946,0.23629014,0.221,23.299309,26.529,25.65197,26.733,18.717855,19.792,8.922338,8.358,10.606275,11.042,34.436,35.851
高雄市,2024,10,7,仁武,1.2353921,1.641,0.22733484,0.281,27.866026,31.262,28.22954,31.771,22.076435,25.913,9.28757,10.962,11.722258,12.435,38.059,40.373
高雄市,2024,10,8,仁武,1.3312607,1.283,0.27686718,0.331,35.51153,39.788,32.61127,40.479,29.260748,33.875,12.496505,10.929,14.402603,17.5,46.762,55.925
高雄市,2024,10,9,仁武,1.2301893,1.754,0.33154514,0.34,41.422363,39.108,38.24392,41.638,37.017765,46.75,12.646858,12.612,18.259014,22.792,57.794,68.955
高雄市,2024,10,10,仁武,1.5650129,1.729,0.3938942,0.42,42.46781,44.304,41.627148,41.439,48.56136,49.792,15.678043,15.739,24.374763,29.042,72.852,84.345
高雄市,2024,10,11,仁武,1.768645,2.158,0.417795,0.412,44.2876,53.862,39.775963,57.046,45.307323,47.542,15.956907,9.414,26.914207,27.792,79.105,81.267
高雄市,2024,10,12,仁武,1.6030396,1.812,0.4049163,0.377,53.811794,54.383,47.01052,52.092,46.19704,43.75,13.438705,7.404,24.82693,26.833,73.966,78.905
高雄市,2024,10,13,仁武,1.569094,2.033,0.35633564,0.341,45.03241,39.6,42.66795,38.762,40.143345,42.783,11.291179,11.268,23.236048,26.957,70.049,79.211
高雄市,2024,10,14,仁武,1.7039909,0.812,0.3504898,0.316,38.61966,37.129,39.213093,38.158,41.01336,45.833,12.506096,12.121,25.204302,26.75,74.895,78.701
高雄市,2024,10,15,仁武,1.345561,1.192,0.35456556,0.285,38.68876,38.654,37.861553,40.075,42.930283,38.583,12.667706,10.246,24.736506,23.875,73.743,71.622
高雄市,2024,10,16,仁武,1.3284923,2.196,0.28972048,0.289,39.707527,44.083,39.93108,44.642,37.996704,39.542,11.124048,10.258,22.699625,22.5,68.728,68.236
高雄市,2024,10,17,仁武,1.7086604,1.067,0.29753664,0.294,41.477303,42.171,41.162445,38.283,38.80121,40.958,10.775145,11.65,21.633102,23.083,66.102,69.672
高雄市,2024,10,18,仁武,1.7661517,1.675,0.38434738,0.341,38.395477,38.425,37.186108,39.279,42.43789,51.417,14.709707,12.942,26.234919,32.167,77.433,92.039
高雄市,2024,10,19,仁武,1.6791207,1.621,0.35498917,0.292,37.289917,35.408,36.00897,35.75,42.47209,41.667,13.639741,10.133,24.99042,22.167,74.368,67.416
高雄市,2024,10,20,仁武,1.6776358,2.865,0.30145544,0.363,35.25362,30.412,36.466717,28.9,42.219406,45.696,12.030197,14.774,21.707823,20.913,66.286,64.328
高雄市,2024,10,21,仁武,1.8650028,1.483,0.3405407,0.366,32.45133,35.729,33.165424,33.875,42.940468,58.042,14.548002,15.871,21.86643,25.625,66.676,75.931
高雄市,2024,10,22,仁武,1.8024127,1.646,0.36300766,0.379,33.187374,34.058,32.697777,34.267,45.672127,53.208,15.262227,15.417,21.9848,21.625,66.968,66.082
