county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
彰化縣,2024,10,1,二林,0.72672397,0.733,0.17421935,0.176,34.408134,34.671,36.645763,36.658,44.836437,44.167,3.5037942,3.542,9.79103,9.917,44.836,44.167,45.542
彰化縣,2024,10,2,二林,0.8716057,0.875,0.18518844,0.187,44.118687,44.242,43.70866,44.154,34.397793,34.417,2.482083,2.525,6.4894648,6.5,34.398,34.417,40.875
彰化縣,2024,10,3,二林,1.0850333,1.096,0.18571915,0.186,43.686672,43.875,43.312134,43.458,17.52001,17.5,2.9539208,3.008,2.856236,2.875,17.52,17.5,40.5
彰化縣,2024,10,4,二林,0.9585205,0.954,0.16405854,0.165,39.895287,39.938,38.39057,38.425,27.62553,27.875,4.1760464,4.154,6.576668,6.708,27.626,27.875,36.333
彰化縣,2024,10,5,二林,0.89623517,0.896,0.18097028,0.182,32.05371,32.167,31.253218,31.292,36.36587,36.5,4.6808,4.729,14.821454,14.958,48.122,48.565,49.125
彰化縣,2024,10,6,二林,2.7254767,2.732,0.19148448,0.193,25.062254,25.275,24.42451,24.568,33.38135,33.304,6.938172,6.955,12.827498,12.87,41.648,41.786,41.0
彰化縣,2024,10,7,二林,1.7924933,1.808,0.20526804,0.206,33.508457,33.542,36.39318,36.562,24.634056,24.625,5.8397694,5.875,7.8773317,7.958,25.576,25.838,31.625
彰化縣,2024,10,8,二林,1.8132697,1.812,0.2673892,0.271,48.394474,48.817,47.557507,47.762,35.5494,35.625,6.950332,6.979,11.569577,11.708,37.564,38.013,47.875
彰化縣,2024,10,9,二林,2.0319579,2.042,0.24739845,0.25,51.066544,52.192,54.288673,54.108,38.547035,38.625,5.7327886,5.783,12.899652,13.0,41.882,42.208,59.333
彰化縣,2024,10,10,二林,2.1011047,2.104,0.26302177,0.265,52.473446,52.512,51.75842,52.008,40.82683,40.75,6.7076807,6.763,16.37903,16.583,53.164,53.667,56.708
