county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
新北市,2024,10,1,土城,1.5114295,1.512,0.18700132,0.187,32.688744,32.575,37.093903,37.025,12.855468,12.958,3.983986,4.013,0.97214603,1.333,12.855,12.958,29.958
新北市,2024,10,2,土城,0.8333224,0.842,0.18796444,0.188,45.10489,44.979,44.980232,44.983,3.6570501,4.125,3.0847476,3.038,0.741796,0.25,5.141,5.063,41.583
新北市,2024,10,3,土城,0.82296324,0.833,0.37253276,0.373,35.34847,35.425,30.758146,30.729,7.993996,8.25,13.614066,13.625,3.2336595,3.267,22.69,22.708,36.792
新北市,2024,10,4,土城,0.97949034,0.988,0.40366387,0.406,18.76779,18.746,18.221834,18.188,14.7441635,14.875,14.216947,14.179,2.023136,2.125,23.695,23.632,25.917
新北市,2024,10,5,土城,0.804482,0.817,0.2107287,0.21,12.1654005,12.25,12.469038,12.5,11.0740595,11.25,6.0921926,6.092,0.65184563,0.5,11.074,11.25,14.542
新北市,2024,10,6,土城,0.6968043,0.704,0.19240671,0.192,15.636643,15.542,17.724312,17.675,7.3971972,7.667,7.4352174,7.446,0.75247705,0.294,12.392,12.41,14.917
新北市,2024,10,7,土城,0.94884574,0.961,0.2679842,0.269,35.341305,35.271,38.843185,38.65,8.602324,8.875,9.037264,9.033,2.449975,2.462,15.062,15.055,32.5
新北市,2024,10,8,土城,0.87112707,0.879,0.3180109,0.319,41.03962,41.042,39.591747,39.638,20.995646,21.042,10.612453,10.65,3.6331244,3.708,20.996,21.042,37.417
新北市,2024,10,9,土城,1.1993852,1.2,0.280006,0.281,45.117474,45.192,46.199787,46.195,23.416683,23.435,8.329332,8.309,6.2115235,6.174,23.417,23.435,41.333
新北市,2024,10,10,土城,1.096455,1.096,0.27689397,0.278,53.34174,52.95,52.86549,52.821,25.823822,25.875,8.187302,8.154,7.941724,7.917,25.824,25.875,50.375
新北市,2024,10,11,土城,0.8488416,0.857,0.24096742,0.24,43.03636,42.971,40.738,40.735,16.877052,17.0,6.4543433,6.435,2.008346,2.083,16.877,17.0,39.458
新北市,2024,10,12,土城,0.9604074,0.963,0.22416532,0.224,32.76539,32.65,31.994385,31.904,15.517169,15.583,5.402185,5.417,3.925076,3.917,15.517,15.583,29.958
新北市,2024,10,13,土城,1.1534343,1.15,0.22599328,0.226,29.318295,29.254,28.783089,28.686,15.752973,15.826,6.7667713,6.768,3.625429,3.609,15.753,15.826,26.708
新北市,2024,10,14,土城,1.0221219,1.025,0.25057214,0.251,23.24345,23.171,23.912558,23.883,15.911335,15.958,7.9020333,7.925,2.4530926,2.375,15.911,15.958,22.5
新北市,2024,10,15,土城,0.8670215,0.867,0.23499238,0.235,27.75548,27.683,26.386,26.371,13.347941,13.458,7.9050803,7.933,2.0233312,2.0,13.348,13.458,25.083
新北市,2024,10,16,土城,0.92075014,0.921,0.2739953,0.275,24.159153,24.092,23.629148,23.529,16.556843,16.583,8.892916,8.954,3.459944,3.417,16.557,16.583,22.125
新北市,2024,10,17,土城,1.56068,1.564,0.36741158,0.369,29.642784,29.604,28.710806,28.621,26.225758,26.208,14.568662,14.596,8.584273,8.583,27.871,27.867,37.583
新北市,2024,10,18,土城,0.8383796,0.846,0.26200604,0.263,15.307304,15.258,19.600334,19.562,12.866017,12.958,7.8207164,7.833,1.6398187,1.652,13.035,13.055,19.792
新北市,2024,10,19,土城,1.0849817,1.088,0.2768777,0.278,39.182175,39.033,38.92661,38.917,16.561438,16.583,5.691983,5.679,2.8579972,2.833,16.561,16.583,35.5
新北市,2024,10,20,土城,1.3174404,1.321,0.28000307,0.281,37.545242,37.371,35.79451,35.806,17.270712,17.348,7.1710196,7.15,2.7434537,2.739,17.271,17.348,27.75
新北市,2024,10,21,土城,1.15783,1.165,0.25699922,0.258,38.626347,38.6,39.500244,39.358,23.052801,23.125,7.3192387,7.322,3.4501028,3.458,23.053,23.125,33.292
新北市,2024,10,22,土城,1.2042524,1.208,0.3986283,0.4,36.08559,36.017,36.024155,35.896,25.07646,25.042,9.459923,9.475,9.918744,9.958,32.204,32.331,36.625
新北市,2024,10,23,土城,0.9951192,1.004,0.22893864,0.229,39.786915,39.729,39.156773,38.942,6.4496493,6.667,7.7996016,7.825,0.9549887,0.688,12.999,13.042,36.333
新北市,2024,10,24,土城,0.8660122,0.875,0.20019984,0.2,31.589405,31.504,29.022348,28.992,6.412347,6.667,6.1871653,6.2,0.70298636,1.333,10.312,10.333,28.625
新北市,2024,10,25,土城,1.4029751,1.4,0.31430122,0.315,15.018796,15.0,13.096839,13.046,11.954266,12.083,10.014651,10.025,1.7297713,1.957,16.691,16.708,19.875
新北市,2024,10,26,土城,1.4928098,1.496,0.20400995,0.204,21.795446,21.721,24.596977,24.554,13.495092,13.708,6.454862,6.5,2.405054,2.333,13.495,13.708,20.875
新北市,2024,10,27,土城,1.4520636,1.446,0.2785352,0.28,32.758312,32.767,34.66091,34.629,13.837576,13.958,10.5483265,10.561,2.4498858,2.478,17.581,17.602,30.417
新北市,2024,10,28,土城,0.96061635,0.963,0.30700037,0.308,41.0397,40.983,42.358746,42.175,21.976992,22.042,9.505349,9.508,9.418632,9.417,30.58,30.575,37.542
新北市,2024,10,29,土城,0.8672124,0.875,0.25001204,0.25,39.565907,39.533,37.67431,37.554,12.870144,12.957,8.985327,8.961,3.2185175,3.273,14.976,14.935,36.292
新北市,2024,10,30,土城,0.29257262,0.312,0.14287487,0.142,32.506832,32.562,33.576954,33.542,4.704327,4.917,2.1412818,2.175,0.97500736,0.167,4.704,4.917,29.583
新北市,2024,10,31,土城,0.15656398,0.204,0.35202718,0.353,20.350006,20.329,17.875998,17.833,12.968309,13.087,12.432376,12.435,3.6332512,3.65,20.721,20.725,25.042
新北市,2024,11,1,土城,0.51847005,0.527,0.30854473,0.31,27.103703,26.983,29.271946,29.195,15.896366,15.957,9.458795,9.473,4.709868,4.696,15.896,15.957,25.875
新北市,2024,11,2,土城,0.8042474,0.815,0.30100122,0.302,46.916676,46.892,47.29456,47.312,38.2632,38.083,6.0874166,6.117,13.698309,13.708,44.475,44.506,43.917
新北市,2024,11,3,土城,0.8485414,0.858,0.26001498,0.262,39.559322,39.446,39.2464,39.25,25.411507,25.417,7.707575,7.733,7.829005,7.826,25.419,25.417,36.083
新北市,2024,11,4,土城,0.4941461,0.508,0.27684247,0.278,41.530922,41.425,42.34892,42.304,30.19103,30.083,9.914037,9.933,11.501868,11.5,37.344,37.338,40.0
新北市,2024,11,5,土城,0.86742884,0.871,0.21300498,0.214,40.922413,40.892,39.800907,39.667,29.347193,29.292,8.493171,8.517,10.192537,10.25,33.093,33.279,39.542
新北市,2024,11,6,土城,0.8041271,0.812,0.24000423,0.24,37.85443,37.75,37.48753,37.508,17.209616,17.25,8.495118,8.504,6.249946,6.292,20.292,20.429,34.208
新北市,2024,11,7,土城,0.508456,0.514,0.24200177,0.242,36.277905,36.196,35.703865,35.614,11.796597,11.87,8.629635,8.661,4.4235454,4.435,14.383,14.435,33.042
新北市,2024,11,8,土城,0.4011829,0.408,0.23494446,0.235,30.949228,30.967,30.91476,30.871,4.6280494,5.042,7.6779585,7.663,1.1178079,0.526,12.797,12.772,28.333
新北市,2024,11,9,土城,0.87999433,0.892,0.22099608,0.221,32.03419,31.971,32.585808,32.554,11.093791,11.208,6.1625605,6.221,3.4628499,3.478,11.243,11.292,29.167
新北市,2024,11,10,土城,0.6705571,0.675,0.25299418,0.255,31.327765,31.288,30.30116,30.204,13.020491,13.167,8.892578,8.942,3.9234006,3.917,14.821,14.903,28.792
新北市,2024,11,11,土城,0.61565375,0.625,0.23813614,0.239,29.310238,29.258,30.503458,30.446,9.512868,9.667,9.973608,10.021,2.4529903,2.375,16.623,16.702,27.0
新北市,2024,11,12,土城,0.41671222,0.429,0.21829414,0.219,29.233421,29.167,25.880138,25.896,9.731447,9.783,6.767519,6.754,3.0185747,3.042,11.279,11.257,26.708
新北市,2024,11,13,土城,0.53324914,0.539,0.33504796,0.336,9.285377,9.029,8.520823,8.433,16.876368,17.0,9.973677,10.009,6.400587,6.348,20.781,20.61,18.458
新北市,2024,11,14,土城,1.0869029,1.071,0.7371983,0.73,22.089945,22.088,22.238857,22.204,87.65926,85.375,29.813553,29.808,43.068863,51.708,120.623,143.021,122.042
新北市,2024,11,15,土城,0.8138809,0.821,0.42942545,0.432,11.789921,11.617,13.699929,13.821,39.140015,38.833,17.596151,17.504,24.072767,24.083,72.109,72.134,92.875
新北市,2024,11,16,土城,0.48202997,0.492,0.18030757,0.18,28.355417,28.312,30.284506,30.217,10.252507,10.333,5.306218,5.362,3.6286404,3.708,11.781,12.039,25.792
新北市,2024,11,17,土城,1.2410789,1.242,0.2532175,0.254,35.878567,35.767,35.315704,35.296,20.343008,20.375,8.591656,8.621,8.692466,8.667,28.222,28.14,32.708
新北市,2024,11,18,土城,0.89193875,0.9,0.25699636,0.258,34.084324,33.954,34.226254,34.058,10.686324,10.708,8.891872,8.95,4.4245377,4.458,14.82,14.917,31.042
新北市,2024,11,19,土城,1.1174241,1.121,0.26200256,0.263,34.55541,34.542,34.66962,34.592,7.1634684,7.333,9.178179,9.2,1.6882323,1.625,15.297,15.333,31.708
新北市,2024,11,20,土城,1.0064924,1.009,0.26499772,0.266,34.840088,34.8,34.755363,34.678,7.6843777,7.75,9.502458,9.535,0.6536442,1.208,15.837,15.892,31.792
新北市,2024,11,21,土城,0.7217712,0.733,0.2749763,0.276,35.972813,35.908,37.84615,37.759,16.818972,16.826,8.752915,8.776,7.0547724,7.043,22.905,22.867,32.75
新北市,2024,11,22,土城,0.8484302,0.854,0.24500386,0.245,45.39209,45.346,44.481827,44.471,26.648098,26.583,6.2815013,6.333,11.827815,11.875,38.402,38.555,42.25
新北市,2024,11,23,土城,0.51906836,0.533,0.1870771,0.187,39.889786,39.875,39.134666,39.0,17.319643,17.417,5.1284337,5.171,5.3557506,5.375,17.389,17.451,36.375
新北市,2024,11,24,土城,1.5965587,1.592,0.30699992,0.308,40.422615,40.383,40.37879,40.312,26.373344,26.375,13.084278,13.142,11.306388,11.333,36.709,36.795,40.708
新北市,2024,11,25,土城,1.0531423,1.058,0.30700025,0.308,26.177977,26.204,27.623108,27.538,26.218746,26.167,11.750547,11.771,11.1052685,11.125,36.056,36.12,37.625
新北市,2024,11,26,土城,1.5981514,1.592,0.262999,0.264,42.609947,42.521,42.57546,42.479,33.498055,33.375,9.028071,9.042,10.712897,10.75,34.782,34.903,40.458
新北市,2024,11,27,土城,1.4375393,1.438,0.3070001,0.308,38.84906,38.742,36.129543,36.046,29.350597,29.348,13.13899,13.196,11.105861,11.087,36.058,35.997,38.333
新北市,2024,11,28,土城,1.4108268,1.408,0.3404742,0.341,33.37985,33.275,36.31652,36.279,34.11247,33.958,14.9743,14.954,13.333712,13.375,43.291,43.425,46.0
新北市,2024,10,1,新店,0.83803254,0.846,0.16507268,0.165,33.124126,33.1,37.47513,37.362,15.5217495,15.542,3.9746668,3.992,7.191029,7.208,23.347,23.403,32.167
新北市,2024,10,2,新店,0.8666918,0.875,0.15389398,0.154,45.35557,45.254,45.341885,45.258,3.361216,3.833,3.091007,3.108,4.0516515,4.125,13.155,13.393,41.833
新北市,2024,10,3,新店,0.18390732,0.171,0.305988,0.307,32.118633,32.05,27.706951,27.7,8.32935,8.348,11.122334,11.129,6.213241,6.217,20.173,20.185,34.708
新北市,2024,10,4,新店,0.74074996,0.754,0.3148462,0.316,13.963263,14.054,14.5881605,14.5,14.011183,14.125,10.324158,10.354,7.8682637,7.875,25.546,25.568,26.083
新北市,2024,10,5,新店,0.5463836,0.558,0.15501481,0.156,13.308143,13.138,13.118669,13.004,9.750105,9.875,3.9735293,3.979,5.7938776,5.75,18.811,18.669,18.5
新北市,2024,10,6,新店,0.44694102,0.467,0.16495022,0.165,11.439132,11.287,13.121337,13.125,8.306943,8.591,6.661198,6.7,5.3731065,5.391,17.445,17.503,19.208
新北市,2024,10,7,新店,0.3154723,0.322,0.23804024,0.239,30.947172,30.975,35.297924,35.25,10.433908,10.542,8.848882,8.877,6.1198006,6.167,19.869,20.023,28.458
新北市,2024,10,8,新店,0.41608277,0.421,0.308102,0.309,38.56877,38.446,37.48674,37.4,17.939295,17.958,10.97012,10.967,9.747432,9.75,31.648,31.656,35.542
新北市,2024,10,9,新店,0.5938151,0.604,0.27005377,0.271,44.029182,43.938,44.971176,45.004,24.907242,24.917,8.988014,8.983,13.477379,13.458,43.758,43.695,44.25
新北市,2024,10,10,新店,0.41959372,0.425,0.25600272,0.256,53.40054,53.592,53.5944,53.3,25.187037,25.125,7.3355885,7.383,13.553274,13.583,44.004,44.101,52.333
新北市,2024,10,11,新店,0.31524667,0.321,0.21902984,0.219,41.63546,41.65,39.805508,39.675,17.048658,17.125,6.2810197,6.321,10.038138,10.083,32.591,32.737,38.292
新北市,2024,10,12,新店,0.22234154,0.225,0.17790362,0.178,33.369,33.254,33.29038,33.242,15.972048,16.042,3.86957,3.871,11.033406,11.083,35.823,35.984,34.75
新北市,2024,10,13,新店,0.22218403,0.229,0.18079484,0.18,33.066048,33.012,32.209877,32.096,15.514041,15.625,5.126541,5.175,9.86978,9.875,32.045,32.062,35.708
新北市,2024,10,14,新店,0.3150019,0.318,0.21818349,0.218,25.0715,25.071,26.05524,25.935,14.347971,14.435,6.8980966,6.909,7.834636,7.826,25.437,25.409,26.042
新北市,2024,10,15,新店,0.105876915,0.085,0.20206991,0.202,26.346134,26.258,25.012903,25.037,15.579344,15.75,7.90463,7.904,7.8709188,7.875,25.555,25.568,26.0
新北市,2024,10,16,新店,0.33671078,0.338,0.22109857,0.221,23.480482,23.5,22.956099,22.988,17.479488,17.583,7.9021525,7.925,9.764687,9.708,31.704,31.519,32.542
新北市,2024,10,17,新店,0.9593316,0.967,0.26499772,0.267,28.863132,28.817,28.785206,28.771,19.380156,19.435,9.83237,9.883,12.496557,12.478,40.573,40.513,36.875
新北市,2024,10,18,新店,0.6691894,0.675,0.21698904,0.217,16.664696,16.579,19.931353,19.817,13.030451,13.208,6.095322,6.088,9.234781,9.208,29.983,29.896,31.583
新北市,2024,10,19,新店,0.64551264,0.658,0.24999513,0.251,38.931007,38.883,38.48953,38.375,9.958649,10.125,5.4820437,5.471,7.6343875,7.625,24.787,24.756,35.5
新北市,2024,10,20,新店,0.5695141,0.583,0.2430378,0.244,33.045963,32.9,32.20854,32.108,15.17525,15.292,6.591026,6.625,9.287788,9.292,30.155,30.169,32.583
新北市,2024,10,21,新店,0.6160583,0.621,0.21200144,0.212,37.03795,37.042,39.14979,39.062,20.2462,20.333,6.5928864,6.6,11.37521,11.375,36.932,36.932,36.167
新北市,2024,10,22,新店,1.3490546,1.346,0.35052055,0.352,36.69655,36.6,36.682552,36.608,21.885761,21.917,8.715846,8.708,15.01484,15.083,48.749,48.971,47.5
新北市,2024,10,23,新店,0.79420197,0.8,0.1812388,0.181,40.919983,40.771,40.64589,40.523,5.9530845,6.217,7.1703424,7.148,5.90373,5.913,19.168,19.198,37.458
新北市,2024,10,24,新店,0.60248166,0.608,0.16059592,0.16,33.39038,33.337,31.087831,31.108,7.4608426,7.542,4.662718,4.646,6.831818,6.875,22.181,22.321,31.375
新北市,2024,10,25,新店,0.5845524,0.588,0.14983991,0.148,25.088188,25.008,24.939907,24.846,6.527582,6.583,3.214976,3.158,6.6235943,6.625,21.505,21.51,23.5
新北市,2024,10,26,新店,0.74207056,0.75,0.16297767,0.164,27.307325,27.238,27.620361,27.508,12.859314,12.917,5.311015,5.35,8.728403,8.75,28.339,28.409,27.833
新北市,2024,10,27,新店,0.7833642,0.796,0.22111022,0.221,37.894527,37.675,40.378487,40.3,12.527662,12.583,7.535289,7.575,9.234205,9.208,29.981,29.896,36.667
新北市,2024,10,28,新店,1.1798031,1.179,0.27880433,0.28,40.124886,40.071,40.63705,40.458,18.236006,18.348,9.501112,9.53,12.410353,12.435,40.293,40.373,43.25
新北市,2024,10,29,新店,0.7786897,0.783,0.23297197,0.232,41.55074,41.505,38.310776,38.23,10.817174,11.083,9.220189,9.233,9.666866,9.667,31.386,31.386,37.083
新北市,2024,10,30,新店,0.38189158,0.387,0.12436116,0.12,31.596361,31.458,32.731766,32.696,6.428253,6.625,1.6916333,1.587,5.7945995,5.792,18.814,18.805,28.833
新北市,2024,10,31,新店,0.90647143,0.917,0.33902574,0.34,22.903908,22.833,20.8955,20.871,10.68286,10.708,11.384929,11.467,8.457447,8.5,27.459,27.597,31.25
新北市,2024,11,1,新店,0.56060386,0.57,0.2799769,0.281,28.6891,28.583,29.995102,29.971,12.091256,12.208,7.8046355,7.788,7.870732,7.875,25.554,25.568,27.833
新北市,2024,11,2,新店,0.8817986,0.888,0.27688533,0.278,43.026775,43.008,43.24474,43.183,32.40901,32.417,7.0799847,7.129,19.301323,19.292,60.36,60.337,57.917
新北市,2024,11,3,新店,0.5333692,0.541,0.23101759,0.231,35.6841,35.717,35.70172,35.627,21.778753,21.739,8.495025,8.518,11.29663,11.304,36.677,36.701,40.333
新北市,2024,11,4,新店,0.94533545,0.95,0.26399973,0.265,38.223763,38.154,38.59312,38.538,25.966118,26.0,10.796888,10.779,15.00474,15.083,48.717,48.971,44.875
新北市,2024,11,5,新店,1.0213927,1.029,0.198087,0.198,38.22397,38.133,37.47722,37.417,24.912086,24.917,7.9016304,7.933,12.690503,12.75,41.203,41.396,44.583
新北市,2024,11,6,新店,0.9452313,0.946,0.1947647,0.195,36.93054,36.775,36.962444,36.958,13.009369,13.125,6.8447146,6.861,8.333853,8.375,27.058,27.192,33.208
新北市,2024,11,7,新店,0.85648763,0.865,0.25500864,0.257,32.883495,32.771,29.178694,29.083,8.3207,8.542,11.1642685,11.196,7.8733883,7.875,25.563,25.568,34.458
新北市,2024,11,8,新店,0.81388706,0.825,0.2680046,0.269,18.329561,18.288,19.784054,19.683,5.9221263,6.208,11.558506,11.571,5.7076163,5.667,19.264,19.285,23.5
