county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
臺南市,2024,10,1,善化,0.5129247,0.508,0.15320143,0.153,25.53471,25.429,26.18919,26.167,14.358711,14.417,5.162822,5.188,9.642879,9.708,31.308,31.519,30.625
臺南市,2024,10,2,善化,0.971017,0.963,0.14863612,0.148,34.03462,34.142,33.847584,33.838,17.365604,17.333,3.421092,3.471,8.936991,8.917,29.016,28.951,31.958
臺南市,2024,10,3,善化,0.7587433,0.758,0.1738385,0.174,34.605003,34.683,34.935463,34.892,15.904568,16.0,5.1029873,5.104,8.397178,8.417,27.264,27.328,33.0
臺南市,2024,10,4,善化,1.161807,1.161,0.15807126,0.158,34.274452,34.271,34.927204,34.85,19.305273,19.375,4.76758,4.832,9.82534,9.875,31.9,32.062,33.25
臺南市,2024,10,5,善化,0.909032,0.912,0.14308782,0.143,32.15145,32.333,31.376856,31.275,20.802168,20.708,3.555652,3.617,11.964905,12.042,38.847,39.097,43.292
臺南市,2024,10,6,善化,1.1419758,1.139,0.12039129,0.121,26.41597,26.408,26.748497,26.732,13.313783,13.174,4.089914,4.087,8.379237,8.435,27.205,27.386,28.125
臺南市,2024,10,7,善化,2.124603,2.129,0.16249798,0.163,32.451366,32.496,33.812782,33.888,24.09915,24.083,5.643746,5.638,13.744782,13.833,44.626,44.912,41.792
臺南市,2024,10,8,善化,1.7604934,1.767,0.23947,0.24,36.935577,36.925,36.44059,36.533,27.918367,27.667,8.020911,8.021,17.480824,17.458,55.877,55.821,56.458
臺南市,2024,10,9,善化,1.3575525,1.35,0.2487983,0.248,41.041344,41.258,43.64938,43.633,41.337833,41.083,7.278611,7.275,21.549,21.417,65.895,65.569,68.25
臺南市,2024,10,10,善化,2.288383,2.288,0.2854422,0.285,48.19494,48.325,47.132317,47.113,49.219822,49.125,8.716124,8.721,27.430405,27.333,80.376,80.137,83.208
臺南市,2024,10,11,善化,1.3993264,1.404,0.2910252,0.291,44.966743,45.017,43.82618,43.917,44.994114,44.875,7.752605,7.783,23.97853,23.958,71.877,71.826,83.875
臺南市,2024,10,12,善化,1.1610352,1.171,0.2581895,0.258,40.504425,40.633,39.605415,39.604,37.328636,37.542,7.1670213,7.171,22.387547,22.375,67.959,67.928,72.375
臺南市,2024,10,13,善化,0.9462955,0.942,0.24887252,0.248,42.174416,42.512,42.53527,42.646,33.627094,33.5,7.665249,7.704,21.800674,21.917,66.514,66.801,70.958
臺南市,2024,10,14,善化,1.4155258,1.409,0.20984672,0.21,33.666977,33.596,34.045315,34.071,39.909824,39.783,7.2787905,7.278,23.216747,23.217,70.001,70.002,68.833
臺南市,2024,10,15,善化,0.95951355,0.958,0.21485034,0.215,37.249435,37.337,35.616417,35.692,39.232693,39.25,7.945176,7.946,21.701107,21.667,66.269,66.185,68.25
臺南市,2024,10,16,善化,1.177168,1.175,0.23976131,0.239,38.341606,38.55,40.324368,40.408,42.19291,41.833,8.017693,8.025,23.984047,24.042,71.89,72.033,68.667
