county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
臺東縣,2024,10,1,臺東,0.8024855,0.812,0.10411119,0.106,32.39965,32.608,34.462006,34.554,23.766064,23.625,1.8677777,1.858,3.8734796,3.875,23.766,23.625,30.0
臺東縣,2024,10,2,臺東,0.9932643,0.992,0.13317566,0.135,43.906834,43.888,43.80528,44.117,20.90393,20.667,1.9285592,1.95,2.9737566,3.042,20.904,20.667,40.292
臺東縣,2024,10,3,臺東,0.88939005,0.883,0.22509243,0.226,33.339252,33.292,28.963614,28.896,11.4423065,11.375,4.2319593,4.229,4.0328813,4.0,13.094,12.987,30.667
臺東縣,2024,10,4,臺東,1.0250596,1.025,0.14043403,0.141,16.41994,16.312,16.192345,16.121,12.866709,12.875,3.013637,3.058,3.7822447,3.75,12.867,12.875,17.5
臺東縣,2024,10,5,臺東,1.2967103,1.296,0.095557205,0.098,13.957485,13.871,13.420711,13.296,10.22185,10.25,2.095426,2.154,2.330081,2.375,10.222,10.25,12.875
臺東縣,2024,10,6,臺東,1.0940995,1.092,0.116726056,0.117,12.964098,12.742,13.737287,13.488,13.650293,13.583,2.2304587,2.275,3.3912566,3.417,13.65,13.583,14.417
臺東縣,2024,10,7,臺東,1.1855778,1.183,0.123371,0.125,22.2909,22.212,24.866566,24.841,14.248162,14.273,2.477517,2.504,2.7339594,2.783,14.248,14.273,20.292
臺東縣,2024,10,8,臺東,1.1978476,1.196,0.22306566,0.224,45.044025,44.996,45.19177,45.521,21.54652,21.542,3.7257454,3.733,5.307035,5.333,21.547,21.542,41.292
臺東縣,2024,10,9,臺東,1.347994,1.346,0.21113655,0.213,42.944775,42.788,43.110004,43.129,20.383844,20.333,3.0147803,3.058,5.8301573,5.792,20.384,20.333,39.125
臺東縣,2024,10,10,臺東,1.204719,1.204,0.22559582,0.226,46.830505,47.163,47.54864,47.962,24.886564,24.792,3.5347943,3.546,8.482935,8.417,27.542,27.328,43.333
臺東縣,2024,10,11,臺東,1.2187357,1.217,0.18844384,0.19,44.514294,44.654,42.55509,42.642,19.07501,18.917,3.2803197,3.317,6.39367,6.375,20.759,20.698,40.75
臺東縣,2024,10,12,臺東,0.80138075,0.8,0.1578048,0.159,31.545202,31.367,29.63333,29.504,14.797919,14.75,3.2141602,3.225,6.062912,6.0,19.685,19.481,29.0
臺東縣,2024,10,13,臺東,1.0731337,1.079,0.16620365,0.167,24.762733,24.717,24.4873,24.458,15.883766,15.792,3.917772,3.925,6.057041,6.042,19.666,19.617,26.167
