county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
嘉義縣,2024,10,1,新港,1.5212659,1.533,0.15275705,0.153,30.897432,30.887,33.155766,33.058,32.243977,32.125,4.1381683,4.133,8.931598,8.875,32.244,32.125
嘉義縣,2024,10,2,新港,1.6853505,1.692,0.14643535,0.146,41.787342,41.908,41.91968,41.971,34.639065,34.542,2.963654,2.962,6.8410306,6.917,34.639,34.542
嘉義縣,2024,10,3,新港,1.045268,1.058,0.17898658,0.179,42.222275,42.3,41.697525,41.867,15.855009,15.739,4.308881,4.352,5.220837,5.261,16.951,17.081
嘉義縣,2024,10,4,新港,1.6647763,1.667,0.16110463,0.161,39.915977,40.05,39.997883,40.008,25.19244,25.125,4.1274953,4.15,7.479026,7.5,25.192,25.125
嘉義縣,2024,10,5,新港,1.9240271,1.929,0.16455542,0.164,38.317703,38.483,36.833298,36.779,27.892109,27.917,4.3731756,4.388,11.132598,11.083,36.145,35.984
嘉義縣,2024,10,6,新港,2.567544,2.571,0.19507262,0.195,29.994482,29.942,30.128899,30.162,22.414557,22.25,6.55472,6.575,9.548555,9.458,31.002,30.708
嘉義縣,2024,10,7,新港,1.8537915,1.865,0.20240512,0.203,33.052525,33.146,34.708847,34.659,30.17563,29.87,7.042276,7.0,10.027876,10.043,32.558,32.607
嘉義縣,2024,10,8,新港,1.8311535,1.846,0.2536926,0.253,44.1806,44.283,43.90078,43.904,34.599808,34.417,7.0480766,7.0,12.636848,12.667,41.029,41.127
嘉義縣,2024,10,9,新港,1.5531133,1.571,0.23734209,0.237,48.060966,48.392,50.079876,50.538,40.28666,40.417,6.4840174,6.454,15.484011,15.333,40.287,49.782
嘉義縣,2024,10,10,新港,1.8996564,1.908,0.26511165,0.265,50.191216,50.575,49.732193,49.483,43.002594,43.125,7.0490427,7.075,19.909006,19.792,61.856,61.568
