county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
宜蘭縣,2024,10,1,冬山,0.58909565,0.45,0.18019108,0.18,29.528217,29.671,32.42848,32.583,14.360192,14.208,2.2280495,2.146,3.5237293,3.375,14.36,14.208
宜蘭縣,2024,10,2,冬山,0.52917653,0.383,0.2120733,0.212,36.586605,36.767,36.68003,36.729,9.175738,9.042,2.6776383,2.679,1.4021442,1.333,9.176,9.042
宜蘭縣,2024,10,3,冬山,0.8203672,0.721,0.3499455,0.35,25.049198,25.183,20.84318,21.042,16.858501,16.833,10.11585,10.067,4.6603565,4.542,16.86,16.833
宜蘭縣,2024,10,4,冬山,0.7838866,0.683,0.27768475,0.278,15.196051,15.238,14.589996,14.7,14.739991,14.75,6.4656496,6.417,4.464366,4.417,14.74,14.75
宜蘭縣,2024,10,5,冬山,0.97648364,0.904,0.21999618,0.22,11.727292,11.912,11.731879,11.946,19.554764,19.458,4.5209055,4.529,6.4917927,6.417,21.077,20.834
宜蘭縣,2024,10,6,冬山,0.62597185,0.496,0.15933585,0.159,11.728462,11.692,16.557629,16.704,18.542234,18.478,5.738732,5.742,4.2472744,4.25,18.542,18.478
宜蘭縣,2024,10,7,冬山,0.5623746,0.427,0.18365872,0.184,39.997646,40.25,42.01751,41.962,15.381098,15.261,4.9414263,4.942,3.8369894,3.833,15.381,15.261
宜蘭縣,2024,10,8,冬山,0.44482335,0.282,0.2040849,0.204,41.58354,41.671,40.243114,40.4,22.663897,22.682,4.889539,4.873,7.022101,6.957,22.799,22.682
宜蘭縣,2024,10,9,冬山,0.4669102,0.312,0.19308814,0.193,43.02434,43.129,43.42016,43.404,27.842676,27.826,4.563472,4.554,10.408439,10.417,33.794,33.821
宜蘭縣,2024,10,10,冬山,0.5484993,0.404,0.19618224,0.196,41.574505,41.592,40.013783,40.177,30.337421,30.522,5.8304777,5.826,12.511702,12.565,40.622,40.795
