county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
桃園市,2024,10,1,大園,0.83223915,0.829,0.14488441,0.146,37.591816,37.721,40.032246,40.033,27.743914,27.708,5.7062626,5.658,13.061927,13.042,42.409,42.344
桃園市,2024,10,2,大園,1.182854,1.175,0.15162334,0.151,45.36411,45.667,45.572746,45.454,17.333622,17.333,3.6350744,3.792,14.36788,14.375,46.649,46.672
桃園市,2024,10,3,大園,0.8630231,0.854,0.14819139,0.148,47.537308,47.583,47.677765,47.871,16.562458,16.478,3.6297724,3.746,4.9900174,5.042,16.562,16.478
桃園市,2024,10,4,大園,0.6661523,0.662,0.25712305,0.257,30.10222,30.212,25.000292,25.062,22.91893,22.792,13.384556,13.329,7.46082,7.5,24.223,24.351
桃園市,2024,10,5,大園,1.0002176,0.992,0.20396551,0.205,13.509683,13.671,13.290916,13.396,19.185251,19.167,10.933204,10.858,7.2527757,7.208,23.548,23.403
桃園市,2024,10,6,大園,0.9489975,0.946,0.121282555,0.125,19.34963,19.462,23.804106,23.858,15.050166,14.917,8.860059,8.825,4.611638,4.583,15.05,14.917
桃園市,2024,10,7,大園,1.0818979,1.079,0.18962173,0.191,45.140667,45.308,46.646564,46.617,16.624588,16.542,8.686981,8.654,6.125775,6.167,19.889,20.023
桃園市,2024,10,8,大園,1.198681,1.191,0.23087494,0.231,40.86851,40.933,40.793762,40.778,27.733839,27.609,14.592291,14.522,9.856195,9.826,32.001,31.903
桃園市,2024,10,9,大園,1.3292761,1.317,0.19916026,0.2,52.129364,51.962,52.52298,52.225,27.029621,27.042,11.5022955,11.467,10.186093,10.125,33.072,32.873
桃園市,2024,10,10,大園,1.9098846,1.887,0.22410354,0.224,50.369797,50.333,49.66221,49.492,32.812065,32.75,14.612934,14.608,11.164874,11.167,36.25,36.256
桃園市,2024,10,11,大園,1.5834949,1.57,0.17357746,0.175,39.78695,39.95,38.64404,38.626,22.386528,22.375,12.28314,12.235,6.775905,6.75,22.387,22.375
桃園市,2024,10,12,大園,1.392462,1.383,0.18032129,0.182,32.56758,32.596,31.162878,31.15,17.945583,17.833,9.368017,9.371,8.051518,8.083,26.141,26.244
桃園市,2024,10,13,大園,1.1253167,1.108,0.22808364,0.229,28.001858,28.117,26.71809,26.833,23.852407,23.708,12.541556,12.492,9.224443,9.25,29.949,30.032
桃園市,2024,10,14,大園,1.3241545,1.312,0.20984179,0.21,21.155067,21.133,22.549156,22.654,25.302439,25.292,13.960031,13.975,8.498793,8.5,27.593,27.597
桃園市,2024,10,15,大園,1.4140139,1.396,0.15495744,0.156,27.267748,27.354,26.9667,26.946,21.027548,20.957,10.731389,10.687,8.404284,8.391,27.287,27.244
桃園市,2024,10,16,大園,1.3284425,1.329,0.15501773,0.155,25.589188,25.696,24.518305,24.525,25.217272,25.083,12.061135,12.033,12.406471,12.375,40.281,40.179
桃園市,2024,10,17,大園,1.608377,1.604,0.265604,0.266,18.345255,18.458,17.716393,17.775,23.588985,23.542,17.015121,17.008,14.988791,14.958,48.665,48.565
桃園市,2024,10,18,大園,1.7781657,1.762,0.24976042,0.25,21.70505,21.667,25.77099,25.771,35.7857,35.739,13.304313,13.267,20.154064,20.083,62.46,62.285
桃園市,2024,10,19,大園,1.9165481,1.908,0.22298354,0.223,37.99899,38.008,38.00687,37.971,27.209093,27.167,10.051016,10.042,12.246489,12.208,39.761,39.636
桃園市,2024,10,20,大園,1.6872334,1.665,0.20390709,0.205,36.27677,36.362,35.32707,35.374,25.671602,25.609,12.367093,12.355,7.933524,7.955,25.758,25.828
桃園市,2024,10,21,大園,1.149491,1.142,0.20598747,0.208,38.057564,38.2,40.575584,40.617,32.805435,32.625,10.585676,10.521,11.097771,11.083,36.032,35.984
桃園市,2024,10,22,大園,0.9334036,0.93,0.32215765,0.322,38.0383,38.083,37.448746,37.465,30.996689,30.826,11.738798,11.714,15.609183,15.565,51.269,51.16
桃園市,2024,10,23,大園,1.4378781,1.421,0.1584883,0.158,39.770893,39.671,38.922993,39.021,18.11066,18.083,9.468273,9.467,8.137259,8.125,26.42,26.38
桃園市,2024,10,24,大園,1.0403686,1.029,0.14566632,0.147,31.302849,31.421,27.39067,27.533,12.104461,11.958,10.961997,10.908,7.053917,7.042,22.902,22.864
桃園市,2024,10,25,大園,1.7822237,1.775,0.35472563,0.355,26.924026,26.971,30.892994,30.954,46.616116,46.292,16.537016,16.529,22.100494,22.083,67.252,67.209
桃園市,2024,10,26,大園,0.98730874,0.983,0.1719117,0.172,23.599957,23.617,21.773481,21.938,23.326971,23.292,10.957393,10.929,9.904017,9.875,32.156,32.062
桃園市,2024,10,27,大園,0.9472608,0.938,0.17351584,0.174,39.266827,39.433,41.847614,41.846,22.049404,22.042,8.396256,8.346,8.499646,8.5,27.596,27.597
桃園市,2024,10,28,大園,1.4610851,1.45,0.24197005,0.242,43.249596,43.292,43.99662,44.008,31.418318,31.375,13.959903,13.954,14.441774,14.5,46.889,47.078
桃園市,2024,10,29,大園,1.8124554,1.812,0.16998458,0.171,41.73549,41.904,40.279335,40.15,22.301243,22.208,10.12831,10.092,10.200587,10.208,33.119,33.143
桃園市,2024,10,30,大園,0.74040055,0.738,0.1514534,0.152,34.333908,34.496,33.662216,33.65,13.809072,13.783,3.6291242,3.442,9.721759,9.708,31.564,31.519
桃園市,2024,10,31,大園,0.43830124,0.429,0.22801837,0.229,26.942604,27.029,25.06591,25.179,9.564072,9.636,6.7982597,6.764,8.501529,8.478,27.602,27.526
桃園市,2024,11,1,大園,1.2334834,1.229,0.29040998,0.29,24.514452,24.621,27.399775,27.496,21.279716,21.208,17.02646,16.996,9.00268,9.0,29.229,29.221
桃園市,2024,11,2,大園,1.7788502,1.762,0.2580155,0.258,47.360767,47.429,48.21295,47.967,42.924553,42.583,10.930404,10.896,19.654652,19.667,61.23,61.26
桃園市,2024,11,3,大園,1.9539587,1.942,0.19802509,0.199,36.87197,36.892,36.20587,36.192,30.951534,30.833,15.620858,15.596,11.5219965,11.542,37.409,37.474
桃園市,2024,11,4,大園,1.5104644,1.5,0.20985058,0.21,43.494072,43.471,45.041878,44.957,38.14838,38.043,12.197568,12.183,17.856998,17.739,56.804,56.513
桃園市,2024,11,5,大園,1.5335119,1.529,0.16017535,0.162,41.406334,41.433,40.323097,40.512,34.93618,35.0,11.219038,11.192,12.03362,12.0,39.07,38.961
桃園市,2024,11,6,大園,2.1141987,2.109,0.15984261,0.161,38.033554,38.117,37.167202,37.241,22.049381,22.043,11.57811,11.518,7.461789,7.478,24.227,24.279
桃園市,2024,11,7,大園,1.0829849,1.075,0.15807806,0.158,37.556957,37.696,38.029118,38.038,16.232336,16.167,9.270441,9.258,6.8752313,6.875,22.322,22.321
桃園市,2024,11,8,大園,0.5064345,0.479,0.13563184,0.137,36.86014,36.779,35.44661,35.604,9.974731,9.792,7.2176147,7.179,3.6319368,3.5,12.029,11.965
桃園市,2024,11,9,大園,0.8841102,0.883,0.14780809,0.148,32.97312,32.958,33.485004,33.579,19.137688,19.083,8.552076,8.512,7.0033545,7.0,22.738,22.727
桃園市,2024,11,10,大園,1.327632,1.319,0.1584472,0.16,31.293352,31.356,30.430544,30.484,19.33692,19.318,12.340954,12.281,6.9224725,6.955,22.476,22.581
桃園市,2024,11,11,大園,1.8477917,1.85,0.16353998,0.165,31.133177,31.171,32.346764,32.327,17.170847,17.083,11.244506,11.233,7.005276,7.0,22.744,22.727
桃園市,2024,11,12,大園,1.78226,1.779,0.16000941,0.162,32.509327,32.567,28.752886,28.867,15.888531,15.875,10.709022,10.642,6.8733716,6.833,22.316,22.185
桃園市,2024,11,13,大園,2.2649634,2.258,0.3259929,0.326,22.564554,22.671,26.131199,26.175,38.85142,38.833,17.080116,17.104,21.53598,21.5,65.862,65.774
桃園市,2024,11,14,大園,1.8488332,1.842,0.38195825,0.381,28.764189,28.783,26.158924,26.258,57.04023,56.958,17.877241,17.867,37.288837,37.833,105.638,107.049
桃園市,2024,11,15,大園,1.7512136,1.738,0.1459376,0.145,22.299063,22.371,23.387987,23.379,24.989185,24.958,8.463294,8.412,11.393252,11.375,36.991,36.932
桃園市,2024,11,16,大園,1.7159735,1.7,0.13538462,0.135,31.30454,31.462,33.737453,33.796,17.564537,17.5,6.7050643,6.712,5.941635,5.958,19.291,19.344
桃園市,2024,11,17,大園,1.557694,1.546,0.20206256,0.202,35.942924,36.067,34.951786,34.983,29.850853,29.792,10.586432,10.512,11.82316,11.833,38.387,38.419
桃園市,2024,11,18,大園,2.081221,2.079,0.18035813,0.182,32.258713,32.312,32.036594,32.179,18.071653,18.0,13.261409,13.25,6.6944375,6.667,22.102,22.083
桃園市,2024,11,19,大園,2.0169384,2.0,0.18880485,0.189,34.26903,34.321,35.021885,35.029,12.516871,12.417,13.116142,13.088,6.6899457,6.667,21.86,21.813
桃園市,2024,11,20,大園,1.6049883,1.588,0.1961137,0.198,35.030964,35.129,34.40889,34.504,11.150339,11.208,11.221475,11.188,6.0521536,6.042,19.65,19.617
桃園市,2024,11,21,大園,1.5271691,1.518,0.22612503,0.227,35.327377,35.392,36.62332,36.687,23.604946,23.391,11.986775,11.93,9.761189,9.739,31.692,31.62
桃園市,2024,11,22,大園,1.8482478,1.833,0.21600123,0.216,42.02098,41.967,40.819412,40.808,33.27177,33.125,11.837146,11.8,14.141236,14.125,45.913,45.86
桃園市,2024,11,23,大園,1.3687685,1.358,0.14782248,0.148,36.85758,36.967,36.87926,36.925,21.025621,20.917,8.691341,8.625,6.921117,6.958,22.471,22.591
桃園市,2024,11,24,大園,2.0245945,2.013,0.23596822,0.236,34.97502,35.008,34.6865,34.717,23.582258,23.458,12.632647,12.591,10.935217,10.917,35.504,35.445
桃園市,2024,11,25,大園,1.4425784,1.439,0.26003385,0.26,28.57079,28.637,29.647635,29.712,25.298681,25.217,11.637052,11.612,11.268637,11.261,36.586,36.562
桃園市,2024,11,26,大園,1.7215229,1.708,0.23206139,0.232,38.652897,38.7,38.32164,38.288,37.706787,37.667,13.728835,13.704,15.3710375,15.375,49.906,49.919
桃園市,2024,11,27,大園,1.917219,1.904,0.24343504,0.243,36.83896,36.729,35.330063,35.3,34.924507,34.875,21.103222,21.121,13.675424,13.542,44.401,43.968
桃園市,2024,11,28,大園,2.1456423,2.125,0.27026612,0.27,32.339653,32.458,34.343525,34.308,41.575047,41.625,21.305115,21.446,15.2833185,15.292,49.621,49.649
桃園市,2024,10,1,平鎮,0.65099144,0.642,0.196298,0.198,30.479574,30.575,34.68024,34.679,21.491858,21.417,6.0873785,6.025,7.64569,7.667,24.824,24.893
桃園市,2024,10,2,平鎮,0.44044673,0.438,0.18649712,0.188,41.52061,41.621,41.588886,41.492,7.271091,7.167,4.7481847,4.638,1.3603548,1.25,7.914,7.73
桃園市,2024,10,3,平鎮,0.47021186,0.446,0.2340511,0.234,40.377163,40.458,39.493526,39.579,12.632009,12.667,9.4728365,9.458,2.3996751,2.042,15.788,15.763
桃園市,2024,10,4,平鎮,0.70059025,0.688,0.29703137,0.297,28.805984,28.833,25.346851,25.533,19.611197,19.583,12.715961,12.679,4.9952307,5.042,21.193,21.132
桃園市,2024,10,5,平鎮,0.5122524,0.508,0.23400714,0.234,15.396512,15.388,14.993454,14.996,17.097586,17.042,8.682571,8.642,4.5976224,4.625,17.098,17.042
桃園市,2024,10,6,平鎮,0.44059783,0.442,0.21797188,0.219,15.1404,15.096,17.173914,17.292,12.512563,12.5,9.633798,9.612,3.310765,3.25,16.056,16.02
桃園市,2024,10,7,平鎮,0.3980369,0.39,0.31809327,0.318,31.549564,31.621,33.380863,33.474,10.18865,10.261,14.617903,14.61,4.5830193,4.565,24.363,24.35
桃園市,2024,10,8,平鎮,0.56485707,0.546,0.36003765,0.359,37.796196,37.8,36.044304,36.087,26.15211,26.083,14.411509,14.367,8.757269,8.792,28.433,28.545
桃園市,2024,10,9,平鎮,1.040406,1.038,0.29532763,0.296,44.872307,44.754,47.67241,47.842,27.759842,27.667,10.604139,10.55,10.989852,11.042,35.681,35.851
桃園市,2024,10,10,平鎮,1.2119464,1.196,0.30344775,0.303,54.286964,54.125,53.15713,53.262,26.760754,26.708,9.643327,9.583,10.454484,10.458,33.943,33.955
桃園市,2024,10,11,平鎮,0.6680685,0.662,0.25493234,0.255,43.744087,43.733,41.891098,42.0,19.411995,19.417,7.7725835,7.733,6.592259,6.583,21.403,21.373
桃園市,2024,10,12,平鎮,0.39632785,0.392,0.23793983,0.238,32.93757,32.896,31.7562,31.912,17.108864,17.0,6.8091407,6.758,7.731882,7.75,25.104,25.162
桃園市,2024,10,13,平鎮,0.75920063,0.746,0.25481206,0.254,34.35598,34.425,36.210007,36.217,25.291897,25.208,10.962844,10.921,10.807615,10.75,35.09,34.903
桃園市,2024,10,14,平鎮,0.70468116,0.686,0.28202078,0.282,28.336246,28.392,27.059835,27.242,19.36626,19.304,10.932668,10.864,6.6970196,6.696,21.744,21.74
桃園市,2024,10,15,平鎮,0.60721,0.608,0.23795307,0.238,27.263645,27.342,26.426208,26.454,19.367619,19.292,9.855938,9.867,6.1330805,6.167,19.913,20.023
桃園市,2024,10,16,平鎮,0.6323156,0.629,0.27305287,0.273,25.619812,25.762,24.338398,24.4,22.3979,22.417,10.927524,10.896,8.0675335,8.042,26.193,26.11
桃園市,2024,10,17,平鎮,0.51020986,0.492,0.30334127,0.304,22.780563,22.938,22.319864,22.35,32.92842,32.833,14.412348,14.379,15.540527,15.5,51.1,51.0
桃園市,2024,10,18,平鎮,0.6060135,0.608,0.33001345,0.33,14.56177,14.479,17.851078,17.992,23.62419,23.625,13.958384,13.971,10.18422,10.167,33.066,33.01
桃園市,2024,10,19,平鎮,1.0137153,1.004,0.29533604,0.296,35.242786,35.262,35.73102,35.796,19.110085,19.042,6.7007384,6.679,6.770467,6.792,21.982,22.052
桃園市,2024,10,20,平鎮,0.6328319,0.625,0.26705274,0.267,36.573143,36.667,35.744938,35.804,20.040834,20.083,7.0247316,6.938,5.7678976,5.708,20.041,20.083
桃園市,2024,10,21,平鎮,0.8317756,0.83,0.26205614,0.262,35.940178,36.046,37.45298,37.413,23.95555,23.957,8.617583,8.596,7.829644,7.826,25.421,25.409
桃園市,2024,10,22,平鎮,0.36318448,0.368,0.41706777,0.417,28.929525,29.05,22.930864,22.971,26.173943,26.2,13.229517,13.195,10.329445,10.3,33.537,33.442
桃園市,2024,10,23,平鎮,0.53838485,0.523,0.22649126,0.227,36.209133,36.104,34.69148,34.788,9.926955,9.875,10.5887375,10.517,3.321047,3.417,17.648,17.528
桃園市,2024,10,24,平鎮,0.30958495,0.323,0.2850263,0.285,26.61326,26.571,22.73604,22.796,11.664417,11.625,12.062208,12.052,4.2621236,4.25,20.104,20.087
