county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
臺中市,2024,10,1,大里,0.98902905,1.004,0.1976239,0.199,29.11812,29.2,29.618647,29.733,21.237913,21.417,6.863618,6.917,10.80187,10.875,35.071,35.308
臺中市,2024,10,2,大里,1.5001904,1.512,0.19116734,0.192,35.994976,36.212,36.48023,36.575,10.075625,10.0,6.485023,6.55,4.6691275,4.625,15.16,15.016
臺中市,2024,10,3,大里,1.0874807,1.1,0.23592225,0.237,36.75759,36.904,35.960613,36.033,6.7338758,6.75,8.895677,8.95,4.4626856,4.417,14.826,14.917
臺中市,2024,10,4,大里,1.0583618,1.071,0.22769918,0.229,34.57463,34.717,33.755573,33.908,15.736047,15.875,8.82984,8.875,8.235662,8.333,26.739,27.055
臺中市,2024,10,5,大里,1.300529,1.308,0.22311126,0.224,29.135502,29.129,30.034058,30.117,21.724749,21.875,6.694606,6.742,12.635082,12.708,41.023,41.26
臺中市,2024,10,6,大里,1.3040528,1.317,0.25197223,0.253,30.025024,30.171,27.393787,27.446,20.730753,20.875,9.319522,9.362,12.82515,12.875,41.64,41.802
臺中市,2024,10,7,大里,1.0377272,1.048,0.2420104,0.243,23.409187,23.517,26.272219,26.252,11.121144,11.0,9.736266,9.774,5.8221745,5.957,18.903,19.341
臺中市,2024,10,8,大里,1.2534645,1.265,0.28310043,0.283,36.964134,37.067,36.228016,36.33,18.445063,18.5,10.885018,10.957,8.411185,8.522,27.309,27.669
臺中市,2024,10,9,大里,1.4317214,1.446,0.25574103,0.256,37.62609,37.754,38.589287,38.808,22.905924,23.125,8.000796,8.004,12.052913,12.167,39.133,39.503
臺中市,2024,10,10,大里,1.4840899,1.496,0.34153005,0.343,36.9696,36.946,36.240295,36.317,26.690323,26.826,12.767675,12.787,15.045773,15.174,48.85,49.266
臺中市,2024,10,11,大里,1.1836505,1.191,0.35819864,0.36,40.09594,40.279,38.07994,38.126,32.79906,33.083,12.674528,12.717,18.0675,18.125,57.322,57.464
臺中市,2024,10,12,大里,2.3161106,2.321,0.3709991,0.372,35.096745,35.15,34.860817,34.921,34.448307,34.667,10.67818,10.704,18.944592,19.0,59.482,59.618
臺中市,2024,10,13,大里,1.6875913,1.7,0.36576554,0.368,37.82425,37.992,39.077084,39.221,36.453312,36.708,10.926513,10.971,21.204319,21.208,65.046,65.055
臺中市,2024,10,14,大里,1.4436973,1.454,0.3638155,0.366,37.539085,37.629,36.233326,36.379,36.55311,36.792,11.982229,12.046,21.508577,21.458,65.795,65.67
臺中市,2024,10,15,大里,1.4618114,1.467,0.3358006,0.337,33.40403,33.417,32.585278,32.679,39.131805,39.478,11.08367,11.121,23.17762,23.348,69.905,70.324
臺中市,2024,10,16,大里,1.4201514,1.429,0.3550086,0.358,34.789677,34.837,35.261276,35.371,42.249886,42.667,11.767924,11.829,25.450254,25.375,75.501,75.315
臺中市,2024,10,17,大里,1.9928539,2.008,0.36582035,0.368,38.777058,38.825,38.580437,38.708,48.926083,48.917,10.2690735,10.312,28.979717,29.125,84.191,84.549
臺中市,2024,10,18,大里,1.5951734,1.608,0.34575468,0.348,32.565434,32.738,31.900526,31.988,37.418358,37.625,11.773065,11.829,23.749437,23.875,71.313,71.622
臺中市,2024,10,19,大里,1.4000504,1.412,0.297004,0.298,33.72697,33.817,34.9253,35.0,15.752076,15.833,6.428125,6.462,8.130503,8.25,26.398,26.786
臺中市,2024,10,20,大里,1.3002518,1.312,0.3202503,0.322,32.573845,32.667,31.38966,31.529,23.716578,23.875,11.081374,11.104,11.623795,11.708,37.74,38.013
臺中市,2024,10,21,大里,1.2367636,1.243,0.34103337,0.344,23.123783,23.121,23.196718,23.309,33.612915,33.696,12.461062,12.47,16.252005,16.391,52.852,53.194
臺中市,2024,10,22,大里,0.9220566,0.938,0.30012825,0.301,33.729336,33.804,34.41321,34.496,21.768303,21.917,7.295988,7.35,5.8178473,5.875,21.768,21.917
臺中市,2024,10,23,大里,1.2644343,1.279,0.22120282,0.223,36.530407,36.733,35.75051,35.812,13.27807,13.333,8.087892,8.108,3.2984529,3.375,13.48,13.513
臺中市,2024,10,24,大里,1.2889779,1.304,0.27696297,0.278,33.16855,33.192,30.967743,30.988,21.235537,21.5,11.336758,11.388,8.526889,8.625,27.685,28.003
臺中市,2024,10,25,大里,1.2370243,1.243,0.31783277,0.319,22.3898,22.4,23.189674,23.25,45.284153,45.417,10.993749,11.037,22.531097,22.667,68.313,68.647
臺中市,2024,10,26,大里,1.0491936,1.062,0.2829411,0.284,24.063353,24.1,24.284216,24.35,38.71257,39.0,10.0441885,10.112,17.334782,17.375,55.518,55.617
臺中市,2024,10,27,大里,1.0675709,1.079,0.23504014,0.236,24.085127,24.204,25.83365,25.896,16.235987,16.292,8.694687,8.75,7.829321,7.875,25.42,25.568
臺中市,2024,10,28,大里,1.1390028,1.154,0.27219874,0.273,37.595913,37.725,38.262375,38.392,13.825895,13.875,7.0776334,7.121,7.97763,8.083,25.901,26.244
臺中市,2024,10,29,大里,1.0683156,1.075,0.23698837,0.238,39.506924,39.575,37.53517,37.725,10.755653,10.667,7.650554,7.742,4.447852,4.583,14.441,14.88
臺中市,2024,10,30,大里,0.78972286,0.809,0.16113025,0.163,24.082415,24.204,23.180807,23.3,10.3106985,10.636,4.226965,4.278,4.785693,4.826,15.538,15.669
臺中市,2024,10,31,大里,1.2994286,1.308,0.3455765,0.348,27.546886,27.629,28.626684,28.704,24.762022,24.875,10.233766,10.275,13.809765,13.875,44.837,45.049
臺中市,2024,11,1,大里,1.4991419,1.512,0.38121343,0.383,28.794022,28.779,26.677767,26.812,20.245,20.417,11.911916,11.954,10.632977,10.708,34.523,34.766
