datacreationdate,sitename,aqi_2,calc_AQI,abs_diff
2024-10-16,三義,46.042,44.984,1.0579999999999998
2024-10-17,三義,39.042,31.826,7.216000000000001
2024-10-18,三義,70.625,43.259,27.366
2024-10-19,三義,58.417,51.195,7.222000000000001
2024-10-20,三義,35.208,44.85,9.642000000000003
2024-10-21,三義,32.75,21.752,10.998000000000001
2024-10-22,三義,28.667,28.873,0.20599999999999952
2024-10-23,三義,36.708,19.029,17.679
2024-10-24,三義,40.25,18.982,21.268
2024-10-25,三義,35.833,10.889,24.944
2024-10-26,三義,50.375,24.366,26.009
2024-10-27,三義,40.167,37.632,2.5350000000000037
2024-10-28,三義,30.208,29.727,0.4809999999999981
2024-10-29,三義,38.875,24.635,14.239999999999998
2024-10-30,三義,41.583,27.245,14.337999999999997
2024-10-31,三義,27.208,15.758,11.45
2024-11-01,三義,31.583,6.885,24.698
2024-11-02,三義,29.25,21.589,7.661000000000001
2024-11-03,三義,36.583,31.173,5.41
2024-11-04,三義,39.667,40.08,0.4129999999999967
2024-11-05,三義,41.417,34.348,7.069000000000003
2024-11-06,三義,43.167,29.496,13.671000000000003
2024-11-07,三義,39.5,19.38,20.12
2024-11-08,三義,34.042,25.305,8.737000000000002
2024-11-09,三義,27.333,20.947,6.385999999999999
2024-11-10,三義,23.292,21.961,1.331000000000003
2024-11-11,三義,27.917,22.747,5.170000000000002
2024-11-12,三義,20.5,28.038,7.538
2024-11-13,三義,56.708,25.76,30.947999999999997
2024-11-14,三義,86.542,53.047,33.495000000000005
2024-11-15,三義,82.333,62.992,19.341
2024-11-16,三義,41.958,53.461,11.503
2024-11-17,三義,24.458,32.066,7.608000000000004
2024-11-18,三義,35.333,24.018,11.314999999999998
2024-11-19,三義,28.417,22.368,6.049000000000003
2024-11-20,三義,27.083,24.293,2.789999999999999
2024-11-21,三義,28.333,21.006,7.326999999999998
2024-11-22,三義,33.667,14.239,19.428
2024-11-23,三義,40.458,18.404,22.054
2024-11-24,三義,32.083,30.57,1.5129999999999981
2024-11-25,三義,49.917,24.264,25.653000000000002
2024-11-26,三義,32.875,41.963,9.088000000000001
2024-11-27,三義,38.167,21.774,16.393
2024-11-28,三義,38.708,35.272,3.436
2024-11-29,三義,45.333,38.336,6.997
2024-10-16,中山,28.292,31.623,3.3309999999999995
2024-10-17,中山,37.917,31.542,6.375
2024-10-18,中山,40.958,31.747,9.210999999999999
2024-10-19,中山,29.167,32.313,3.146000000000001
2024-10-20,中山,33.917,31.977,1.9400000000000013
2024-10-21,中山,32.375,31.438,0.9370000000000012
2024-10-22,中山,33.167,31.373,1.7940000000000005
2024-10-23,中山,47.0,31.189,15.811
2024-10-24,中山,32.583,31.334,1.2489999999999988
2024-10-25,中山,27.167,31.264,4.096999999999998
2024-10-26,中山,19.292,31.396,12.104
2024-10-27,中山,18.625,30.929,12.303999999999998
2024-10-28,中山,29.958,30.541,0.583000000000002
2024-10-29,中山,40.417,30.222,10.195
2024-10-30,中山,33.917,29.865,4.052000000000003
2024-10-31,中山,27.125,29.69,2.5650000000000013
2024-11-01,中山,35.917,29.419,6.498000000000001
2024-11-02,中山,30.958,29.294,1.663999999999998
2024-11-03,中山,54.375,29.353,25.022
2024-11-04,中山,36.583,29.802,6.780999999999999
2024-11-05,中山,43.667,30.765,12.902000000000001
