sitename,aqi,aqi_2,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,co_8hr,pm2.5_avg,pm10_avg,Precipitation(mm),next_aqi,month,day
仁武,127.917,128.0,1.75,0.547,34.021,34.554,68.083,46.792,17.162,19.113,1.9,1.979,320.75,0.504,46.025,65.958,0.0,108.0,1,1
仁武,110.292,108.0,1.478,0.588,24.865,25.583,61.348,38.478,24.935,34.274,9.296,1.613,296.667,0.55,39.15,62.417,0.0,94.0,1,2
仁武,99.208,94.0,1.108,0.445,31.004,31.379,56.042,33.417,18.592,20.604,1.967,3.871,343.042,0.383,34.833,57.583,0.0,85.0,1,3
仁武,75.875,85.0,2.14,0.546,23.645,22.135,46.048,28.81,27.73,36.605,8.835,1.9,325.591,0.504,27.932,44.409,0.0,96.0,1,4
仁武,92.0,96.0,1.513,0.451,27.487,28.171,56.13,33.261,23.858,28.426,4.542,2.188,318.208,0.392,32.067,55.167,0.0,103.0,1,5
仁武,99.583,103.0,0.462,0.463,34.592,34.267,49.292,36.25,22.808,27.367,4.492,1.458,274.917,0.404,35.058,48.667,0.0,124.0,1,6
仁武,117.095,124.0,1.3,0.491,37.329,36.62,59.952,43.095,19.371,20.852,1.433,1.952,316.19,0.435,43.395,57.5,0.0,99.0,1,7
仁武,106.417,99.0,1.527,0.526,28.057,30.233,56.043,35.652,24.613,30.865,6.196,1.817,318.25,0.492,37.583,58.417,0.0,84.0,1,8
仁武,84.917,84.0,1.433,0.406,22.154,22.679,45.625,28.667,20.546,25.012,4.417,2.804,341.25,0.362,29.254,46.625,0.0,103.0,1,9
仁武,97.375,103.0,0.946,0.425,30.908,29.496,54.375,36.25,16.412,18.796,2.354,3.833,342.167,0.329,34.108,50.875,0.0,95.0,1,10
仁武,98.833,95.0,2.012,0.515,30.371,30.829,53.708,33.583,26.237,32.988,6.712,1.771,259.75,0.462,34.629,54.042,0.0,100.0,1,11
仁武,100.375,100.0,2.304,0.504,38.092,36.25,53.583,35.5,24.304,28.846,4.508,1.483,213.417,0.458,35.212,54.333,0.0,87.0,1,12
仁武,88.333,87.0,1.729,0.441,37.875,39.454,38.792,26.208,20.783,22.858,2.042,1.279,183.542,0.404,28.65,41.208,0.0,67.0,1,13
仁武,64.125,67.0,2.196,0.347,42.321,41.571,36.292,21.667,14.812,16.412,1.554,1.621,246.833,0.308,20.692,33.958,0.0,91.0,1,14
仁武,84.875,91.0,2.021,0.48,32.775,34.204,51.75,31.5,24.662,31.208,6.504,1.558,262.417,0.388,29.217,46.958,0.0,102.0,1,15
仁武,109.208,102.0,1.93,0.498,26.757,28.096,59.043,36.826,23.196,26.587,3.352,2.258,319.917,0.475,38.612,61.083,0.0,112.0,1,16
仁武,87.167,112.0,2.317,0.414,37.4,33.992,50.625,27.208,23.6,30.1,6.462,1.608,278.042,0.371,27.562,51.75,0.0,96.0,1,17
仁武,87.75,96.0,2.258,0.418,33.667,36.246,55.042,33.125,25.333,29.271,3.883,1.842,303.208,0.342,30.371,51.542,0.0,94.0,1,18
仁武,100.583,94.0,2.508,0.467,32.079,31.517,51.5,33.5,25.412,32.7,7.237,1.558,260.875,0.408,35.087,52.333,0.0,113.0,1,19
仁武,110.083,113.0,1.938,0.402,30.826,31.958,56.208,40.042,16.9,19.918,2.977,2.438,336.542,0.362,38.992,55.375,0.0,72.0,1,20
仁武,78.167,72.0,1.737,0.461,24.029,23.742,41.5,24.667,14.475,16.958,2.442,2.775,323.083,0.396,26.546,41.917,0.0,62.0,1,21
仁武,64.875,62.0,1.583,0.456,17.704,18.892,30.13,20.087,17.978,21.596,3.557,3.121,341.875,0.417,21.133,32.458,0.0,40.0,1,22
仁武,35.792,40.0,1.554,0.384,14.108,15.046,19.375,10.583,17.346,21.433,4.038,3.954,341.208,0.338,10.604,20.042,0.0,69.0,1,23
仁武,63.833,69.0,1.675,0.399,20.5,19.408,31.708,22.25,20.921,25.408,4.429,2.212,288.625,0.346,20.738,28.833,0.0,90.0,1,24
仁武,87.917,90.0,2.175,0.457,16.154,17.171,43.833,31.625,25.058,29.396,4.3,2.346,319.333,0.4,30.438,42.333,0.0,95.0,1,25
仁武,92.042,95.0,1.729,0.485,22.558,20.183,45.708,32.958,22.742,28.15,5.358,2.596,331.792,0.442,32.083,42.958,0.0,114.0,1,26
仁武,110.958,114.0,2.038,0.489,25.842,26.575,55.625,39.917,21.812,26.288,4.417,2.583,330.042,0.45,39.358,55.208,0.0,123.0,1,27
