sitename,aqi,aqi_2,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,co_8hr,pm2.5_avg,pm10_avg,Precipitation(mm),next_aqi,month,day
仁武,106.833,109.0,3.454,0.544,36.404,32.167,111.542,38.125,14.455,20.395,5.918,1.321,214.396,0.55,36.875,114.458,0.0,122.0,1,1
仁武,119.417,122.0,3.454,0.438,32.917,37.083,122.708,43.958,12.496,15.217,2.796,1.858,290.667,0.429,42.083,114.5,0.0,137.0,1,2
仁武,135.542,137.0,3.817,0.522,29.054,27.875,115.458,48.958,19.113,28.857,9.748,1.371,291.25,0.525,48.833,119.625,0.0,141.0,1,3
仁武,135.0,141.0,5.333,0.502,29.863,29.625,102.083,49.792,19.75,27.854,8.033,1.462,283.475,0.504,49.583,105.25,0.0,115.0,1,4
仁武,119.5,115.0,3.45,0.45,25.938,27.375,88.833,40.917,18.342,26.771,8.458,1.917,267.625,0.462,42.958,90.792,0.0,132.0,1,5
仁武,119.083,132.0,5.154,0.463,22.929,22.25,92.542,46.75,17.088,27.5,10.454,1.733,276.208,0.462,42.875,85.0,0.0,144.0,1,6
仁武,141.375,144.0,4.092,0.473,26.175,26.458,102.5,53.25,15.092,21.054,5.829,1.55,292.458,0.462,56.417,109.167,0.0,99.0,1,7
仁武,103.417,99.0,5.225,0.415,33.617,32.542,76.792,35.625,11.675,14.938,3.292,2.062,315.583,0.412,36.458,77.5,0.0,107.0,1,8
仁武,102.826,107.0,4.974,0.721,28.748,29.609,110.913,38.217,25.584,39.626,14.026,1.8,312.609,0.687,36.174,96.565,0.0,125.0,1,9
仁武,122.583,125.0,5.071,0.684,30.461,28.5,111.25,43.917,30.167,39.5,9.262,1.929,307.292,0.7,44.0,120.042,0.0,154.0,1,10
仁武,152.583,154.0,5.583,0.647,37.042,36.917,130.375,61.0,28.042,34.083,5.95,1.796,304.917,0.667,60.25,126.208,0.0,126.0,1,11
仁武,128.417,126.0,5.886,0.52,27.852,30.917,110.087,44.391,27.455,33.864,6.536,2.242,305.708,0.546,46.542,114.375,0.0,144.0,1,12
仁武,143.833,144.0,4.661,0.582,25.396,27.333,96.083,53.25,28.083,33.042,5.067,2.517,313.167,0.533,53.667,101.583,0.0,110.0,1,13
仁武,104.25,110.0,4.283,0.725,14.379,13.25,64.25,38.458,28.792,33.792,4.962,2.362,315.208,0.733,36.958,63.75,0.0,120.0,1,14
仁武,124.25,120.0,4.229,0.613,22.529,21.792,83.375,43.417,25.125,28.417,3.354,2.225,292.375,0.662,44.542,83.792,0.0,94.0,1,15
仁武,97.783,94.0,3.917,0.481,21.278,22.174,67.957,33.348,27.565,32.913,5.348,2.057,302.044,0.465,34.435,62.522,0.0,110.0,1,16
仁武,107.0,110.0,5.091,0.5,24.291,22.5,83.292,38.417,30.87,39.652,8.8,2.235,299.152,0.537,37.792,84.125,0.0,98.0,1,17
仁武,102.417,98.0,6.137,0.435,31.479,31.5,80.417,34.917,26.435,30.913,4.539,2.483,308.458,0.425,36.208,82.333,0.0,88.0,1,18
仁武,87.042,88.0,4.35,0.481,24.421,24.958,78.292,29.958,27.609,35.565,7.961,2.096,301.958,0.471,30.292,78.083,0.0,106.0,1,19
仁武,101.542,106.0,3.008,0.567,21.4,22.0,106.75,37.208,26.667,29.917,3.233,3.092,315.625,0.537,35.625,99.125,0.0,125.0,1,20
仁武,124.5,125.0,3.779,0.57,25.0,24.125,102.0,45.833,26.792,29.833,3.079,2.475,317.25,0.6,44.625,103.917,0.0,113.0,1,21
仁武,111.375,113.0,3.067,0.517,29.233,27.292,95.875,39.545,22.9,24.3,1.325,2.067,308.833,0.521,39.625,89.542,0.0,117.0,1,22
仁武,118.348,117.0,4.413,0.591,31.15,33.13,118.304,41.783,35.667,42.867,7.327,1.809,307.478,0.6,42.217,122.739,0.0,132.0,1,23
仁武,131.292,132.0,5.083,0.628,18.309,20.208,123.696,47.739,35.318,44.773,9.486,2.092,315.917,0.642,48.375,124.583,0.0,103.0,1,24
仁武,107.583,103.0,4.792,0.478,20.692,20.208,89.083,36.667,29.875,38.667,8.646,2.688,305.375,0.492,38.167,91.708,0.0,98.0,1,25
仁武,94.833,98.0,3.088,0.454,34.275,32.208,75.375,34.0,21.333,25.292,3.996,2.604,310.833,0.446,33.083,75.0,0.0,97.0,1,26
仁武,102.042,97.0,4.521,0.445,32.15,32.583,78.0,34.348,19.137,22.042,2.879,2.321,304.917,0.467,35.917,81.625,0.0,87.0,1,27
仁武,82.917,87.0,3.896,0.462,35.362,35.625,61.417,26.458,19.604,21.033,1.492,1.821,306.625,0.45,27.833,65.958,0.0,90.0,1,28
仁武,79.0,90.0,3.629,0.468,35.242,34.417,61.375,30.333,20.479,22.558,2.058,1.367,280.417,0.479,26.583,59.167,0.0,122.0,1,29
仁武,125.565,122.0,4.387,0.495,34.314,36.609,100.217,43.87,17.817,20.522,2.696,1.9,265.391,0.483,45.13,90.174,0.0,78.0,1,30
仁武,79.333,78.0,2.821,0.478,26.167,26.083,62.667,26.696,17.208,19.167,2.121,1.987,309.333,0.487,27.042,70.042,0.0,75.0,1,31
仁武,81.417,75.0,4.2,0.427,24.35,24.542,70.5,25.792,19.417,22.083,2.717,2.221,311.042,0.438,27.958,70.042,0.0,84.0,2,1
仁武,73.75,84.0,2.796,0.469,29.333,28.458,74.5,27.375,19.542,22.125,2.617,2.242,304.375,0.442,24.208,70.417,0.0,115.0,2,2
仁武,124.542,115.0,3.375,0.571,27.529,27.625,98.125,42.083,26.458,31.667,5.346,2.017,312.292,0.617,44.583,101.792,0.0,133.0,2,3
仁武,119.042,133.0,3.108,0.471,18.908,20.375,97.542,46.333,22.917,27.375,4.454,1.788,269.35,0.458,42.833,95.0,0.0,130.0,2,4
仁武,131.25,130.0,3.846,0.539,17.433,17.208,90.667,47.208,23.125,27.875,4.767,2.075,322.542,0.558,48.5,93.417,0.0,153.0,2,5
仁武,142.292,153.0,3.787,0.693,28.338,25.667,115.083,57.708,25.375,33.5,8.121,1.908,308.458,0.675,55.5,105.833,0.0,153.0,2,6
仁武,151.458,153.0,4.062,0.596,32.075,32.208,125.042,59.458,26.125,34.708,8.442,1.85,294.0,0.617,61.875,129.583,0.0,95.0,2,7
仁武,100.125,95.0,4.871,0.444,30.342,31.042,91.958,33.5,24.583,29.75,5.038,2.771,315.458,0.467,35.375,97.5,0.0,66.0,2,8
仁武,73.875,66.0,2.917,0.384,25.227,26.083,78.391,40.0,18.478,21.174,2.7,4.629,308.833,0.375,21.417,76.375,0.0,144.0,2,9
仁武,123.458,144.0,4.667,0.654,27.917,28.375,92.167,50.542,27.542,30.458,2.767,2.212,300.833,0.612,44.917,88.292,0.0,161.0,2,10
仁武,160.542,161.0,4.196,0.688,11.212,13.5,102.875,74.667,30.5,36.5,6.013,2.25,307.05,0.675,73.292,106.292,0.0,138.0,2,11
仁武,143.917,138.0,4.408,0.575,27.533,23.417,84.375,51.25,23.042,28.333,5.367,1.779,284.292,0.629,56.5,87.375,0.0,111.0,2,12
仁武,111.304,111.0,4.591,0.551,29.139,30.13,88.0,40.174,28.174,35.652,7.509,1.917,311.391,0.53,39.522,84.043,0.0,113.0,2,13
仁武,115.958,113.0,4.625,0.549,31.604,30.042,100.667,40.25,31.042,39.917,8.812,1.792,292.375,0.567,41.292,98.125,0.0,121.0,2,14
仁武,118.042,121.0,5.362,0.522,34.238,34.333,95.75,42.375,29.208,35.958,6.696,1.8,293.417,0.508,42.167,100.458,0.0,127.0,2,15
仁武,125.125,127.0,5.839,0.537,33.425,33.625,80.913,46.045,30.708,38.667,7.838,1.533,257.417,0.542,45.0,86.375,0.0,77.0,2,16
仁武,80.125,77.0,5.021,0.481,30.95,32.958,67.875,26.083,28.792,33.5,4.842,1.662,244.417,0.488,27.417,66.25,0.0,154.0,2,17
仁武,129.917,154.0,4.283,0.506,35.833,33.792,120.042,58.625,25.333,28.875,3.579,2.333,308.208,0.488,53.0,102.458,0.0,152.0,2,18
仁武,151.125,152.0,4.5,0.536,40.875,38.875,111.375,57.875,20.067,22.417,2.317,1.983,295.208,0.542,60.75,124.75,0.0,99.0,2,19
仁武,111.435,99.0,4.826,0.461,25.759,29.913,85.478,34.696,21.905,26.0,4.114,1.77,184.317,0.47,39.783,92.522,0.0,152.0,2,20
仁武,137.875,152.0,4.108,0.556,34.067,31.583,122.792,56.5,24.833,28.583,3.696,1.958,284.583,0.542,52.542,111.333,0.0,90.0,2,21
仁武,103.625,90.0,4.461,0.417,19.209,21.696,91.591,42.0,20.295,25.8,5.541,2.317,229.667,0.454,35.917,102.458,0.0,71.0,2,22
仁武,68.5,71.0,2.567,0.465,25.088,25.417,73.667,0.0,21.208,24.542,3.229,2.15,240.375,0.417,19.5,67.792,0.0,113.0,2,23
