Serial,Precipitation(mm)
20170101,0
20170102,0
20170103,0
20170104,0
20170105,0
20170106,0
20170107,0.1
20170108,0
20170109,0
20170110,0
20170111,0
20170112,6.0
20170113,11.0
20170114,0.5
20170115,0.1
20170116,0
20170117,0.5
20170118,1.2
20170119,0
20170120,1.0
20170121,0
20170122,0
20170123,0
20170124,0
20170125,0
20170126,0
20170127,0
20170128,0
20170129,0
20170130,0
20170131,0
20170201,0
20170202,0
20170203,0
20170204,0
20170205,0
20170206,0
20170207,0
20170208,0.7
20170209,0
20170210,0
20170211,0
20170212,0
20170213,0
20170214,0
20170215,0
20170216,0
20170217,0
20170218,0
20170219,0
20170220,13.2
20170221,0
20170222,16.7
20170223,3.6
20170224,12.5
20170225,7.0
20170226,0
20170227,0
20170228,0
20170301,0
20170302,0
20170303,0
20170304,0
20170305,21.6
20170306,5.9
20170307,0
20170308,0
20170309,0
20170310,55.0
20170311,0.1
20170312,2.1
20170313,0.3
20170314,2.0
20170315,0
20170316,4.6
20170317,0.2
20170318,8.0
20170319,2.5
20170320,0
20170321,0
20170322,20.6
20170323,5.8
20170324,0
20170325,5.5
20170326,0
20170327,0
20170328,0.4
20170329,5.0
20170330,0
20170331,15.7
20170401,1.0
20170402,0
20170403,0
20170404,0
20170405,0
20170406,0
20170407,1.0
20170408,0.8
20170409,0.5
20170410,1.9
20170411,17.0
20170412,3.0
20170413,0
20170414,0
20170415,0
20170416,0
20170417,1.2
20170418,2.1
20170419,66.1
20170420,5.0
20170421,26.5
20170422,0.9
20170423,0
20170424,0
20170425,2.0
20170426,11.8
20170427,3.0
20170428,0
20170429,0
20170430,0
20170501,0
20170502,0
20170503,0
20170504,0
20170505,0
20170506,18.5
20170507,0
20170508,0
20170509,3.5
20170510,0
20170511,0
20170512,22.2
20170513,0
20170514,0
20170515,2.6
20170516,3.3
20170517,0
20170518,0
20170519,0
20170520,4.5
20170521,0
20170522,0
20170523,0
20170524,49.0
20170525,0
20170526,0
20170527,0
20170528,0
20170529,0
20170530,0
20170531,0
20170601,28.7
20170602,33.5
20170603,26.0
20170604,10.0
20170605,0.1
20170606,0
20170607,8.5
20170608,0
20170609,0
20170610,0
20170611,0
20170612,0
20170613,13.1
20170614,19.3
20170615,42.3
20170616,54.0
20170617,48.5
20170618,27.5
20170619,5.9
20170620,23.6
20170621,9.0
20170622,0
20170623,0
20170624,0
20170625,5.5
20170626,9.2
20170627,7.2
20170628,16.4
20170629,0
20170630,0
20170701,1.7
20170702,0
20170703,0
20170704,0
20170705,0
20170706,0
20170707,0
20170708,0
20170709,0
20170710,0
20170711,0
20170712,0
20170713,0
20170714,0
20170715,0
20170716,0
20170717,0
20170718,0
20170719,0
20170720,0
20170721,0
20170722,0
20170723,0
20170724,0
20170725,0
20170726,0
20170727,0
20170728,0
20170729,11.6
20170730,40.5
20170731,142.5
20170801,46.0
20170802,0
20170803,0
20170804,0
20170805,0
20170806,0.7
20170807,0
20170808,0
20170809,0
20170810,31.0
20170811,0.5
20170812,0
20170813,0
20170814,0
20170815,0
20170816,0
20170817,0
20170818,0
20170819,0
20170820,0
20170821,0
20170822,1.5
20170823,0
20170824,0
20170825,0
20170826,0
20170827,0.4
20170828,0
20170829,0
20170830,0
20170831,0
20170901,0
20170902,0
20170903,4.0
20170904,0
20170905,0
20170906,0
20170907,0
20170908,2.9
20170909,0
20170910,0
20170911,0
20170912,0
20170913,0
20170914,0
20170915,0
20170916,0
20170917,0
20170918,0
20170919,0
20170920,0
20170921,0.1
20170922,0
20170923,0
20170924,0
20170925,0
20170926,0
20170927,0
20170928,46.0
20170929,0
20170930,0
20171001,0
20171002,0
20171003,0
20171004,0
20171005,0
20171006,0
20171007,0
20171008,0
20171009,0.3
20171010,0
20171011,0
20171012,0
20171013,0.3
20171014,11.5
20171015,9.0
20171016,0
20171017,0
20171018,0
20171019,0
20171020,0
20171021,0
20171022,0
20171023,0
20171024,0
20171025,0
20171026,0
20171027,0
20171028,0
20171029,0
20171030,0
20171031,0
20171101,0
20171102,0
20171103,0
20171104,0
20171105,0
20171106,0.2
20171107,1.0
20171108,0
20171109,0
20171110,0
20171111,0
20171112,1.0
20171113,0
20171114,0
20171115,0
20171116,0
20171117,0
20171118,6.6
20171119,2.5
20171120,1.2
20171121,2.0
20171122,2.0
20171123,0
20171124,0
20171125,8.0
20171126,1.0
20171127,0
20171128,0
20171129,1.5
20171130,0.5
20171201,0
20171202,0
20171203,0
20171204,0
20171205,0
20171206,0
20171207,0
20171208,0
20171209,0
20171210,0
20171211,0
20171212,0.6
20171213,0
20171214,0.6
20171215,3.5
20171216,2.5
20171217,0
20171218,0
20171219,0
20171220,0
20171221,0
20171222,0
20171223,0
20171224,0
20171225,0
20171226,0
20171227,0
20171228,0.3
20171229,0
20171230,0
20171231,0
20180101,0
20180102,0
20180103,0
20180104,0.1
20180105,1.7
20180106,16.1
20180107,25.6
20180108,35.3
20180109,0
20180110,0
20180111,0
20180112,0
20180113,0
20180114,0
20180115,0
20180116,0
20180117,0
20180118,0
20180119,0
20180120,0
20180121,0
20180122,0.2
20180123,0
20180124,0
20180125,0
20180126,0.1
20180127,0
20180128,11.0
20180129,0.9
20180130,1.5
20180131,11.0
20180201,0.2
20180202,1.3
20180203,0
20180204,0
20180205,0
20180206,0
20180207,0
20180208,0
20180209,0
20180210,0
20180211,0
20180212,0
20180213,0
20180214,0
20180215,0
20180216,0
20180217,0
20180218,0
20180219,0
20180220,0
20180221,0.2
20180222,3.9
20180223,0
20180224,3.2
20180225,3.2
20180226,0
20180227,0
20180228,4.0
20180301,0
20180302,0
20180303,0
20180304,4.0
20180305,0
20180306,2.5
20180307,4.5
20180308,0
20180309,0
20180310,0
20180311,0
20180312,0
20180313,0
20180314,0
20180315,8.5
20180316,0
20180317,0
20180318,0
20180319,4.2
20180320,44.0
20180321,0
20180322,0
20180323,0
20180324,0
20180325,0
20180326,1.6
20180327,0
20180328,0
20180329,0
20180330,0
20180331,0
20180401,0
20180402,0
20180403,0
20180404,0
20180405,0
20180406,6.0
20180407,0
20180408,0
20180409,0
20180410,0
20180411,0
20180412,20.5
20180413,3.6
20180414,11.0
20180415,4.3
20180416,0.3
20180417,0
20180418,0
20180419,0
20180420,0
20180421,0
20180422,0
20180423,0.3
20180424,0.4
20180425,0
20180426,0
20180427,0
20180428,0
20180429,0
20180430,0
20180501,0
20180502,1.8
20180503,19.5
20180504,0
20180505,0
20180506,0
20180507,4.4
20180508,0.1
20180509,0
20180510,0
20180511,0.2
20180512,0
20180513,0
20180514,0
20180515,0
20180516,0
20180517,0
20180518,0
20180519,0.2
20180520,10.0
20180521,0
20180522,0
20180523,0
20180524,0
20180525,0
20180526,0
20180527,0
20180528,0
20180529,0.3
20180530,0.7
20180531,33.1
20180601,5.5
20180602,0
20180603,0
20180604,0
20180605,2.0
20180606,3.5
20180607,0
20180608,0
20180609,0
20180610,7.6
20180611,1.5
20180612,0
20180613,1.7
20180614,2.0
20180615,0
20180616,0
20180617,0.5
20180618,18.5
20180619,3.0
20180620,27.1
20180621,5.5
20180622,6.5
20180623,0
20180624,0
20180625,0
20180626,0
20180627,0
20180628,0
20180629,0
20180630,0
20180701,25.7
20180702,1.4
20180703,0
20180704,0
20180705,0
20180706,0
20180707,1.4
20180708,0
20180709,0
20180710,0
20180711,91.5
20180712,0.5
20180713,0
20180714,0
20180715,0
20180716,0
20180717,0
20180718,0
20180719,0
20180720,0
20180721,0
20180722,0
20180723,0
20180724,0
20180725,0
20180726,0
20180727,0
20180728,0
20180729,0
20180730,0
20180731,0
20180801,0
20180802,0
20180803,0
20180804,0
20180805,0
20180806,0
20180807,0
20180808,0
20180809,0
20180810,0
20180811,0
20180812,0
20180813,0
20180814,13.0
20180815,40.0
20180816,0
20180817,0
20180818,0
20180819,0.5
20180820,0.5
20180821,0
20180822,0
20180823,0.5
20180824,45.5
20180825,3.8
20180826,6.1
20180827,1.5
20180828,3.8
20180829,1.5
20180830,2.4
20180831,10.0
20180901,0
20180902,0
20180903,0
20180904,0
20180905,0
20180906,0
20180907,0
20180908,1.0
20180909,1.3
20180910,0
20180911,0.3
20180912,0
20180913,0
20180914,0
20180915,0
20180916,0
20180917,0
20180918,0
20180919,0
20180920,0
20180921,0
20180922,0
20180923,11.5
20180924,0.4
20180925,0
20180926,0
20180927,0
20180928,0
20180929,0
20180930,0
20181001,0
20181002,0
20181003,0
20181004,0
20181005,0
20181006,0
20181007,0
20181008,0
20181009,0
20181010,1.6
20181011,13.0
20181012,0
20181013,0
20181014,4.6
20181015,3.5
20181016,7.1
20181017,1.1
20181018,0
20181019,0.3
20181020,0.5
20181021,0
20181022,0
20181023,0
20181024,0
20181025,0
20181026,0.2
20181027,0
20181028,0
20181029,0
20181030,0
20181031,0
20181101,5.0
20181102,32.7
20181103,0.5
20181104,0.5
20181105,0
20181106,1.0
20181107,0
20181108,0
20181109,0
20181110,0
20181111,0
20181112,16.3
20181113,1.3
20181114,0
20181115,2.0
20181116,20.5
20181117,8.6
20181118,21.8
20181119,0.9
20181120,1.0
20181121,0.5
20181122,0
20181123,0
20181124,0
20181125,2.9
20181126,8.5
20181127,0
20181128,0
20181129,0
20181130,0
20181201,0
20181202,0
20181203,0
20181204,0
20181205,0
20181206,1.0
20181207,0.6
20181208,0
20181209,3.5
20181210,2.0
20181211,0
20181212,0
20181213,1.0
20181214,0
20181215,0
20181216,0
20181217,0
20181218,0
20181219,0
20181220,0.3
20181221,0
20181222,0
20181223,2.5
20181224,1.5
20181225,0.5
20181226,0
20181227,0
20181228,0
20181229,0
20181230,0
20181231,1.5
20190101,0
20190102,0
20190103,0
20190104,0
20190105,3.7
20190106,0.4
20190107,0
20190108,0.6
20190109,0
20190110,0.2
20190111,0.2
20190112,0
20190113,0
20190114,0
20190115,0.2
20190116,0.3
20190117,0
20190118,0
20190119,0
20190120,0
20190121,0
20190122,0
20190123,0
20190124,0
20190125,0
20190126,0
20190127,0
20190128,0
20190129,0
20190130,0
20190131,0
20190201,0
20190202,0
20190203,0.6
20190204,0
20190205,0
20190206,0
20190207,0
20190208,2.3
20190209,2.3
20190210,0.1
20190211,0
20190212,0
20190213,0
20190214,0
20190215,0
20190216,1.9
20190217,0.1
20190218,8.0
20190219,7.5
20190220,0.8
20190221,13.0
20190222,14.4
20190223,10.2
20190224,9.1
20190225,0.2
20190226,0
20190227,1.5
20190228,14.0
20190301,0.2
20190302,2.4
20190303,21.0
20190304,0
20190305,19.0
20190306,7.0
20190307,6.7
20190308,6.1
20190309,21.0
20190310,2.5
20190311,0
20190312,0
20190313,0
20190314,2.5
20190315,0.5
20190316,0.1
20190317,5.5
20190318,5.0
20190319,0
20190320,0
20190321,0
20190322,4.3
20190323,1.7
20190324,0.6
20190325,9.0
20190326,0
20190327,0
20190328,0
20190329,41.5
20190330,0
20190331,0
20190401,0.3
20190402,0
20190403,5.7
20190404,1.0
20190405,0
20190406,0
20190407,0
20190408,0
20190409,0
20190410,1.1
20190411,18.8
20190412,0.5
20190413,10.9
20190414,0
20190415,0
20190416,13.0
20190417,0
20190418,0
20190419,1.9
20190420,17.5
20190421,0.5
20190422,0.2
20190423,0
20190424,0
20190425,12.7
20190426,0
20190427,0
20190428,10.0
20190429,0
20190430,26.0
20190501,5.6
20190502,0.1
20190503,0.5
20190504,0
20190505,0.8
20190506,0.3
20190507,0.1
20190508,4.7
20190509,0
20190510,0
20190511,0
20190512,0
20190513,0
20190514,0
20190515,6.5
20190516,1.9
20190517,4.0
20190518,1.0
20190519,0
20190520,8.0
20190521,0
20190522,0
20190523,0
20190524,0
20190525,0
20190526,0.5
20190527,11.3
20190528,9.7
20190529,0
20190530,0
20190531,9.0
20190601,22.1
20190602,26.5
20190603,6.0
20190604,0
20190605,0
20190606,0
20190607,0
20190608,1.4
20190609,17.7
20190610,32.0
20190611,2.5
20190612,2.0
20190613,36.5
20190614,0
20190615,0
20190616,0
20190617,0
20190618,0
20190619,0
20190620,0
20190621,0
20190622,55.4
20190623,28.0
20190624,29.6
20190625,77.5
20190626,0
20190627,0
20190628,0
20190629,0
20190630,0
20190701,0
20190702,32.5
20190703,6.0
20190704,2.3
20190705,48.0
20190706,9.2
20190707,8.8
20190708,0
20190709,11.8
20190710,42.6
20190711,3.7
20190712,0
20190713,0
20190714,27.0
20190715,0
20190716,0
20190717,0
20190718,0.5
20190719,0
20190720,0
20190721,0
20190722,0
20190723,0
20190724,0
20190725,0
20190726,0
20190727,0
20190728,0
20190729,0
20190730,0
20190731,0
20190801,0
20190802,0
20190803,0
20190804,0.3
20190805,0.1
20190806,0
20190807,0
20190808,0
20190809,0.5
20190810,5.5
20190811,0
20190812,0
20190813,0
20190814,0
20190815,1.4
20190816,0.3
20190817,0.2
20190818,0
20190819,0.7
20190820,15.0
20190821,0
20190822,2.5
20190823,0
20190824,0
20190825,0.4
20190826,0
20190827,0
20190828,0
20190829,0
20190830,0
20190831,0.4
20190901,2.1
20190902,0.2
20190903,0.2
20190904,6.0
20190905,1.5
20190906,0
20190907,1.9
20190908,1.9
20190909,0
20190910,0
20190911,4.9
20190912,0
20190913,0
20190914,0
20190915,0
20190916,12.1
20190917,0
20190918,1.5
20190919,0
20190920,0
20190921,0.3
20190922,0
20190923,0
20190924,0
20190925,0
20190926,0
20190927,0
20190928,0
20190929,0
20190930,17.5
20191001,0.5
20191002,0
20191003,0
20191004,0
20191005,0
20191006,0
20191007,0
20191008,0
20191009,0
20191010,0
