Serial,Precipitation(mm)
20170101,0.9
20170102,0
20170103,0
20170104,0.1
20170105,0
20170106,0.1
20170107,0
20170108,0
20170109,0
20170110,0
20170111,0.9
20170112,1.0
20170113,0.1
20170114,0
20170115,0
20170116,0
20170117,0
20170118,0.5
20170119,0
20170120,1.0
20170121,0
20170122,0
20170123,0
20170124,0
20170125,1.1
20170126,0
20170127,0.7
20170128,0
20170129,0
20170130,0
20170131,0.3
20170201,0.3
20170202,0
20170203,0.1
20170204,6.8
20170205,6.0
20170206,0
20170207,0
20170208,0
20170209,0
20170210,2.1
20170211,0.3
20170212,1.0
20170213,0
20170214,0
20170215,0
20170216,0
20170217,0
20170218,2.3
20170219,2.0
20170220,2.5
20170221,0
20170222,0
20170223,1.0
20170224,0
20170225,0
20170226,0
20170227,0
20170228,0
20170301,0
20170302,0
20170303,0
20170304,0
20170305,0.5
20170306,0
20170307,0.7
20170308,2.0
20170309,0
20170310,0
20170311,0.5
20170312,2.2
20170313,0
20170314,0
20170315,0
20170316,0.9
20170317,3.0
20170318,0
20170319,16.5
20170320,1.7
20170321,0
20170322,0.4
20170323,9.5
20170324,1.0
20170325,0
20170326,2.7
20170327,0
20170328,0
20170329,0.1
20170330,0.5
20170331,0
20170401,7.6
20170402,0
20170403,0
20170404,0
20170405,0
20170406,0
20170407,0.5
20170408,0.5
20170409,0
20170410,0
20170411,0.3
20170412,21.5
20170413,2.2
20170414,0
20170415,5.0
20170416,1.5
20170417,0
20170418,0
20170419,8.9
20170420,0
20170421,0
20170422,21.5
20170423,1.7
20170424,0
20170425,0
20170426,0
20170427,8.0
20170428,3.6
20170429,0
20170430,0
20170501,0
20170502,0
20170503,0
20170504,0.7
20170505,10.5
20170506,65.0
20170507,0
20170508,0
20170509,0
20170510,0
20170511,8.7
20170512,0
20170513,0
20170514,34.3
20170515,0.7
20170516,10.0
20170517,0.7
20170518,1.3
20170519,7.3
20170520,1.6
20170521,1.5
20170522,2.5
20170523,1.8
20170524,2.0
20170525,16.6
20170526,4.5
20170527,3.0
20170528,4.0
20170529,0.5
20170530,6.3
20170531,1.0
20170601,0.5
20170602,1.5
20170603,92.5
20170604,29.0
20170605,0
20170606,0
20170607,10.0
20170608,2.3
20170609,0
20170610,0
20170611,0.2
20170612,0
20170613,0
20170614,7.2
20170615,4.7
20170616,0.5
20170617,7.0
20170618,0
20170619,0
20170620,0
20170621,0
20170622,0
20170623,0
20170624,0
20170625,0
20170626,0
20170627,0
20170628,0
20170629,0
20170630,15.0
20170701,0.2
20170702,0
20170703,0.8
20170704,0
20170705,0.1
20170706,0
20170707,1.3
20170708,0
20170709,0
20170710,0
20170711,0
20170712,0
20170713,0
20170714,0
20170715,0.9
20170716,41.5
20170717,5.5
20170718,0
20170719,0
20170720,0
20170721,1.6
20170722,6.0
20170723,0
20170724,0
20170725,0
20170726,0
20170727,0
20170728,0
20170729,20.5
20170730,83.5
20170731,26.8
20170801,0
20170802,0
20170803,3.5
20170804,0
20170805,0
20170806,0
20170807,0
20170808,0
20170809,0
20170810,0
20170811,0
20170812,0
20170813,0
20170814,0
20170815,0
20170816,0
20170817,0
20170818,0
20170819,0
20170820,0
20170821,7.5
20170822,133.0
20170823,27.0
20170824,68.0
20170825,0
20170826,2.0
20170827,49.5
20170828,0
20170829,0
20170830,8.5
20170831,15.5
20170901,95.0
20170902,18.0
20170903,0
20170904,0
20170905,0
20170906,12.5
20170907,5.0
20170908,0
20170909,0
20170910,0
20170911,0
20170912,0
20170913,0
20170914,0
20170915,0
20170916,0
20170917,0
20170918,0
20170919,5.0
20170920,13.0
20170921,0
20170922,0
20170923,0
20170924,0
20170925,0
20170926,0
20170927,0
20170928,0
20170929,8.0
20170930,5.5
20171001,0
20171002,0
20171003,0
20171004,0
20171005,4.2
20171006,0
20171007,3.0
20171008,43.0
20171009,2.3
20171010,0.1
20171011,5.0
20171012,6.5
20171013,192.0
20171014,271.0
20171015,215.0
20171016,19.1
20171017,0
20171018,0
20171019,1.0
20171020,0
20171021,0.7
20171022,0
20171023,0
20171024,0
20171025,0
20171026,0
20171027,0
20171028,0
20171029,0
20171030,0
20171031,0
20171101,0
20171102,3.9
20171103,0.2
20171104,0
20171105,0
20171106,0
20171107,1.0
20171108,0
20171109,1.5
20171110,3.2
20171111,3.5
20171112,2.2
20171113,0.6
20171114,0
20171115,0
20171116,0
20171117,0
20171118,0
20171119,0
20171120,0
20171121,0
20171122,0.1
20171123,0
20171124,0
20171125,0
20171126,0
20171127,0
20171128,0.7
20171129,0.3
20171130,0
20171201,0
20171202,0
20171203,0
20171204,0
20171205,0
20171206,0
20171207,1.0
20171208,0.2
20171209,0
20171210,0
20171211,0
20171212,0
20171213,0.5
20171214,1.4
20171215,1.1
20171216,0.5
20171217,0
20171218,0
20171219,0
20171220,0.1
20171221,0
20171222,0
20171223,0
20171224,0
20171225,0
20171226,0
20171227,0
20171228,0
20171229,1.0
20171230,7.2
20171231,2.2
20180101,0
20180102,0.1
20180103,0
20180104,4.2
20180105,10.5
20180106,14.5
20180107,5.0
20180108,1.0
20180109,0.5
20180110,0.5
20180111,0
20180112,0
20180113,0
20180114,0
20180115,0
20180116,0.4
20180117,11.1
20180118,0
20180119,0
20180120,0
20180121,0
20180122,0
20180123,0.1
20180124,0
20180125,0
20180126,0
20180127,0
20180128,6.0
20180129,0
20180130,0
20180131,0
20180201,0
20180202,0
20180203,0
20180204,0
20180205,0
20180206,0
20180207,2.0
20180208,1.5
20180209,0.5
20180210,0.8
20180211,0
20180212,0
20180213,2.0
20180214,0
20180215,0
20180216,0.1
20180217,0
20180218,0
20180219,0
20180220,0
20180221,0.2
20180222,0.5
20180223,0
20180224,0
20180225,6.5
20180226,0
20180227,0
20180228,0
20180301,0
20180302,0
20180303,0
20180304,0
20180305,0
20180306,0
20180307,0
20180308,4.0
20180309,2.6
20180310,0
20180311,0
20180312,0
20180313,0
20180314,2.5
20180315,15.5
20180316,0.9
20180317,0
20180318,0
20180319,0
20180320,0.2
20180321,8.2
20180322,1.0
20180323,0
20180324,0
20180325,0
20180326,0
20180327,0
20180328,1.1
20180329,0
20180330,2.4
20180331,0
20180401,0
20180402,0
20180403,0
20180404,0.2
20180405,0
20180406,1.2
20180407,0
20180408,1.0
20180409,0
20180410,0
20180411,0.1
20180412,2.0
20180413,3.0
20180414,1.0
20180415,6.5
20180416,0
20180417,0
20180418,0.5
20180419,0
20180420,0.5
20180421,0
20180422,0
20180423,54.0
20180424,0
20180425,0
20180426,0.3
20180427,0.2
20180428,3.5
20180429,0
20180430,0
20180501,0
20180502,0
20180503,0
20180504,1.3
20180505,0
20180506,0
20180507,0
20180508,3.3
20180509,17.0
20180510,0
20180511,0
20180512,0
20180513,0
20180514,0
20180515,0
20180516,0
20180517,0
20180518,0
20180519,0
20180520,0
20180521,0
20180522,0
20180523,0
20180524,0.7
20180525,0.5
20180526,0
20180527,0
20180528,0
20180529,0
20180530,0
20180531,0
20180601,3.7
20180602,0.1
20180603,0
20180604,1.0
20180605,0
20180606,0
20180607,0
20180608,0
20180609,1.2
20180610,0
20180611,0
20180612,1.0
20180613,0
20180614,53.0
20180615,69.7
20180616,11.5
20180617,23.1
20180618,30.5
20180619,8.0
20180620,3.4
20180621,0
20180622,0
20180623,0
20180624,0
20180625,0
20180626,0
20180627,0
20180628,0
20180629,0
20180630,0
20180701,0
20180702,15.0
20180703,0
20180704,0
20180705,0
20180706,0
20180707,0.5
20180708,0.5
20180709,0
20180710,0
20180711,0
20180712,24.5
20180713,34.5
20180714,6.5
20180715,0
20180716,5.0
20180717,17.0
20180718,0
20180719,5.6
20180720,0
20180721,0
20180722,2.0
20180723,0
20180724,0
20180725,0
20180726,0
20180727,0
20180728,0
20180729,0
20180730,0
20180731,0
20180801,0
20180802,0
20180803,0
20180804,0
20180805,0
20180806,0
20180807,0
20180808,0
20180809,0
20180810,0
20180811,0
20180812,0
20180813,0
20180814,0
20180815,0
20180816,0.3
20180817,0
20180818,0.1
20180819,0
20180820,0
20180821,0
20180822,16.3
20180823,23.5
20180824,11.5
20180825,0.5
20180826,28.4
20180827,111.0
20180828,153.5
20180829,130.0
20180830,18.0
20180831,0
20180901,2.8
20180902,0
20180903,0
20180904,0
20180905,0
20180906,0
20180907,0
20180908,0
20180909,0
20180910,116.5
20180911,4.0
20180912,0.5
20180913,0
20180914,0
20180915,96.3
20180916,3.9
20180917,19.0
20180918,0
20180919,0
20180920,0
20180921,0
20180922,6.0
20180923,0
20180924,4.0
20180925,0.8
20180926,0
20180927,0
20180928,0
20180929,0
20180930,0.5
20181001,0
20181002,0
20181003,0
20181004,0
20181005,0.2
20181006,0.5
20181007,0
20181008,0
20181009,2.1
20181010,0
20181011,0
20181012,0
20181013,0
20181014,0
20181015,0
20181016,0
20181017,0
20181018,1.5
20181019,0
20181020,0
20181021,0.4
20181022,2.5
20181023,0
20181024,1.0
20181025,0.3
20181026,0.5
20181027,0
20181028,0
20181029,0
20181030,0
20181031,28.0
20181101,5.9
20181102,14.8
20181103,0
20181104,0
20181105,0
20181106,0
20181107,0.5
20181108,2.0
20181109,0
20181110,2.1
20181111,0
20181112,0
20181113,0
20181114,0.1
20181115,0
20181116,0
20181117,1.2
20181118,0
20181119,0.5
20181120,0
20181121,0
20181122,0
20181123,0
20181124,0
20181125,3.5
20181126,0.1
20181127,0
20181128,0
20181129,0
20181130,0
20181201,0
20181202,0
20181203,0
20181204,0
20181205,0
20181206,0.2
20181207,5.8
20181208,0.2
20181209,0
20181210,0
20181211,0
20181212,0
20181213,0
20181214,0
20181215,0
20181216,3.6
20181217,3.0
20181218,0
20181219,0
20181220,0
20181221,0
20181222,0
20181223,41.1
20181224,0
20181225,0.7
20181226,0
20181227,0
20181228,0
20181229,0
20181230,0
20181231,0.2
20190101,0
20190102,3.5
20190103,0
20190104,0
20190105,5.1
20190106,0.2
20190107,0
20190108,0.6
20190109,0
20190110,0
20190111,0
20190112,0
20190113,0
20190114,0
20190115,12.0
20190116,0
20190117,0
20190118,0
20190119,1.2
20190120,3.5
20190121,0
20190122,0
20190123,0
20190124,0
20190125,0
20190126,0
20190127,0
20190128,0.9
20190129,8.5
20190130,0
20190131,0
20190201,0
20190202,0.4
20190203,1.5
20190204,0
20190205,0.4
20190206,0
20190207,0
20190208,0.7
20190209,0
20190210,0
20190211,0
20190212,0
20190213,7.5
20190214,0
20190215,0
20190216,0
20190217,0
20190218,0.9
20190219,0
20190220,0
20190221,0
20190222,0
20190223,0
20190224,0
20190225,0
20190226,0
20190227,0.8
20190228,0.7
20190301,0
20190302,0
20190303,0
20190304,0
20190305,0
20190306,1.0
20190307,7.3
20190308,4.5
20190309,0
20190310,9.0
20190311,12.4
20190312,0
20190313,0.2
20190314,0
20190315,0
20190316,0
20190317,0
20190318,0.2
20190319,0
20190320,0
20190321,0
20190322,0
20190323,0.3
20190324,0
20190325,0
20190326,0.4
20190327,0
20190328,0
20190329,0
20190330,0.7
20190331,0
20190401,0
20190402,0
20190403,0
20190404,0.5
20190405,2.5
20190406,1.5
20190407,0
20190408,0
20190409,0
20190410,0
20190411,0
20190412,0
20190413,0
20190414,1.8
20190415,0.6
20190416,11.5
20190417,0.5
20190418,0.4
20190419,5.8
20190420,0.5
20190421,1.0
20190422,0
20190423,0
20190424,0
20190425,0
20190426,0
20190427,0
20190428,1.7
20190429,0
20190430,0
20190501,3.0
20190502,4.2
20190503,0.7
20190504,1.1
20190505,5.3
20190506,23.8
20190507,0
20190508,0
20190509,0.2
20190510,1.2
20190511,0
20190512,0
20190513,1.1
20190514,0
20190515,9.0
20190516,0.4
20190517,0
20190518,3.7
20190519,0
20190520,30.7
20190521,1.0
20190522,1.5
20190523,9.0
20190524,13.0
20190525,6.0
20190526,27.5
20190527,3.9
20190528,19.3
20190529,0.1
20190530,0
20190531,0
20190601,0
20190602,0.2
20190603,0
20190604,1.5
20190605,62.0
20190606,0
20190607,0
20190608,0
20190609,0
20190610,4.5
20190611,14.5
20190612,9.0
20190613,2.2
20190614,8.5
20190615,0
20190616,0.5
20190617,0
20190618,0
20190619,0
20190620,0
20190621,0
20190622,0
20190623,0
20190624,0
20190625,29.5
20190626,0
20190627,0
20190628,0
20190629,0
20190630,0.5
20190701,19.7
20190702,38.0
20190703,13.6
20190704,0
20190705,0
20190706,0
20190707,0
20190708,0
20190709,0
20190710,0
20190711,0
20190712,0
20190713,0
20190714,0
20190715,0
20190716,0
20190717,0
20190718,0
20190719,32.1
20190720,0
20190721,0
20190722,3.5
20190723,0
20190724,0
20190725,0
20190726,0
20190727,18.5
20190728,0.5
20190729,9.0
20190730,1.0
20190731,1.0
20190801,12.0
20190802,1.5
20190803,0
20190804,0
20190805,8.5
20190806,0
20190807,0
20190808,4.5
20190809,0
20190810,0
20190811,0
20190812,0
20190813,1.0
20190814,0
20190815,1.0
20190816,5.2
20190817,0
20190818,1.5
20190819,1.5
20190820,7.8
20190821,11.5
20190822,0
20190823,0
20190824,129.0
20190825,26.0
20190826,1.5
20190827,0
20190828,2.1
20190829,0
20190830,0
20190831,1.8
20190901,24.5
20190902,0
20190903,0
20190904,0
20190905,0
20190906,9.5
20190907,0.3
20190908,16.5
20190909,0
20190910,18.5
20190911,0
20190912,0
20190913,0
20190914,0
20190915,0
20190916,0.1
20190917,0
20190918,0
20190919,0
20190920,0
20190921,60.5
20190922,49.0
20190923,0.7
20190924,0
20190925,0
20190926,0
20190927,1.4
20190928,0
20190929,0
20190930,21.1
20191001,0
20191002,0
20191003,0
20191004,0
20191005,0.1
20191006,13.8
20191007,0
20191008,0
20191009,0
20191010,0
20191011,0
20191012,0
20191013,0
20191014,0
20191015,0
20191016,0
20191017,0
20191018,0
20191019,0
20191020,0
20191021,0
20191022,0
20191023,0.2
20191024,0
20191025,0
20191026,0
20191027,1.0
20191028,0
20191029,0
20191030,0
20191031,10.2
20191101,1.9
20191102,0
20191103,0
20191104,5.0
20191105,0
20191106,0
20191107,0
20191108,0
20191109,0
20191110,0
20191111,0
20191112,0
20191113,0
20191114,0
20191115,0
20191116,0
20191117,0
20191118,0
20191119,0
20191120,0
20191121,0
20191122,0
20191123,0
20191124,0
20191125,0
20191126,0
20191127,0
20191128,0
20191129,0
20191130,1.5
20191201,0
20191202,0
20191203,0
20191204,3.4
20191205,12.2
20191206,7.0
20191207,0
20191208,0
20191209,0
20191210,0
20191211,0
20191212,0
20191213,0
20191214,0
20191215,0
20191216,0
20191217,0
20191218,0
20191219,0
20191220,0.5
20191221,0.2
20191222,0
20191223,0
20191224,0
20191225,0
20191226,0
20191227,0
20191228,0.8
20191229,66.0
20191230,1.9
20191231,0
20200101,0
20200102,0
20200103,0
20200104,0
20200105,0
20200106,0.3
20200107,0
20200108,0
20200109,0.3
20200110,0.9
20200111,0
20200112,0
20200113,0
20200114,0
20200115,0
20200116,0
20200117,0
20200118,0
20200119,0
20200120,0
20200121,0
20200122,2.1
20200123,1.5
20200124,0
20200125,2.3
20200126,14.9
20200127,3.8
20200128,8.5
20200129,0
20200130,0
20200131,0
20200201,0
20200202,0
20200203,0
20200204,0
20200205,0
20200206,0
20200207,0
20200208,0
20200209,0
20200210,2.0
20200211,0
20200212,0.5
20200213,7.0
20200214,0
20200215,4.0
20200216,0
20200217,0.6
20200218,0
20200219,0.7
20200220,0
20200221,0
20200222,0.5
20200223,5.7
20200224,3.5
20200225,0
20200226,0
20200227,0
20200228,0
20200229,7.7
20200301,0
20200302,0
20200303,0
20200304,0.5
20200305,0.2
20200306,0
20200307,2.5
20200308,0.3
20200309,0
20200310,7.3
20200311,0
20200312,0
20200313,0
20200314,12.0
20200315,0
20200316,0
20200317,0
20200318,0
20200319,0
20200320,2.5
20200321,0
20200322,0
20200323,0
20200324,0
