Serial,Precipitation(mm)
20170101,4.5
20170102,0
20170103,7.5
20170104,1.0
20170105,0
20170106,15.2
20170107,0.4
20170108,0.2
20170109,0.2
20170110,0
20170111,0
20170112,0
20170113,2.1
20170114,10.2
20170115,8.9
20170116,6.7
20170117,2.9
20170118,0
20170119,0
20170120,0
20170121,0
20170122,0
20170123,0.3
20170124,7.5
20170125,7.7
20170126,0
20170127,0
20170128,0
20170129,0
20170130,3.1
20170131,18.2
20170201,0.3
20170202,0.8
20170203,0
20170204,0
20170205,2.7
20170206,0
20170207,0
20170208,0
20170209,0
20170210,0
20170211,0
20170212,1.9
20170213,0.6
20170214,0
20170215,0
20170216,0
20170217,0
20170218,0
20170219,0
20170220,0.2
20170221,6.4
20170222,7.6
20170223,0.5
20170224,12.0
20170225,30.7
20170226,11.0
20170227,0
20170228,0
20170301,0.4
20170302,0
20170303,0
20170304,0
20170305,0
20170306,0.8
20170307,8.8
20170308,15.8
20170309,4.5
20170310,26.4
20170311,8.7
20170312,0
20170313,1.4
20170314,0.8
20170315,0.4
20170316,4.2
20170317,3.4
20170318,0.1
20170319,0.7
20170320,0
20170321,0.2
20170322,1.8
20170323,0
20170324,0
20170325,2.3
20170326,11.6
20170327,0
20170328,0
20170329,0
20170330,0
20170331,5.0
20170401,6.8
20170402,0
20170403,0
20170404,0
20170405,0
20170406,0
20170407,0
20170408,0
20170409,0
20170410,0
20170411,2.2
20170412,23.5
20170413,9.6
20170414,0
20170415,0
20170416,0
20170417,0
20170418,0.5
20170419,6.6
20170420,2.5
20170421,40.2
20170422,23.5
20170423,0.3
20170424,0.3
20170425,0
20170426,16.0
20170427,19.8
20170428,0
20170429,0
20170430,0
20170501,0
20170502,0
20170503,0
20170504,0
20170505,8.0
20170506,0
20170507,0
20170508,0
20170509,0.7
20170510,0
20170511,6.5
20170512,0.1
20170513,33.2
20170514,0
20170515,38.0
20170516,12.5
20170517,6.1
20170518,1.0
20170519,10.8
20170520,5.0
20170521,15.2
20170522,1.3
20170523,0
20170524,14.4
20170525,0
20170526,3.8
20170527,17.6
20170528,30.0
20170529,14.5
20170530,8.9
20170531,0
20170601,0
20170602,46.4
20170603,57.0
20170604,4.3
20170605,13.0
20170606,25.0
20170607,0.4
20170608,20.9
20170609,5.0
20170610,0
20170611,0.7
20170612,13.6
20170613,0
20170614,28.6
20170615,31.0
20170616,6.5
20170617,20.9
20170618,11.0
20170619,0
20170620,0
20170621,0.5
20170622,0
20170623,0.8
20170624,0
20170625,0
20170626,0
20170627,26.5
20170628,0
20170629,0
20170630,0
20170701,9.1
20170702,0.1
20170703,0.4
20170704,0
20170705,0
20170706,0
20170707,34.4
20170708,0
20170709,0
20170710,0
20170711,0
20170712,0
20170713,0
20170714,0
20170715,0
20170716,0
20170717,0
20170718,0
20170719,0
20170720,0
20170721,0
20170722,0
20170723,0
20170724,0
20170725,0
20170726,0
20170727,0
20170728,6.5
20170729,80.3
20170730,1.6
20170731,1.5
20170801,0
20170802,0
20170803,0
20170804,0
20170805,0
20170806,0
20170807,0
20170808,0
20170809,0
20170810,0
20170811,0
20170812,0
20170813,0
20170814,0
20170815,0
20170816,0
20170817,0
20170818,0
20170819,0
20170820,0
20170821,24.0
20170822,9.7
20170823,2.6
20170824,0
20170825,0
20170826,0
20170827,0
20170828,0
20170829,0
20170830,0.6
20170831,8.5
20170901,231.0
20170902,154.0
20170903,25.0
20170904,0.4
20170905,0
20170906,0
20170907,0
20170908,0
20170909,0
20170910,0
20170911,0
20170912,0
20170913,2.8
20170914,0
20170915,0
20170916,0
20170917,0
20170918,0
20170919,0
20170920,0.7
20170921,0.1
20170922,0
20170923,0
20170924,0
20170925,0
20170926,0
20170927,0
20170928,3.8
20170929,243.0
20170930,0
20171001,0
20171002,0
20171003,0
20171004,15.2
20171005,4.4
20171006,99.7
20171007,33.5
20171008,7.0
20171009,27.0
20171010,26.9
20171011,80.3
20171012,44.0
20171013,125.5
20171014,132.1
20171015,57.3
20171016,0
20171017,0.5
20171018,0.3
20171019,0.4
20171020,3.5
20171021,0.2
20171022,0
20171023,0
20171024,0.2
20171025,0
20171026,0
20171027,0
20171028,0
20171029,0.2
20171030,0
20171031,3.6
20171101,4.0
20171102,0
20171103,16.3
20171104,13.1
20171105,21.0
20171106,4.5
20171107,1.1
20171108,8.0
20171109,73.5
20171110,0.6
20171111,24.5
20171112,15.6
20171113,25.6
20171114,18.0
20171115,3.7
20171116,1.6
20171117,0
20171118,13.4
20171119,33.3
20171120,30.6
20171121,46.6
20171122,0
20171123,0
20171124,1.2
20171125,12.6
20171126,6.0
20171127,38.2
20171128,0
20171129,0
20171130,17.0
20171201,6.4
20171202,36.8
20171203,23.1
20171204,0.1
20171205,2.4
20171206,1.6
20171207,16.6
20171208,4.0
20171209,1.9
20171210,0
20171211,0
20171212,53.0
20171213,110.0
20171214,8.2
20171215,9.6
20171216,7.0
20171217,9.0
20171218,18.9
20171219,3.5
20171220,0
20171221,0
20171222,0
20171223,0
20171224,0
20171225,0
20171226,0.7
20171227,0.8
20171228,2.0
20171229,34.7
20171230,82.6
20171231,3.0
20180101,3.5
20180102,3.2
20180103,1.0
20180104,0.1
20180105,3.0
20180106,67.6
20180107,57.1
20180108,12.8
20180109,5.5
20180110,0.9
20180111,0
20180112,0
20180113,0
20180114,0
20180115,0
20180116,0
20180117,1.0
20180118,53.2
20180119,15.0
20180120,7.7
20180121,14.5
20180122,0.5
20180123,1.4
20180124,30.2
20180125,16.5
20180126,5.7
20180127,11.8
20180128,5.1
20180129,11.0
20180130,46.4
20180131,14.1
20180201,2.8
20180202,2.1
20180203,7.5
20180204,10.1
20180205,5.1
20180206,0
20180207,21.3
20180208,14.4
20180209,0.5
20180210,2.0
20180211,1.9
20180212,0
20180213,0
20180214,0
20180215,0
20180216,0
20180217,3.4
20180218,0.5
20180219,0
20180220,0
20180221,0.5
20180222,15.0
20180223,0.3
20180224,0
20180225,2.2
20180226,1.0
20180227,0
20180228,1.5
20180301,4.1
20180302,4.0
20180303,0
20180304,0.7
20180305,8.4
20180306,0.2
20180307,0.5
20180308,5.6
20180309,0.1
20180310,0
20180311,0
20180312,0
20180313,0
20180314,0
20180315,8.5
20180316,0.2
20180317,0.4
20180318,0.5
20180319,0
20180320,0
20180321,0
20180322,0
20180323,0
20180324,0
20180325,0
20180326,1.5
20180327,0.5
20180328,0
20180329,0
20180330,5.0
20180331,0
20180401,0
20180402,0
20180403,0
20180404,0
20180405,0
20180406,0.5
20180407,0.6
20180408,0
20180409,0
20180410,0
20180411,0
20180412,0
20180413,0
20180414,1.6
20180415,1.6
20180416,0.5
20180417,11.2
20180418,0
20180419,0
20180420,0.2
20180421,0
20180422,0
20180423,0.9
20180424,5.5
20180425,0
20180426,0
20180427,2.5
20180428,0
20180429,0.7
20180430,0
20180501,0
20180502,0.4
20180503,1.6
20180504,0
20180505,0
20180506,0
20180507,0
20180508,13.5
20180509,2.8
20180510,0
20180511,0
20180512,0
20180513,0
20180514,0
20180515,0
20180516,0
20180517,0
20180518,0
20180519,0
20180520,0.2
20180521,0.3
20180522,0
20180523,2.1
20180524,0
20180525,0
20180526,0
20180527,0
20180528,0
20180529,0
20180530,0
20180531,12.2
20180601,5.2
20180602,0
20180603,0
20180604,0.5
20180605,5.6
20180606,107.0
20180607,29.0
20180608,10.7
20180609,0
20180610,6.5
20180611,6.5
20180612,0
20180613,0
20180614,44.5
20180615,13.1
20180616,0
20180617,0
20180618,4.0
20180619,0.5
20180620,1.1
20180621,3.9
20180622,6.0
20180623,1.2
20180624,0
20180625,0
20180626,0
20180627,0
20180628,0
20180629,0
20180630,0
20180701,0
20180702,0
20180703,0
20180704,0
20180705,0
20180706,0
20180707,0
20180708,0
20180709,0
20180710,29.4
20180711,34.3
20180712,0.3
20180713,0
20180714,0
20180715,0
20180716,13.0
20180717,8.1
20180718,0
20180719,4.8
20180720,0.5
20180721,1.0
20180722,0
20180723,0
20180724,0
20180725,0
20180726,0
20180727,0.2
20180728,0
20180729,0
20180730,0
20180731,0
20180801,3.0
20180802,0
20180803,3.0
20180804,0
20180805,0
20180806,0
20180807,0
20180808,0
20180809,0
20180810,0
20180811,0
20180812,0
20180813,22.5
20180814,6.2
20180815,49.8
20180816,0
20180817,0
20180818,42.0
20180819,0
20180820,0
20180821,0
20180822,0
20180823,0.3
20180824,1.2
20180825,0
20180826,0
20180827,1.3
20180828,0
20180829,0
20180830,15.0
20180831,0.8
20180901,0
20180902,0
20180903,0
20180904,0
20180905,0
20180906,0
20180907,0
20180908,34.5
20180909,28.4
20180910,37.0
20180911,0
20180912,0
20180913,0
20180914,4.5
20180915,12.4
20180916,8.1
20180917,0
20180918,0
20180919,0
20180920,0
20180921,0
20180922,6.5
20180923,2.6
20180924,7.8
20180925,3.6
20180926,1.5
20180927,5.1
20180928,13.0
20180929,0
20180930,0
20181001,3.0
20181002,0
20181003,0
20181004,0.1
20181005,0.1
20181006,7.3
20181007,10.3
20181008,175.5
