county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
宜蘭縣,2024,10,1,冬山,0.57055205,0.45,0.21998058,0.18,22.969208,29.671,23.541925,32.583,10.453059,14.208,3.8193495,2.146,3.7064981,3.375,12.034,14.208,26.875
宜蘭縣,2024,10,2,冬山,0.78384393,0.383,0.25539586,0.212,36.903957,36.767,37.281086,36.729,11.947075,9.042,0.73273426,2.679,0.54229355,1.333,11.947,9.042,33.458
宜蘭縣,2024,10,3,冬山,0.5351636,0.721,0.23411232,0.35,29.902557,25.183,22.997616,21.042,21.023815,16.833,7.332234,10.067,0.46033132,4.542,21.024,16.833,25.375
宜蘭縣,2024,10,4,冬山,0.6949312,0.683,0.2077436,0.278,11.758585,15.238,12.231798,14.7,17.673296,14.75,6.9046082,6.417,4.56289,4.417,17.673,14.75,17.542
宜蘭縣,2024,10,5,冬山,0.71281195,0.904,0.19261749,0.22,13.513717,11.912,13.026708,11.946,16.64748,19.458,5.2094674,4.529,4.8089504,6.417,16.647,20.834,21.125
宜蘭縣,2024,10,6,冬山,0.7177415,0.496,0.24716988,0.159,12.484386,11.692,12.643464,16.704,20.409744,18.478,5.342403,5.742,6.702575,4.25,21.762,18.478,21.458
宜蘭縣,2024,10,7,冬山,0.7052764,0.427,0.1270408,0.184,29.99049,40.25,29.279726,41.962,21.195,15.261,3.133096,4.942,7.8181,3.833,25.383,15.261,36.875
宜蘭縣,2024,10,8,冬山,0.6223966,0.282,0.19380455,0.204,39.94551,41.671,37.751476,40.4,19.445324,22.682,5.724826,4.873,4.4733634,6.957,19.445,22.682,38.0
宜蘭縣,2024,10,9,冬山,0.52263427,0.312,0.20469977,0.193,33.707726,43.129,34.527145,43.404,22.93116,27.826,6.388307,4.554,7.787685,10.417,25.285,33.821,39.708
宜蘭縣,2024,10,10,冬山,0.72652185,0.404,0.22234164,0.196,37.283188,41.592,37.760487,40.177,23.632313,30.522,6.502012,5.826,9.785532,12.565,31.771,40.795,41.75
