county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
彰化縣,2024,10,1,二林,0.7989927,0.733,0.18268783,0.176,28.496931,34.671,27.098095,36.658,38.32155,44.167,3.6798723,3.542,11.805941,9.917,38.331,44.167,45.542
彰化縣,2024,10,2,二林,1.6634731,0.875,0.2009972,0.187,41.93503,44.242,41.979443,44.154,34.074722,34.417,2.994588,2.525,7.554828,6.5,34.075,34.417,40.875
彰化縣,2024,10,3,二林,1.5416832,1.096,0.22462893,0.186,42.79809,43.875,41.911156,43.458,35.417755,17.5,2.3109014,3.008,6.8814683,2.875,35.418,17.5,40.5
彰化縣,2024,10,4,二林,1.1224917,0.954,0.18902357,0.165,38.856735,39.938,37.261288,38.425,24.57838,27.875,4.7427764,4.154,4.69027,6.708,24.578,27.875,36.333
彰化縣,2024,10,5,二林,0.80701345,0.896,0.22342883,0.182,34.42623,32.167,32.775806,31.292,35.16195,36.5,4.9781733,4.729,10.901959,14.958,35.396,48.565,49.125
彰化縣,2024,10,6,二林,0.93618387,2.732,0.22104149,0.193,28.441288,25.275,27.175184,24.568,32.421604,33.304,5.99805,6.955,11.637448,12.87,37.784,41.786,41.0
彰化縣,2024,10,7,二林,2.196049,1.808,0.21806358,0.206,24.276709,33.542,24.950691,36.562,27.030708,24.625,4.927174,5.875,8.761275,7.958,28.446,25.838,31.625
彰化縣,2024,10,8,二林,1.7147914,1.812,0.25400433,0.271,42.251278,48.817,40.582752,47.762,30.177227,35.625,4.1382585,6.979,10.747054,11.708,34.893,38.013,47.875
彰化縣,2024,10,9,二林,1.5988586,2.042,0.28635165,0.25,38.992237,52.192,39.00746,54.108,38.022873,38.625,7.6257725,5.783,15.331202,13.0,49.777,42.208,59.333
彰化縣,2024,10,10,二林,1.8163502,2.104,0.30085978,0.265,47.852238,52.512,45.25892,52.008,39.886333,40.75,6.6170664,6.763,14.609885,16.583,47.435,53.667,56.708
彰化縣,2024,10,11,二林,1.6126146,2.558,0.2327074,0.258,40.013233,47.062,37.85296,44.837,41.87216,37.042,7.277618,7.371,16.040586,13.458,52.331,43.695,55.167
彰化縣,2024,10,12,二林,1.7012261,1.504,0.25331932,0.245,34.344257,33.708,32.48072,32.458,40.315197,38.042,7.8533506,6.871,14.836342,17.458,48.17,55.821,51.208
彰化縣,2024,10,13,二林,1.5616456,1.054,0.30219728,0.232,34.66536,34.767,34.744354,36.446,44.968754,47.875,7.320857,4.675,21.589294,22.125,65.994,67.313,72.458
彰化縣,2024,10,14,二林,1.1674584,0.554,0.22210297,0.202,35.265213,36.808,32.92213,35.046,44.163246,42.375,5.825734,5.912,15.197322,16.167,49.342,52.642,50.458
彰化縣,2024,10,15,二林,1.1960418,0.917,0.25568548,0.219,31.003735,31.992,27.527988,31.996,43.808136,46.333,7.384145,6.112,16.299421,17.083,52.968,54.898,53.667
彰化縣,2024,10,16,二林,1.4962361,1.662,0.26208436,0.243,35.040005,34.492,34.917736,34.425,48.813858,45.739,6.408044,7.275,17.449352,20.652,55.8,63.686,60.958
彰化縣,2024,10,17,二林,1.6043476,1.617,0.29184103,0.232,34.606075,30.5,32.810356,30.442,52.873634,52.542,7.8090835,5.842,24.744087,25.5,73.762,75.623,75.458
彰化縣,2024,10,18,二林,1.5772302,1.479,0.2804039,0.252,31.75111,32.608,31.2835,33.108,53.698875,46.625,6.7113276,6.579,23.958286,24.042,71.827,72.033,73.208
彰化縣,2024,10,19,二林,1.439001,1.65,0.23519632,0.302,32.074417,38.679,30.713625,39.704,40.201855,41.75,6.3987722,5.379,14.75838,14.958,47.917,48.565,47.042
彰化縣,2024,10,20,二林,1.6168739,1.538,0.29046547,0.271,37.34289,36.871,34.795418,35.858,37.46805,32.333,4.355346,7.533,11.048003,9.75,37.468,32.333,41.333
