county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
臺北市,2024,10,1,中山,0.5689408,0.85,0.31680483,0.189,20.866459,29.804,22.400248,34.933,12.53474,14.583,13.906937,5.487,6.1490455,6.625,23.178,21.51,29.125
臺北市,2024,10,2,中山,0.55512846,0.5,0.3126436,0.177,37.778862,42.754,38.535892,42.946,15.35187,6.75,9.637863,3.933,8.605627,3.292,27.94,10.688,39.375
臺北市,2024,10,3,中山,0.41056877,0.567,0.3292107,0.46,40.86714,29.55,38.51293,24.108,13.117622,11.083,9.53619,19.108,6.6064844,6.25,21.45,31.847,41.958
臺北市,2024,10,4,中山,0.82945937,0.646,0.42950672,0.446,18.67044,9.787,20.92935,9.95,13.840927,15.708,15.123861,17.712,7.6657887,7.875,25.206,29.52,31.083
臺北市,2024,10,5,中山,0.76541686,0.846,0.31014407,0.188,16.112745,11.017,15.038261,11.046,9.423606,11.667,10.411381,7.95,5.1641307,5.708,17.352,18.532,18.75
臺北市,2024,10,6,中山,0.3604787,0.6,0.26039687,0.251,16.44089,11.108,13.171062,13.864,10.920364,11.696,9.035374,11.223,4.665955,6.652,15.149,21.597,22.625
臺北市,2024,10,7,中山,0.56827664,0.55,0.30785286,0.325,22.329224,31.225,18.83087,33.358,12.206117,12.375,10.445199,15.092,7.579248,7.5,24.608,25.153,30.917
臺北市,2024,10,8,中山,0.7956714,0.646,0.3446136,0.377,34.46569,33.604,36.549366,32.358,19.937298,25.25,13.500331,18.038,11.551649,11.708,37.505,38.013,41.875
臺北市,2024,10,9,中山,1.1311893,0.729,0.37192237,0.304,29.6983,41.892,32.815376,43.225,23.78251,26.292,14.688974,13.545,12.50291,12.833,40.594,41.666,42.75
臺北市,2024,10,10,中山,0.81924564,0.795,0.37039304,0.372,41.25394,43.829,43.754143,42.808,26.028193,31.375,12.939861,17.946,11.531321,12.913,37.439,41.925,45.375
臺北市,2024,10,11,中山,1.1323063,0.717,0.3207289,0.272,31.125168,36.083,36.985355,35.346,20.522388,21.833,10.949769,12.262,10.592688,8.25,34.392,26.786,33.792
臺北市,2024,10,12,中山,0.6967137,0.462,0.28249216,0.233,29.488012,28.738,31.987146,28.092,16.139034,23.083,9.47869,8.596,5.8170924,10.042,18.887,32.604,31.792
臺北市,2024,10,13,中山,0.47751814,0.492,0.23101647,0.282,25.720089,25.904,24.3282,24.554,18.17625,19.833,8.471922,12.354,7.648232,7.958,24.832,25.838,30.042
臺北市,2024,10,14,中山,0.5042629,0.812,0.26148582,0.277,19.75687,20.658,20.553064,21.775,14.437687,18.833,9.802218,12.312,4.306584,7.333,16.337,23.808,24.333
臺北市,2024,10,15,中山,0.5262964,0.854,0.27509278,0.301,23.687395,20.829,22.93624,20.508,16.056047,19.167,11.390236,13.604,6.4460187,7.958,20.929,25.838,28.292
臺北市,2024,10,16,中山,0.8267984,1.15,0.32748753,0.285,25.894068,20.158,25.837442,18.85,18.858894,22.043,13.995802,12.735,8.464931,11.652,27.484,37.831,37.917
臺北市,2024,10,17,中山,0.8421578,0.775,0.32107288,0.434,23.864548,25.854,23.11408,25.983,18.60184,27.125,13.605919,19.008,9.556217,13.75,31.027,44.643,40.958
臺北市,2024,10,18,中山,0.89120525,0.942,0.31411308,0.284,25.595259,14.329,27.269613,17.738,17.421934,16.5,11.246262,10.917,8.544462,8.208,27.742,26.649,29.167
臺北市,2024,10,19,中山,0.6811461,0.471,0.2972649,0.275,27.272255,36.208,25.734385,36.421,14.69064,22.75,9.970147,7.304,7.3443136,8.625,23.845,28.003,33.917
臺北市,2024,10,20,中山,0.70216763,1.0,0.25383082,0.309,29.769562,32.175,33.08059,30.733,18.917192,22.917,7.920878,11.512,7.989029,9.292,25.938,30.169,32.375
臺北市,2024,10,21,中山,0.75589347,0.817,0.30653328,0.317,25.618027,31.492,28.679516,33.3,17.869719,25.174,11.601774,11.548,7.625666,10.478,24.759,34.019,33.167
臺北市,2024,10,22,中山,0.8109769,0.538,0.370605,0.416,32.077637,31.25,36.182423,31.446,21.014154,32.042,15.958908,13.083,11.24892,14.625,36.522,47.484,47.0
臺北市,2024,10,23,中山,0.78273827,0.729,0.30021834,0.285,26.360361,34.183,29.08961,33.296,18.502134,11.708,10.218924,11.187,9.031449,4.458,29.323,18.645,32.583
臺北市,2024,10,24,中山,0.51702154,0.5,0.27431,0.265,24.62983,26.571,29.42544,23.554,10.424487,11.333,11.012406,9.123,4.3482637,4.0,18.354,15.205,27.167
臺北市,2024,10,25,中山,0.32393992,0.408,0.3283531,0.248,13.008055,16.308,17.267101,16.288,12.166483,10.458,10.339806,9.317,4.243504,4.125,17.233,15.528,19.292
臺北市,2024,10,26,中山,0.42367482,0.554,0.25018236,0.213,13.8562765,19.692,18.376205,21.004,12.066278,16.667,9.06956,8.392,3.5688891,5.0,15.116,16.667,18.625
臺北市,2024,10,27,中山,0.6367723,0.388,0.26416063,0.301,27.265789,29.662,26.89524,31.592,17.453966,15.458,9.352102,14.012,6.223142,6.042,20.205,23.353,29.958
臺北市,2024,10,28,中山,0.70251745,0.417,0.334948,0.37,35.814358,34.792,36.028103,35.945,17.667185,26.696,13.081924,15.536,8.648452,12.87,28.079,41.786,40.417
臺北市,2024,10,29,中山,0.50865203,0.525,0.25296384,0.287,27.01295,34.892,32.107628,33.567,14.555318,16.875,11.995902,12.717,12.887362,8.75,41.842,28.409,33.917
臺北市,2024,10,30,中山,0.27234071,0.408,0.1696171,0.134,18.535059,29.588,19.791018,30.792,4.499186,11.625,11.573699,1.863,4.9794583,4.417,19.289,14.341,27.125
臺北市,2024,10,31,中山,0.8881697,0.621,0.37855467,0.572,51.24029,17.121,55.89667,13.429,1.2039225,18.833,6.7655425,18.729,4.1293116,8.583,13.407,31.215,35.917
臺北市,2024,11,1,中山,0.8946932,0.812,0.39490297,0.415,19.344778,19.412,21.4479,22.292,14.259746,20.75,15.939362,17.05,7.0556073,9.417,26.566,30.575,30.958
臺北市,2024,11,2,中山,1.2352505,0.921,0.36361197,0.342,33.306328,41.746,31.957523,41.708,31.576677,40.042,17.131104,11.677,12.510089,17.208,40.617,55.206,54.375
臺北市,2024,11,3,中山,1.0054326,0.904,0.3061908,0.326,33.865353,31.3,35.31336,30.857,25.895164,27.565,12.741965,14.552,9.946937,10.87,32.295,35.292,36.583
臺北市,2024,11,4,中山,1.0135244,0.492,0.3177083,0.352,30.016571,35.425,31.956766,37.154,22.47045,30.125,15.075846,14.842,9.256761,14.125,30.054,45.86,43.667
臺北市,2024,11,5,中山,1.058615,0.771,0.35921577,0.287,34.76082,35.904,36.361996,34.808,24.70239,30.792,13.257577,16.671,12.149097,12.5,39.445,40.584,43.167
