county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
臺東縣,2024,10,1,臺東,0.8536378,0.812,0.116133325,0.106,31.962631,32.608,30.67225,34.554,4.6072984,23.625,3.8266108,1.858,2.5788631,3.875,8.373,23.625,30.0
臺東縣,2024,10,2,臺東,1.0405513,0.992,0.086944565,0.135,38.451107,43.888,37.16613,44.117,14.068983,20.667,2.5882072,1.95,4.218958,3.042,14.069,20.667,40.292
臺東縣,2024,10,3,臺東,1.649754,0.883,0.099699624,0.226,34.061794,33.292,26.98892,28.896,12.107899,11.375,5.199086,4.229,2.4394045,4.0,12.108,12.987,30.667
臺東縣,2024,10,4,臺東,0.7303618,1.025,0.23798129,0.141,13.098497,16.312,10.966428,16.121,21.133072,12.875,3.8589878,3.058,5.635314,3.75,21.133,12.875,17.5
臺東縣,2024,10,5,臺東,1.2087765,1.296,0.1588091,0.098,12.934648,13.871,10.194358,13.296,10.600114,10.25,2.8785434,2.154,1.316599,2.375,10.6,10.25,12.875
臺東縣,2024,10,6,臺東,1.470888,1.092,0.15312302,0.117,11.142785,12.742,11.445281,13.488,11.489842,13.583,2.2946396,2.275,1.1952103,3.417,11.49,13.583,14.417
臺東縣,2024,10,7,臺東,1.3340495,1.183,0.15455166,0.125,15.16512,22.212,16.131044,24.841,13.480477,14.273,2.391291,2.504,2.2567096,2.783,13.48,14.273,20.292
臺東縣,2024,10,8,臺東,1.3262933,1.196,0.19476458,0.224,35.506542,44.996,35.159317,45.521,23.742191,21.542,3.2417653,3.733,5.27816,5.333,23.742,21.542,41.292
臺東縣,2024,10,9,臺東,0.75932384,1.346,0.27516878,0.213,40.62712,42.788,38.01617,43.129,21.628616,20.333,4.650305,3.058,5.968856,5.792,21.629,20.333,39.125
臺東縣,2024,10,10,臺東,0.7549482,1.204,0.25699285,0.226,43.785633,47.163,41.36579,47.962,22.74581,24.792,4.4463234,3.546,6.738576,8.417,22.746,27.328,43.333
