county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
花蓮縣,2024,10,1,花蓮,1.3192717,0.95,0.15933469,0.152,21.4729,27.729,20.01555,29.133,13.248808,9.292,1.0677271,1.842,2.4675183,1.615,13.249,9.292,25.167
花蓮縣,2024,10,2,花蓮,0.80083895,1.346,0.11244151,0.208,28.406532,30.746,25.89991,30.254,14.3106165,8.542,0.94360906,4.3,3.3280177,1.083,14.311,8.542,28.167
花蓮縣,2024,10,3,花蓮,1.0370905,1.054,0.14918543,0.22,22.062057,25.004,18.662178,22.904,13.062918,13.435,2.0636017,4.083,7.8939238,2.286,25.63,13.435,22.667
花蓮縣,2024,10,4,花蓮,0.6554435,0.917,0.21773681,0.202,15.3902025,16.546,13.476276,16.696,18.202253,20.708,3.8832488,3.792,5.570168,3.167,18.202,20.708,20.917
花蓮縣,2024,10,5,花蓮,0.6814846,0.762,0.17438218,0.149,15.784125,14.492,14.590736,14.133,19.637224,17.875,3.4844723,2.925,4.8202786,2.708,19.637,17.875,18.833
花蓮縣,2024,10,6,花蓮,0.67829686,0.758,0.1330556,0.143,13.714452,13.317,13.354525,15.179,18.036768,16.917,2.6711934,2.788,3.6134195,1.75,18.037,16.917,18.458
花蓮縣,2024,10,7,花蓮,0.9399283,1.042,0.16697651,0.21,21.598278,27.988,19.78753,32.413,20.381771,18.042,3.435141,3.358,4.766028,3.042,20.382,18.042,27.875
花蓮縣,2024,10,8,花蓮,1.2070624,1.742,0.19906363,0.287,41.578426,46.721,38.189434,43.329,24.495426,21.875,3.4719882,4.692,7.5396056,4.625,24.495,21.875,42.833
花蓮縣,2024,10,9,花蓮,1.1737432,1.167,0.25571674,0.274,30.381874,40.817,28.516657,42.225,21.534441,25.958,3.3722787,4.758,5.9252257,7.167,21.534,25.958,37.417
花蓮縣,2024,10,10,花蓮,0.67478746,1.396,0.28765598,0.301,36.841145,40.492,32.589355,40.404,26.719631,29.478,4.5304565,5.643,8.481692,9.522,27.538,30.916,37.125
花蓮縣,2024,10,11,花蓮,0.8010143,0.83,0.2885873,0.271,32.24045,34.896,29.256271,31.826,25.688404,24.458,4.9630365,5.391,8.418517,7.167,27.333,24.458,33.833
花蓮縣,2024,10,12,花蓮,0.4327914,1.054,0.23686458,0.208,19.948126,24.688,17.604807,24.309,19.636414,18.917,4.1629524,3.337,6.6018844,6.208,21.435,20.156,25.167
花蓮縣,2024,10,13,花蓮,0.7085901,1.038,0.22611564,0.176,20.197357,22.788,19.844538,23.45,19.319752,19.083,3.5383637,2.746,5.988829,6.833,19.444,22.185,28.417
花蓮縣,2024,10,14,花蓮,0.83566153,1.312,0.1802285,0.194,18.76279,23.646,17.701265,24.867,17.389282,17.708,2.8781507,4.087,6.0932627,4.708,19.783,17.708,24.375
花蓮縣,2024,10,15,花蓮,0.78823775,1.205,0.17877367,0.199,20.007998,22.696,18.55562,21.887,17.272879,16.565,3.8381975,3.583,5.5761304,4.045,18.104,16.565,23.292
花蓮縣,2024,10,16,花蓮,0.7487687,1.208,0.23520233,0.204,17.641916,23.596,16.115288,24.108,17.144344,18.458,3.641642,3.942,5.283298,4.625,17.154,18.458,22.708
花蓮縣,2024,10,17,花蓮,0.63392925,1.104,0.21828419,0.171,18.862648,20.717,16.254898,18.55,17.886795,14.583,3.6275787,2.867,6.02566,4.25,19.564,14.583,21.625
花蓮縣,2024,10,18,花蓮,0.61991394,0.888,0.18260023,0.159,11.391289,17.05,11.797312,18.829,13.541409,15.708,2.6679387,2.646,4.831519,2.083,15.687,15.708,17.542
花蓮縣,2024,10,19,花蓮,0.8306907,0.542,0.2086113,0.228,21.393631,28.667,19.675573,28.175,17.867838,11.125,3.0397174,5.838,4.1075335,1.208,17.868,11.125,26.0
花蓮縣,2024,10,20,花蓮,0.71258825,0.662,0.26444086,0.242,25.102299,32.125,23.839437,32.383,16.547016,16.208,4.250407,4.833,3.1121922,2.667,16.547,16.208,29.375
花蓮縣,2024,10,21,花蓮,0.5078685,0.965,0.23071674,0.203,21.892996,25.871,18.874214,27.218,20.534807,22.174,4.007419,2.986,5.1391735,4.652,20.535,22.174,24.25
花蓮縣,2024,10,22,花蓮,0.970821,1.078,0.1836766,0.301,31.241516,38.225,29.799107,39.357,27.310658,22.087,2.4857924,3.804,8.591119,4.348,27.893,22.087,34.875
花蓮縣,2024,10,23,花蓮,0.8872789,0.858,0.29224068,0.261,30.45575,30.429,25.934807,28.371,18.165213,12.458,5.725194,5.821,8.29527,1.083,26.933,12.458,27.875
花蓮縣,2024,10,24,花蓮,0.52957463,0.938,0.19520023,0.168,19.550798,26.517,17.507029,23.962,11.0021305,13.375,2.9658241,4.058,3.986726,2.125,12.944,13.375,24.5
花蓮縣,2024,10,25,花蓮,1.0054054,1.983,0.20861426,0.22,13.213946,13.342,8.493043,12.671,13.774521,14.25,3.1132426,4.958,4.397095,3.042,14.276,14.25,14.542
花蓮縣,2024,10,26,花蓮,1.1217158,0.671,0.21334451,0.16,14.92475,22.021,13.157269,24.271,11.856499,12.583,2.7394238,3.658,4.169309,1.909,13.537,12.583,20.583
花蓮縣,2024,10,27,花蓮,0.74119216,1.229,0.22534376,0.174,24.818241,32.479,25.078949,35.288,19.111467,15.0,3.8539786,3.112,4.206457,1.583,19.111,15.0,29.542
花蓮縣,2024,10,28,花蓮,1.2875834,0.879,0.24080953,0.233,40.400337,45.962,38.711525,46.862,24.626617,19.458,4.2310743,2.812,7.5470634,3.5,24.627,19.458,42.167
花蓮縣,2024,10,29,花蓮,0.9278308,1.371,0.33405682,0.208,35.911915,36.388,32.18143,33.142,21.77554,18.545,6.5327063,4.271,6.763808,3.435,21.96,18.545,33.208
花蓮縣,2024,10,30,花蓮,0.6133927,1.204,0.24858941,0.124,32.25678,30.462,38.150166,32.278,16.548584,50.174,1.7710192,0.761,12.866708,8.522,41.775,51.171,44.583
花蓮縣,2024,10,31,花蓮,3.0319552,0.952,-0.031911276,0.225,48.807335,33.596,39.76416,32.35,59.923588,34.0,0.74075395,3.358,8.785153,11.5,60.725,37.338,40.292
花蓮縣,2024,11,1,花蓮,0.80075365,0.471,0.18575443,0.281,30.234318,32.154,27.363882,32.517,22.3009,15.875,2.4893851,5.346,5.5520973,3.167,22.301,15.875,30.875
花蓮縣,2024,11,2,花蓮,0.4241203,0.638,0.19998743,0.292,30.380053,35.279,27.9752,34.467,16.814922,27.75,5.2709613,4.742,2.3393219,8.125,16.815,27.75,32.708
花蓮縣,2024,11,3,花蓮,0.4128117,0.521,0.19054958,0.23,29.421616,32.321,27.063187,34.875,26.809462,24.0,4.5873456,3.496,8.910461,7.208,28.93,24.0,34.042
花蓮縣,2024,11,4,花蓮,0.608798,0.442,0.19882873,0.234,38.07597,39.462,34.482677,40.4,24.163532,23.667,3.4687192,2.9,4.7867928,6.167,24.164,23.667,36.125
花蓮縣,2024,11,5,花蓮,0.57996076,0.314,0.2278659,0.182,40.827858,48.421,40.493454,47.288,27.616493,28.375,2.838766,2.542,6.8877726,5.542,27.616,28.375,44.458
花蓮縣,2024,11,6,花蓮,1.1865408,1.129,0.19461966,0.25,37.52071,40.248,35.41084,38.89,27.302174,18.591,3.880368,4.843,8.360155,3.5,27.302,18.591,36.696
花蓮縣,2024,11,7,花蓮,0.7086555,0.922,0.26746738,0.361,24.740417,24.012,21.776587,20.761,16.329807,15.417,4.2178297,9.735,2.7572691,2.708,16.33,16.225,23.583
花蓮縣,2024,11,8,花蓮,0.19282246,0.8,0.3043696,0.225,17.10191,21.262,20.141619,24.062,14.459612,13.167,6.0464363,4.083,3.645967,2.125,14.46,13.167,21.375
花蓮縣,2024,11,9,花蓮,0.6600887,1.258,0.2649941,0.288,24.509914,27.867,21.461266,28.288,17.200432,14.5,4.431464,5.733,3.6831737,2.208,17.2,14.5,25.25
花蓮縣,2024,11,10,花蓮,0.7933955,1.529,0.24953961,0.259,25.20661,29.479,24.633142,28.308,15.663511,22.458,4.58987,6.042,3.7134678,6.042,15.664,22.458,27.042
花蓮縣,2024,11,11,花蓮,0.49997473,1.038,0.22880894,0.23,17.129059,14.525,14.978798,12.521,16.271572,13.625,5.0531816,6.517,5.753674,3.583,18.681,13.625,18.292
花蓮縣,2024,11,12,花蓮,0.7237326,0.792,0.21048315,0.222,12.213684,17.017,11.297573,16.7,13.8300705,16.261,3.6820576,5.179,3.0832787,2.217,13.83,16.261,17.792
花蓮縣,2024,11,13,花蓮,0.7086695,1.158,0.24264203,0.18,16.9881,8.908,14.608651,8.287,17.00063,21.875,4.5037794,3.871,5.265696,4.583,17.096,21.875,21.708
花蓮縣,2024,11,14,花蓮,1.0224438,2.058,0.16789009,0.149,11.468802,5.825,11.397219,5.808,15.268929,18.083,3.506308,2.742,3.5246608,3.792,15.269,18.083,18.75
花蓮縣,2024,11,15,花蓮,1.2830894,1.7,0.16030174,0.162,9.901727,12.392,10.221858,14.517,15.702467,15.917,3.4058328,3.333,4.675338,2.667,15.702,15.917,15.083
花蓮縣,2024,11,16,花蓮,1.0758142,1.471,0.2323533,0.181,19.244843,20.675,18.86004,22.4,17.694345,19.708,3.506628,3.271,5.7222834,2.292,18.579,19.708,24.0
花蓮縣,2024,11,17,花蓮,1.0687702,1.374,0.21827771,0.201,27.93436,39.913,28.441498,41.238,22.603928,26.375,3.9235964,2.396,5.819448,6.792,22.604,26.375,36.417
花蓮縣,2024,11,18,花蓮,0.90615857,1.192,0.20941591,0.295,33.268932,30.942,28.886024,27.812,26.831768,17.875,4.6762424,7.612,9.806291,2.792,31.839,17.875,28.583
花蓮縣,2024,11,19,花蓮,0.62684536,1.45,0.2527321,0.295,18.81081,22.971,19.862684,24.079,17.456161,16.375,5.6979733,7.667,5.055541,2.5,17.456,16.375,24.625
