county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
雲林縣,2024,10,1,崙背,1.1376247,1.033,0.22404918,0.181,28.054184,30.154,29.957884,32.442,39.49546,89.625,4.8220453,3.933,17.882998,14.167,56.868,89.832,66.833
雲林縣,2024,10,2,崙背,0.6988876,0.988,0.19090527,0.191,49.195847,40.075,45.625298,40.046,99.992874,125.958,5.137897,3.1,21.83176,16.417,99.993,108.993,104.583
雲林縣,2024,10,3,崙背,0.73510027,0.838,0.219794,0.185,42.210945,40.071,33.60621,39.6,30.20409,21.87,3.3040287,3.712,10.875605,6.87,35.31,22.305,41.167
雲林縣,2024,10,4,崙背,1.0737505,0.508,0.16190332,0.176,35.299107,36.296,34.18029,35.458,24.472878,27.125,4.3537903,3.579,6.4882884,8.625,24.473,28.003,33.333
雲林縣,2024,10,5,崙背,0.8902054,1.296,0.2349643,0.166,32.60727,33.383,34.427917,33.225,32.059116,30.625,6.434004,3.596,12.03154,15.292,39.063,49.649,47.625
雲林縣,2024,10,6,崙背,0.9500568,1.529,0.17882298,0.202,27.99509,26.746,29.450808,26.442,27.150871,26.875,5.3721843,5.829,15.139572,14.167,49.154,45.997,47.042
雲林縣,2024,10,7,崙背,1.0817093,1.579,0.18455845,0.22,22.077833,30.55,22.858133,32.454,19.299751,33.333,5.9811225,6.717,10.567329,10.042,34.31,33.333,35.958
雲林縣,2024,10,8,崙背,1.230297,1.386,0.20622309,0.287,32.031,43.233,34.037964,41.717,33.63957,36.87,6.07963,7.217,10.516174,13.478,34.143,43.76,44.458
雲林縣,2024,10,9,崙背,1.4176786,1.292,0.2729998,0.245,38.33007,47.112,39.492317,49.242,42.22896,43.583,7.9687867,5.825,15.096497,16.333,49.015,53.051,57.417
雲林縣,2024,10,10,崙背,1.321677,1.867,0.24034251,0.275,45.81621,47.908,45.250515,46.962,44.680695,42.042,6.43178,7.108,16.227896,18.792,52.792,59.106,60.875
雲林縣,2024,10,11,崙背,1.4709823,1.792,0.2969484,0.268,39.673496,44.0,39.905537,42.75,43.359962,39.833,6.819957,5.992,17.929304,17.75,56.982,56.54,62.958
雲林縣,2024,10,12,崙背,1.3432268,1.2,0.2662102,0.251,35.674057,32.654,35.93322,31.775,39.31887,41.87,5.992358,6.229,16.378405,19.826,53.163,61.652,59.542
雲林縣,2024,10,13,崙背,1.2837197,1.433,0.26323634,0.209,31.832577,33.571,33.795864,34.492,41.477623,44.792,7.217869,5.808,20.572367,23.375,63.49,70.391,71.333
雲林縣,2024,10,14,崙背,1.2371207,1.236,0.18945663,0.185,31.060497,35.5,30.83853,34.996,34.404495,39.083,6.611637,4.162,17.450653,17.75,55.803,56.54,56.542
雲林縣,2024,10,15,崙背,1.1619021,0.835,0.23820774,0.204,30.442217,32.017,31.434128,30.504,33.940693,44.125,6.838758,5.475,17.716642,18.667,56.458,58.798,57.083
雲林縣,2024,10,16,崙背,1.2280401,2.062,0.24388239,0.254,31.136726,33.954,32.29582,35.025,45.36329,47.458,7.3834653,6.971,21.534643,24.792,65.859,73.88,70.292
雲林縣,2024,10,17,崙背,1.4145467,1.387,0.23394555,0.219,33.269558,33.125,34.850086,32.742,46.17402,48.875,7.1387434,5.129,23.786385,25.125,71.404,74.7,76.917
雲林縣,2024,10,18,崙背,1.2786491,1.454,0.2247717,0.232,31.053858,31.142,32.50201,31.042,44.8708,49.208,6.523678,5.892,24.43314,25.375,72.996,75.315,75.708
雲林縣,2024,10,19,崙背,1.3354287,1.596,0.23773867,0.295,26.694796,36.008,26.899363,36.917,30.148006,39.667,7.262431,4.975,13.520046,13.333,43.896,43.289,46.208
雲林縣,2024,10,20,崙背,1.3096695,1.312,0.2513254,0.237,33.21578,34.483,33.41774,34.329,29.514416,34.583,4.9265227,5.912,9.434999,12.667,30.633,41.127,41.0
雲林縣,2024,10,21,崙背,1.2165478,1.683,0.2645741,0.29,34.20282,22.904,34.656612,23.2,39.64054,59.087,7.1204066,8.861,18.520317,16.696,58.437,59.905,63.042
雲林縣,2024,10,22,崙背,1.6526358,0.963,0.21424645,0.321,37.085766,37.888,34.51895,39.129,67.84166,137.917,6.7522144,5.112,21.125557,19.958,68.485,112.823,95.25
雲林縣,2024,10,23,崙背,1.7128663,0.888,0.18669775,0.197,45.097576,40.754,41.89022,39.383,79.14979,92.875,4.4761443,5.233,19.618908,14.348,79.567,93.018,88.125
雲林縣,2024,10,24,崙背,0.7161453,1.091,0.2084036,0.172,38.8443,35.938,29.228052,33.433,27.229122,33.333,5.3037233,4.904,9.344139,10.091,30.338,33.333,38.083
雲林縣,2024,10,25,崙背,1.2206717,0.875,0.26137447,0.154,33.462536,22.304,32.41922,23.792,42.76644,56.958,5.9665546,4.346,15.821423,15.667,51.791,57.819,54.708
雲林縣,2024,10,26,崙背,1.1127177,0.679,0.20723858,0.202,30.957088,27.775,29.461195,26.946,54.963326,46.583,7.6639166,4.304,18.618248,18.833,58.678,59.207,61.708
雲林縣,2024,10,27,崙背,1.1753109,1.021,0.20377815,0.222,24.793177,26.246,24.37511,28.867,30.331509,30.792,7.0454893,6.425,10.406709,11.292,33.788,36.662,39.208
雲林縣,2024,10,28,崙背,1.2514247,0.95,0.18647738,0.271,37.60665,42.467,33.229683,42.896,36.58235,47.261,6.120832,5.892,14.44203,15.826,46.89,51.803,52.792
雲林縣,2024,10,29,崙背,1.5158417,0.971,0.24582748,0.21,40.163887,42.567,35.708588,40.883,44.963398,47.0,5.85186,6.371,16.378975,12.208,53.164,47.0,52.917
雲林縣,2024,10,30,崙背,1.2634013,0.722,0.34552974,0.177,39.624928,28.533,36.37289,27.791,50.692764,95.583,6.6893277,2.952,18.062473,13.625,57.31,95.671,82.042
雲林縣,2024,10,31,崙背,0.15754554,0.352,0.19397748,0.24,29.230858,35.6,21.980001,37.339,17.874767,29.435,4.827069,3.9,2.3724039,15.0,17.875,48.701,43.375
雲林縣,2024,11,1,崙背,0.5074787,1.833,0.24604572,0.322,38.91421,35.3,36.12277,33.604,28.593369,31.958,4.930016,7.5,14.00018,13.333,45.455,43.289,43.208
雲林縣,2024,11,2,崙背,1.5329475,2.879,0.30982983,0.445,31.180471,35.275,34.970993,37.754,42.519184,51.542,7.7257814,8.379,17.126972,21.75,55.006,66.389,61.25
