county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
新北市,2024,10,1,土城,0.74224854,1.512,0.30131176,0.187,17.305025,32.575,27.312292,37.025,15.268685,12.958,11.775898,4.013,6.100079,1.333,19.805,12.958
新北市,2024,10,2,土城,0.89864933,0.842,0.2820835,0.188,37.50031,44.979,42.40758,44.983,18.889568,4.125,7.0598326,3.038,4.006181,0.25,18.89,5.063
新北市,2024,10,3,土城,0.80907357,0.833,0.28753138,0.373,39.234886,35.425,42.136333,30.729,14.4310665,8.25,7.5705037,13.625,2.44746,3.267,14.431,22.708
新北市,2024,10,4,土城,0.9178879,0.988,0.30392903,0.406,22.514038,18.746,23.985437,18.188,13.26167,14.875,10.269543,14.179,3.139957,2.125,17.116,23.632
新北市,2024,10,5,土城,0.7809229,0.817,0.25049326,0.21,14.864455,12.25,10.211766,12.5,12.878096,11.25,7.733282,6.092,0.22354314,0.5,12.889,11.25
新北市,2024,10,6,土城,0.45766613,0.704,0.18174595,0.192,16.05147,15.542,15.363776,17.675,12.787897,7.667,7.17095,7.446,0.378422,0.294,12.788,12.41
新北市,2024,10,7,土城,0.6528216,0.961,0.24818583,0.269,28.222908,35.271,29.102873,38.65,15.885227,8.875,7.002656,9.033,3.7468731,2.462,15.885,15.055
新北市,2024,10,8,土城,1.1387849,0.879,0.27073276,0.319,39.873943,41.042,41.389496,39.638,22.417252,21.042,7.7094517,10.65,5.0997148,3.708,22.417,21.042
新北市,2024,10,9,土城,1.0004526,1.2,0.31452113,0.281,39.77372,45.192,38.43179,46.195,21.943256,23.435,9.075249,8.309,6.6348734,6.174,21.943,23.435
新北市,2024,10,10,土城,1.1297109,1.096,0.31586325,0.278,47.453327,52.95,43.98415,52.821,25.246172,25.875,10.513575,8.154,8.817163,7.917,28.627,25.875
新北市,2024,10,11,土城,1.0460918,0.857,0.26826668,0.24,44.05455,42.971,41.766647,40.735,21.54419,17.0,7.512358,6.435,7.1402135,2.083,23.183,17.0
新北市,2024,10,12,土城,0.8698399,0.963,0.2609948,0.224,31.47191,32.65,32.699825,31.904,12.46166,15.583,7.544913,5.417,2.7301714,3.917,12.575,15.583
新北市,2024,10,13,土城,0.81320196,1.15,0.22942309,0.226,27.38785,29.254,26.919817,28.686,17.018803,15.826,6.6891913,6.768,5.309719,3.609,17.239,15.826
新北市,2024,10,14,土城,0.7895669,1.025,0.18804312,0.251,23.702938,23.171,23.756636,23.883,12.771781,15.958,6.5878205,7.925,3.179903,2.375,12.772,15.958
新北市,2024,10,15,土城,0.86058396,0.867,0.23282799,0.235,22.626253,27.683,25.677433,26.371,16.380604,13.458,8.129641,7.933,4.003083,2.0,16.381,13.458
新北市,2024,10,16,土城,0.74405015,0.921,0.22439356,0.275,21.09181,24.092,22.847406,23.529,13.711971,16.583,7.374071,8.954,3.3466334,3.417,13.712,16.583
新北市,2024,10,17,土城,0.940599,1.564,0.2972626,0.369,28.676394,29.604,28.224924,28.621,23.842941,26.208,11.835509,14.596,6.11811,8.583,23.843,27.867
新北市,2024,10,18,土城,1.1377711,0.846,0.2528026,0.263,18.324448,15.258,18.151896,19.562,13.404602,12.958,9.239501,7.833,4.285671,1.652,15.399,13.055
新北市,2024,10,19,土城,0.883508,1.088,0.26927045,0.278,30.246544,39.033,32.746723,38.917,21.250101,16.583,8.694138,5.679,4.875338,2.833,21.25,16.583
新北市,2024,10,20,土城,1.0102499,1.321,0.26578328,0.281,29.598175,37.371,30.103804,35.806,15.017691,17.348,6.0960665,7.15,3.731795,2.739,15.018,17.348
新北市,2024,10,21,土城,1.0797613,1.165,0.29814926,0.258,32.12775,38.6,33.158276,39.358,19.791424,23.125,8.68198,7.322,6.0936456,3.458,19.791,23.125
新北市,2024,10,22,土城,0.9034079,1.208,0.30263475,0.4,35.77006,36.017,36.725525,35.896,19.214455,25.042,10.269307,9.475,5.598092,9.958,19.214,32.331
新北市,2024,10,23,土城,0.69851536,1.004,0.2944848,0.229,33.164974,39.729,29.564575,38.942,17.682869,6.667,8.092901,7.825,6.6445856,0.688,21.573,13.042
新北市,2024,10,24,土城,0.63846445,0.875,0.2658062,0.2,26.010311,31.504,32.089558,28.992,11.197473,6.667,7.9794817,6.2,-0.3123739,1.333,13.299,10.333
新北市,2024,10,25,土城,0.7087153,1.4,0.2602669,0.315,18.580355,15.0,23.503223,13.046,14.3384495,12.083,5.2683063,10.025,2.0941055,1.957,14.338,16.708
新北市,2024,10,26,土城,0.8032708,1.496,0.31587672,0.204,15.601814,21.721,15.833809,24.554,16.706205,13.708,9.063426,6.5,4.566884,2.333,16.706,13.708
