county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
苗栗縣,2024,10,1,三義,1.1689821,0.592,0.18767972,0.173,26.053337,30.233,24.746603,32.658,16.000322,16.0,3.6942017,2.804,6.1339746,6.208,19.916,20.156
苗栗縣,2024,10,2,三義,0.93220437,0.625,0.14523885,0.16,42.46392,40.329,39.424488,40.471,19.424522,6.75,3.9473543,1.725,4.6011477,2.208,19.425,7.169
苗栗縣,2024,10,3,三義,0.86975336,0.812,0.15539451,0.184,40.778408,39.017,38.858597,38.258,12.92479,2.708,4.0396547,3.612,4.2433233,0.958,13.777,6.02
苗栗縣,2024,10,4,三義,0.76050586,0.854,0.20750795,0.165,33.08486,34.229,32.59213,32.967,5.908381,10.957,4.680891,2.712,1.9789777,5.25,7.801,17.045
苗栗縣,2024,10,5,三義,1.1477847,1.229,0.16232905,0.18,27.608627,27.854,27.19311,27.525,9.7663145,17.875,4.3389063,2.542,5.2906775,8.25,17.178,26.786
苗栗縣,2024,10,6,三義,1.0125597,1.121,0.16142307,0.185,25.362717,20.75,25.73414,19.712,16.10891,17.25,3.7893643,4.038,6.856946,8.958,22.263,29.084
苗栗縣,2024,10,7,三義,0.92198825,0.87,0.17804343,0.16,19.924099,28.704,20.869265,32.335,12.024974,6.391,3.437613,3.745,4.7891603,2.391,15.549,7.763
苗栗縣,2024,10,8,三義,0.95266676,1.2,0.17466955,0.205,43.469166,45.3,41.403297,44.492,11.79551,12.292,3.9681964,3.021,3.502535,5.625,11.796,18.263
苗栗縣,2024,10,9,三義,0.9605844,1.204,0.2176058,0.215,39.840023,47.413,38.705658,48.608,17.841724,20.5,5.327196,3.771,6.629872,9.042,21.526,29.357
苗栗縣,2024,10,10,三義,0.8708924,1.074,0.21701285,0.193,46.526165,45.875,42.774006,45.648,18.749235,16.565,5.1077247,2.487,7.2189755,10.0,23.438,32.468
苗栗縣,2024,10,11,三義,0.73393756,0.913,0.20590807,0.207,40.08968,42.246,38.03583,39.104,14.903516,17.333,5.0274944,4.761,7.2300506,10.583,23.474,34.36
苗栗縣,2024,10,12,三義,0.8226532,1.208,0.20655996,0.241,29.142673,32.767,27.284847,32.092,14.431423,17.375,6.5074034,6.054,7.6897106,9.917,24.967,32.198
苗栗縣,2024,10,13,三義,0.89485157,1.129,0.21078306,0.232,34.52303,35.675,31.475101,36.096,19.522491,24.792,6.0896626,6.229,13.711168,13.625,44.517,44.237
苗栗縣,2024,10,14,三義,1.2232932,0.991,0.19530532,0.232,38.04828,38.904,33.78626,37.661,23.688911,28.0,6.08475,6.068,15.913606,16.043,52.018,52.337
苗栗縣,2024,10,15,三義,1.0971427,0.89,0.20759392,0.202,33.47977,27.854,32.09991,28.308,21.427935,23.625,5.8087316,6.163,12.463004,12.625,40.464,40.99
苗栗縣,2024,10,16,三義,0.9677557,0.654,0.1540923,0.192,32.26095,31.8,29.258217,29.914,17.436474,26.708,4.7481594,5.483,9.672365,13.333,31.404,43.289
苗栗縣,2024,10,17,三義,1.5088943,0.821,0.21662986,0.274,32.95457,31.421,29.168798,31.438,29.974527,40.125,6.4261847,7.308,17.015034,23.542,54.73,70.802
苗栗縣,2024,10,18,三義,1.3017459,0.433,0.23999709,0.235,31.349735,34.413,32.883263,35.758,31.49237,28.083,5.660215,4.912,19.137585,17.958,59.957,57.052
苗栗縣,2024,10,19,三義,0.76649535,1.08,0.20434147,0.228,33.884968,37.992,30.448643,38.546,14.922831,8.625,5.1470094,3.167,9.216037,4.125,29.922,13.393
苗栗縣,2024,10,20,三義,0.8575493,0.596,0.2374965,0.2,37.41185,35.529,36.014973,33.962,10.64766,17.167,4.79158,4.546,5.034084,7.208,16.344,23.403
苗栗縣,2024,10,21,三義,0.6879046,0.162,0.20464137,0.205,26.756685,21.146,26.446573,23.143,12.224317,17.826,5.586434,5.674,6.334796,6.957,20.568,22.588
苗栗縣,2024,10,22,三義,1.0705442,0.818,0.168462,0.276,35.35554,39.921,31.93601,40.975,13.818436,22.208,4.627555,2.712,6.0456843,4.958,19.629,22.208
苗栗縣,2024,10,23,三義,1.1159669,0.746,0.21992162,0.149,44.098583,43.821,43.291187,42.492,24.837723,9.792,4.391454,1.95,8.740576,1.0,28.378,9.792
苗栗縣,2024,10,24,三義,1.1158199,0.754,0.1617837,0.163,38.596527,37.438,40.726326,36.25,15.913427,12.083,3.9286833,4.117,5.500886,6.542,17.86,21.24
苗栗縣,2024,10,25,三義,1.0957135,1.75,0.18701312,0.258,37.520206,29.833,35.2587,29.142,20.44537,34.083,5.2874227,6.688,10.461449,16.542,33.966,53.566
苗栗縣,2024,10,26,三義,1.3466835,0.704,0.17787412,0.201,26.44009,23.483,27.012135,22.938,25.144672,20.667,5.442222,4.183,12.13259,11.25,39.392,36.526
苗栗縣,2024,10,27,三義,0.8171377,0.342,0.21411048,0.167,22.864813,32.233,23.86864,35.083,14.345399,10.417,4.7921886,4.888,6.2891545,3.833,20.419,12.445
苗栗縣,2024,10,28,三義,0.7130128,0.53,0.19762024,0.23,42.17157,42.375,41.513824,43.643,16.097591,13.826,4.59232,4.622,4.6399245,7.435,16.098,24.14
苗栗縣,2024,10,29,三義,0.8078027,0.945,0.21677974,0.15,45.435036,45.371,43.572163,42.971,18.38643,6.25,4.705246,2.512,8.720549,3.875,28.313,12.581
苗栗縣,2024,10,30,三義,0.78559804,0.617,0.15946433,0.131,28.167183,29.858,29.688004,28.688,6.5938373,3.958,4.636614,1.017,5.0577197,1.333,16.421,4.328
苗栗縣,2024,10,31,三義,0.6927362,0.604,0.19058698,0.226,27.696665,32.842,27.71778,33.508,8.701721,11.958,3.2204576,3.1,4.7714477,7.75,15.492,25.162
苗栗縣,2024,11,1,三義,1.195987,0.967,0.15530123,0.216,30.53222,30.671,27.355982,30.2,12.731889,10.0,3.0464916,2.654,7.6526203,4.75,24.846,15.422
苗栗縣,2024,11,2,三義,0.8909565,0.888,0.21120076,0.246,34.999798,35.558,35.525845,37.163,12.224261,23.5,5.112526,2.575,4.025756,12.292,13.071,39.909
苗栗縣,2024,11,3,三義,0.94786775,1.25,0.19965027,0.196,37.858196,37.104,37.735825,37.583,20.916187,21.417,5.4029083,3.071,9.229692,9.833,29.967,31.925
苗栗縣,2024,11,4,三義,1.0137644,1.083,0.2040289,0.182,37.47872,45.196,36.60441,46.596,18.773823,17.417,5.7014627,3.454,7.612163,8.75,24.715,28.409
苗栗縣,2024,11,5,三義,0.86390233,1.261,0.180267,0.143,46.10228,46.992,44.248703,46.445,18.141819,16.348,5.2003345,2.287,7.5474024,7.348,24.505,23.857
苗栗縣,2024,11,6,三義,1.0325443,0.846,0.15466458,0.139,42.149235,43.05,42.07234,41.733,17.010777,7.083,5.1343775,2.5,7.5841856,3.583,24.624,11.633
苗栗縣,2024,11,7,三義,0.7683722,1.341,0.1571521,0.159,35.14116,37.308,35.314884,36.827,8.66961,8.042,5.030545,3.427,4.161986,4.75,13.513,15.422
苗栗縣,2024,11,8,三義,0.87961864,0.979,0.1785846,0.177,30.448933,27.933,30.524092,26.988,7.144217,8.75,4.8484116,4.833,5.672123,7.625,18.416,24.756
苗栗縣,2024,11,9,三義,0.89583004,0.742,0.19018789,0.172,24.81349,23.471,24.454626,23.517,6.1114597,8.833,4.650798,3.092,4.612779,6.667,14.977,21.646
苗栗縣,2024,11,10,三義,0.9439929,1.079,0.16552936,0.163,27.640211,30.738,27.986458,30.758,7.2978897,10.542,4.2209425,4.392,4.2223344,5.5,13.709,17.857
苗栗縣,2024,11,11,三義,0.8414871,0.633,0.17215669,0.174,25.302763,20.262,25.510036,18.404,5.9640517,7.917,4.4669266,4.638,3.980591,5.625,12.924,18.263
苗栗縣,2024,11,12,三義,0.90481853,0.992,0.21529005,0.288,31.385696,21.508,31.18619,23.829,15.379533,34.208,5.8967595,8.054,9.240585,19.417,30.002,60.645
苗栗縣,2024,11,13,三義,0.9366245,0.783,0.2655232,0.343,33.810905,28.017,35.3973,27.075,37.38084,52.043,5.5582438,8.2,25.688826,31.875,76.088,91.32
苗栗縣,2024,11,14,三義,1.247272,1.142,0.31926608,0.366,27.9051,21.142,33.767162,19.162,46.7765,42.75,6.3741045,9.9,31.346489,27.875,90.019,81.471
苗栗縣,2024,11,15,三義,0.58887815,0.3,0.2986633,0.183,22.397636,17.067,21.159805,18.892,22.912758,14.958,5.0829477,6.65,16.706802,10.083,53.972,32.737
苗栗縣,2024,11,16,三義,1.0772524,0.771,0.14468032,0.113,27.13097,26.733,24.363823,29.192,4.787517,5.667,4.3322096,2.546,3.1585987,3.208,10.255,10.416
苗栗縣,2024,11,17,三義,0.9249417,0.554,0.17091547,0.167,37.745235,38.779,38.432182,38.413,10.282801,8.625,3.931364,3.4,5.4680104,4.208,17.753,13.662
苗栗縣,2024,11,18,三義,0.71271074,0.808,0.16686434,0.174,32.817257,31.212,33.597584,30.421,9.224146,5.875,4.7115316,3.571,4.705866,3.417,15.279,11.094
苗栗縣,2024,11,19,三義,0.7905893,1.096,0.20155497,0.18,26.908783,29.521,27.47979,29.692,6.2240076,6.292,4.7022023,4.896,4.242678,4.875,13.775,15.828
苗栗縣,2024,11,20,三義,0.8885918,0.865,0.20850192,0.18,28.878124,30.712,29.520594,31.609,6.7514157,3.261,4.8262157,5.109,5.1009035,3.545,16.561,11.51
苗栗縣,2024,11,21,三義,0.8134216,1.046,0.21902111,0.197,34.3137,37.1,35.668358,37.996,8.93342,5.625,4.7465296,3.0,5.0591984,4.125,16.426,13.393
苗栗縣,2024,11,22,三義,0.88157606,0.771,0.22016796,0.204,39.95978,43.771,39.68721,43.383,15.285093,15.5,4.837356,1.887,9.239183,10.958,29.997,35.578
苗栗縣,2024,11,23,三義,0.6110438,1.083,0.20628002,0.17,35.70553,35.154,34.032173,32.758,10.682332,10.375,4.97044,2.967,8.241575,6.125,26.758,19.886
苗栗縣,2024,11,24,三義,1.1842746,1.054,0.22514528,0.263,34.20727,33.45,32.18093,35.467,18.425858,28.333,6.264363,7.129,10.92954,16.875,35.486,54.386
苗栗縣,2024,11,25,三義,0.88181174,0.783,0.22711882,0.242,29.646236,28.283,30.064838,28.879,14.637963,14.957,6.1560936,5.338,8.92082,8.087,28.964,26.256
苗栗縣,2024,11,26,三義,0.7064129,1.533,0.26129562,0.197,34.203053,41.696,35.780296,42.133,17.666046,23.25,5.57549,2.358,9.868711,9.833,32.041,31.925
苗栗縣,2024,11,27,三義,1.2685754,1.446,0.18814322,0.208,40.749794,42.196,39.737446,41.867,18.576256,23.417,4.7823434,4.925,11.288997,9.833,36.653,31.925
苗栗縣,2024,11,28,三義,1.2958155,1.45,0.225503,0.2,38.78528,48.843,37.264076,49.26,24.91795,26.913,6.388673,4.655,12.951004,10.636,42.049,34.532
苗栗縣,2024,10,1,苗栗,1.6990865,1.454,0.18874183,0.158,29.22443,30.875,27.345995,34.475,18.965443,20.917,4.4761553,4.229,6.531118,9.125,21.205,29.627
苗栗縣,2024,10,2,苗栗,1.5128437,1.446,0.17457032,0.14,42.02075,42.804,39.796337,42.862,18.474632,7.708,5.005989,2.4,7.2328563,3.25,23.483,10.552
苗栗縣,2024,10,3,苗栗,1.3834225,1.191,0.15991637,0.188,40.91281,40.608,41.993496,39.196,11.779925,8.542,4.2735047,5.887,5.915254,5.417,19.205,17.588
苗栗縣,2024,10,4,苗栗,1.392443,1.471,0.18512133,0.186,32.632313,35.312,32.89179,36.2,9.409202,18.125,7.0960264,5.212,4.2308707,8.25,13.737,26.786
苗栗縣,2024,10,5,苗栗,1.7405207,1.3,0.14299624,0.169,30.686234,27.367,30.127407,23.887,16.98323,17.375,5.8631535,4.4,7.494332,8.625,24.332,28.003
苗栗縣,2024,10,6,苗栗,1.4764354,1.676,0.17896354,0.19,21.782648,16.379,21.416277,17.035,13.479976,19.727,5.062808,6.1,6.3656487,8.864,20.668,28.779
苗栗縣,2024,10,7,苗栗,1.3956916,1.675,0.17893407,0.188,23.561577,33.162,21.79703,37.029,12.82252,9.458,4.4375134,6.758,6.318003,5.708,20.513,18.532
苗栗縣,2024,10,8,苗栗,1.6841809,1.696,0.18905303,0.23,45.04025,46.675,42.177948,45.208,17.368313,17.875,6.4614906,7.375,6.501278,8.333,21.108,27.055
