county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
金門縣,2024,10,1,金門,0.6363053,1.0,0.13372092,0.19,30.259424,34.933,30.954727,37.217,17.425236,13.333,5.3520155,4.708,6.21708,2.958,20.185,13.333
金門縣,2024,10,2,金門,1.0070921,1.4,0.21680202,0.204,43.954037,41.442,43.365486,41.667,21.498278,17.375,6.4120703,5.529,6.0245533,5.583,21.498,18.127
金門縣,2024,10,3,金門,0.8117052,1.275,0.21590263,0.21,41.391037,40.233,39.918793,38.933,19.973505,16.13,6.244734,6.891,6.2982764,6.0,20.449,19.481
金門縣,2024,10,4,金門,0.722321,1.313,0.24145699,0.238,39.196743,39.512,38.220036,39.638,20.791788,20.75,7.1254487,7.438,7.910018,9.542,25.682,30.981
金門縣,2024,10,5,金門,0.48036927,0.912,0.2525109,0.213,36.853935,30.688,33.065327,30.004,19.595915,14.0,6.7212524,7.062,8.532258,6.833,27.702,22.185
金門縣,2024,10,6,金門,0.73364025,0.862,0.21567276,0.194,31.113499,26.654,30.108322,28.771,13.051657,20.125,6.969806,7.85,6.536074,9.667,21.221,31.386
金門縣,2024,10,7,金門,0.86752164,0.886,0.23333675,0.231,35.24109,44.708,33.160965,45.043,20.273495,9.696,6.326253,5.432,8.948377,3.696,29.053,12.0
金門縣,2024,10,8,金門,0.74616885,1.717,0.26089242,0.312,47.670338,53.762,48.693096,55.354,22.16202,26.958,7.1643496,6.338,8.011612,15.708,26.012,51.512
金門縣,2024,10,9,金門,1.3716458,1.642,0.29757774,0.37,55.24825,61.929,54.57042,63.238,32.28529,38.375,8.293043,7.375,14.150041,23.875,45.942,71.622
金門縣,2024,10,10,金門,2.292368,1.662,0.34526622,0.341,64.918686,78.013,66.55279,80.1,41.260223,48.25,9.473259,8.854,22.308012,24.833,67.763,73.981
金門縣,2024,10,11,金門,2.5397422,1.117,0.30457956,0.255,66.71321,68.804,65.53524,64.046,42.350132,40.375,9.67196,7.383,19.935507,18.875,61.922,59.31
金門縣,2024,10,12,金門,1.2607573,1.137,0.25276807,0.212,44.016064,45.925,43.65103,43.762,30.72926,31.875,9.120563,7.538,12.876304,14.708,41.806,47.753
金門縣,2024,10,13,金門,1.2838743,1.358,0.2933727,0.203,38.033737,35.742,36.28116,35.871,29.10848,33.083,9.201305,8.575,14.229461,18.083,46.2,57.36
金門縣,2024,10,14,金門,1.1901402,1.292,0.2538195,0.234,36.43219,34.258,33.15818,34.738,26.025208,34.667,8.610022,9.542,14.286618,14.417,46.385,46.808
金門縣,2024,10,15,金門,0.82011586,1.057,0.22853231,0.213,34.748928,39.804,32.40725,39.495,25.217793,25.826,7.5622897,6.33,10.401433,11.304,33.771,36.701
金門縣,2024,10,16,金門,1.252941,0.954,0.29100788,0.254,40.716663,42.562,39.456474,41.375,27.519403,33.917,7.244425,7.304,11.563265,18.5,37.543,58.387
金門縣,2024,10,17,金門,1.8102119,0.612,0.28658646,0.211,39.82116,31.962,36.67701,32.529,32.693577,29.792,9.907676,8.071,17.113409,19.667,54.973,61.26
金門縣,2024,10,18,金門,1.677598,1.025,0.255195,0.23,36.159714,34.413,31.743595,34.962,26.791868,38.583,10.780342,9.692,17.034964,18.333,54.78,57.976
金門縣,2024,10,19,金門,0.8368793,0.354,0.24356358,0.24,33.69067,41.854,30.688759,41.992,26.699532,22.083,8.450939,5.192,11.858018,8.958,38.5,29.084
金門縣,2024,10,20,金門,1.0191778,1.387,0.21797507,0.285,41.091217,39.446,38.330368,39.854,22.734085,27.792,6.4436965,9.638,8.8741255,11.25,28.812,36.526
金門縣,2024,10,21,金門,1.366995,1.488,0.3324762,0.262,42.195354,40.217,38.82063,42.438,30.496143,33.0,9.310209,9.208,12.506859,15.958,40.607,52.128
金門縣,2024,10,22,金門,1.5593586,0.918,0.3053153,0.32,45.29762,48.483,41.618904,49.439,33.071697,51.217,8.827049,5.886,14.932064,17.565,48.481,56.085
金門縣,2024,10,23,金門,1.5994396,1.27,0.1569084,0.236,46.409336,52.479,43.85797,50.258,40.662857,39.458,7.181007,6.196,12.492963,14.75,40.663,47.89
金門縣,2024,10,24,金門,1.3796663,1.45,0.14315483,0.182,40.43582,42.587,39.828876,39.546,27.924368,29.542,6.4458966,7.188,8.470295,9.25,27.924,30.032
金門縣,2024,10,25,金門,0.7115045,1.333,0.16895893,0.26,33.96082,27.338,34.761284,26.613,26.46814,22.917,7.9772434,12.283,9.076524,11.833,29.469,38.419
金門縣,2024,10,26,金門,0.87686163,1.046,0.28139886,0.242,27.86638,22.367,28.141073,23.562,17.476114,26.667,9.362537,9.817,9.956595,11.0,32.327,35.714
金門縣,2024,10,27,金門,1.1275165,1.075,0.2647909,0.222,29.947104,38.908,29.791903,40.983,26.506271,20.917,9.126358,6.042,12.540505,8.75,40.716,28.409
金門縣,2024,10,28,金門,1.7684134,1.275,0.25474942,0.313,44.21833,45.52,42.762177,50.362,27.193659,28.217,7.3370366,6.175,11.085699,17.609,35.993,56.193
金門縣,2024,10,29,金門,1.9201283,1.054,0.3328702,0.297,54.924328,59.538,53.263786,55.541,38.855564,39.958,7.6557193,6.05,18.159437,22.25,57.548,67.621
金門縣,2024,10,30,金門,1.8042009,0.95,0.16601177,0.155,42.225338,33.592,44.039898,31.85,32.535137,75.905,9.159125,4.658,15.828748,7.0,51.809,76.387
金門縣,2024,10,31,金門,2.1582422,1.196,0.19174574,0.236,27.63847,34.571,32.52451,34.413,47.099773,17.542,7.2716265,9.775,8.899403,9.083,47.1,29.49
金門縣,2024,11,1,金門,0.7261969,1.25,0.28304058,0.27,35.181854,32.546,34.08212,37.45,19.838324,21.417,9.435747,8.909,10.745764,8.542,34.889,27.734
金門縣,2024,11,2,金門,0.8267137,1.127,0.308538,0.296,51.53095,60.475,50.057495,64.355,29.906652,31.0,7.34565,6.282,11.9052515,19.0,38.653,59.618
金門縣,2024,11,3,金門,1.330998,2.021,0.29776624,0.303,60.26849,53.717,57.35811,51.612,34.97569,39.958,8.479995,9.742,17.024214,21.25,54.753,65.158
金門縣,2024,11,4,金門,1.7671071,1.067,0.30826923,0.325,48.109135,63.788,46.987083,65.905,37.914417,41.167,9.519987,6.167,20.831379,23.792,64.128,71.417
金門縣,2024,11,5,金門,1.2164226,1.243,0.27460724,0.219,58.03394,58.246,54.503193,57.109,38.043114,46.87,8.067848,4.886,16.62854,19.0,53.779,59.618
金門縣,2024,11,6,金門,1.8083092,1.283,0.22370832,0.176,47.28564,52.442,46.658638,50.883,32.944016,32.292,6.8073564,6.565,10.808005,11.125,35.091,36.12
金門縣,2024,11,7,金門,1.4605626,2.05,0.26484245,0.198,43.33521,47.704,44.714424,47.454,30.771807,27.667,7.734872,7.504,10.805259,11.167,35.082,36.256
金門縣,2024,11,8,金門,1.4587681,2.025,0.2674162,0.245,43.871765,41.087,43.86313,40.567,28.67549,26.042,8.3495,8.283,11.683874,15.042,37.935,48.838
金門縣,2024,11,9,金門,1.4309349,1.542,0.28128088,0.234,38.797142,43.708,37.20384,43.792,25.023859,24.333,8.30821,8.008,13.190364,14.917,42.826,48.432
金門縣,2024,11,10,金門,1.2174618,0.833,0.2961944,0.208,39.50934,45.533,36.825855,44.658,24.226532,22.75,8.146486,5.888,12.56664,11.125,40.801,36.12
金門縣,2024,11,11,金門,0.9469181,0.842,0.24801251,0.189,38.906185,37.779,37.748474,39.112,22.066198,23.167,7.1923494,6.838,9.968896,10.292,32.367,33.416
金門縣,2024,11,12,金門,0.75282127,0.742,0.2623673,0.204,41.31041,46.643,39.880417,45.994,26.443802,18.391,7.9337444,5.056,10.84083,11.043,35.198,35.854
金門縣,2024,11,13,金門,1.0313979,1.264,0.23504311,0.256,39.388405,35.1,38.958267,32.83,21.291384,23.375,6.9253798,8.955,10.67973,11.875,34.674,38.555
金門縣,2024,11,14,金門,1.125076,1.3,0.31281108,0.248,30.811527,20.079,29.618702,20.271,23.786188,21.625,9.847696,10.0,12.070304,12.083,39.189,39.231
金門縣,2024,11,15,金門,0.50735986,1.191,0.21795624,0.186,22.415533,30.262,23.833237,33.536,15.222435,14.625,7.6118107,6.105,6.8391066,7.5,22.205,24.351
金門縣,2024,11,16,金門,0.879036,1.083,0.2425488,0.189,37.36707,39.325,36.443043,40.829,20.357012,20.5,8.18947,5.367,9.539294,10.125,30.972,32.873
