county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
新竹市,2024,10,1,新竹,0.97330177,0.967,0.18021055,0.181,35.237186,35.371,38.46783,38.546,22.617851,22.625,5.2359176,5.017,4.73048,4.875,22.618,22.625,33.583
新竹市,2024,10,2,新竹,0.84005725,0.838,0.17110851,0.169,44.48495,44.904,44.75074,44.738,10.157795,10.292,3.715859,3.825,2.2614279,2.125,10.158,10.292,41.458
新竹市,2024,10,3,新竹,0.4488719,0.442,0.19545662,0.197,44.007244,44.921,43.984188,44.358,9.092755,9.042,5.4171324,5.325,2.7261288,3.0,9.093,9.74,41.292
新竹市,2024,10,4,新竹,1.1843612,1.196,0.29049772,0.291,32.7718,32.825,30.856941,30.846,19.521208,19.542,9.598333,9.6,5.08047,5.125,19.521,19.542,30.583
新竹市,2024,10,5,新竹,1.6189941,1.621,0.24212201,0.244,22.66537,22.667,20.475826,20.429,21.207533,21.042,8.023813,8.021,6.200037,6.292,21.208,21.042,28.25
新竹市,2024,10,6,新竹,0.9585954,0.961,0.22060722,0.222,13.086526,12.85,15.186011,14.987,13.225201,13.087,9.178684,9.209,4.489499,4.565,15.298,15.348,18.292
新竹市,2024,10,7,新竹,1.4048009,1.404,0.23503889,0.236,37.74374,37.971,41.007755,41.283,7.1673846,6.417,8.151618,8.154,2.8247228,2.667,13.586,13.59,34.75
新竹市,2024,10,8,新竹,1.4048688,1.392,0.27572027,0.276,44.028416,44.1,41.77793,42.038,19.768661,19.833,10.372365,10.338,6.4344225,6.542,20.891,21.24,40.333
新竹市,2024,10,9,新竹,1.5504636,1.558,0.24704772,0.247,50.79837,51.562,52.72413,53.692,22.805796,22.833,7.201979,7.204,9.611946,9.625,31.208,31.25,49.833
新竹市,2024,10,10,新竹,1.8059587,1.809,0.26822156,0.268,54.53145,55.542,54.082214,54.975,23.100693,23.042,8.3566,8.367,9.231314,9.167,29.972,29.763,57.167
新竹市,2024,10,11,新竹,1.4709165,1.474,0.23381115,0.235,44.441113,44.833,42.223354,42.387,15.42425,15.375,8.023387,8.013,3.4276433,3.5,15.424,15.375,41.25
新竹市,2024,10,12,新竹,1.7497864,1.742,0.27230725,0.272,36.350136,36.612,36.594482,36.688,16.00267,15.958,7.6916976,7.708,7.227342,7.25,23.465,23.539,34.292
新竹市,2024,10,13,新竹,1.9865037,1.979,0.2802545,0.281,31.125952,31.358,30.843912,30.933,22.24345,22.25,10.279802,10.283,9.536292,9.625,30.962,31.25,38.875
新竹市,2024,10,14,新竹,1.9442226,1.938,0.2587056,0.259,26.14205,26.387,26.186262,26.404,22.579256,22.583,11.195463,11.171,9.531256,9.583,30.946,31.114,34.625
新竹市,2024,10,15,新竹,1.138618,1.146,0.19389728,0.195,27.06359,27.342,26.850777,27.092,15.855465,15.792,8.265793,8.246,5.888253,6.0,19.118,19.481,25.5
新竹市,2024,10,16,新竹,2.053231,2.042,0.22905473,0.23,28.882725,28.817,26.49745,26.704,18.172073,18.208,10.2935915,10.292,8.13975,8.25,26.428,26.786,28.667
新竹市,2024,10,17,新竹,1.8764293,1.868,0.2933306,0.293,16.913286,16.967,17.245857,17.241,21.207752,21.043,12.819123,12.8,11.068876,11.043,35.938,35.854,35.208
新竹市,2024,10,18,新竹,1.5494702,1.558,0.26878,0.269,22.902306,22.992,25.885242,25.896,27.636728,27.5,10.102772,10.062,10.4318285,10.542,33.87,34.227,37.292
新竹市,2024,10,19,新竹,0.8942349,0.888,0.2421459,0.243,39.09564,39.362,38.950294,39.25,17.615414,17.583,4.7025456,4.817,4.8919606,4.917,17.615,17.583,35.875
新竹市,2024,10,20,新竹,1.3787374,1.383,0.2420086,0.244,35.465294,35.663,33.740635,33.825,17.422234,17.458,8.700186,8.675,5.42259,5.5,17.606,17.857,32.375
新竹市,2024,10,21,新竹,1.3801119,1.387,0.2278786,0.229,35.21918,35.538,38.175896,38.383,20.241232,20.292,7.2072377,7.221,6.690119,6.75,21.721,21.916,32.625
新竹市,2024,10,22,新竹,1.2916031,1.288,0.33932027,0.34,36.902687,37.167,36.862957,37.017,18.359646,18.458,7.298737,7.296,7.9334564,8.042,25.758,26.11,34.208
新竹市,2024,10,23,新竹,1.2128104,1.221,0.18068631,0.181,39.83102,40.117,38.980976,39.233,6.907957,6.833,6.228339,6.237,3.160803,3.208,10.381,10.416,36.667
新竹市,2024,10,24,新竹,1.6054288,1.605,0.29035142,0.29,32.817425,33.079,29.232424,29.223,16.711252,16.783,10.369163,10.405,5.0765324,5.13,17.282,17.342,33.833
新竹市,2024,10,25,新竹,1.5846415,1.429,0.39814246,0.397,17.429329,17.517,19.912863,19.783,42.137314,42.542,14.576771,14.633,17.032663,17.125,54.774,55.001,52.458
新竹市,2024,10,26,新竹,1.1384659,1.133,0.24937288,0.25,26.167738,26.354,26.17069,26.054,36.251675,36.583,8.008343,8.046,12.863994,12.875,41.766,41.802,47.417
新竹市,2024,10,27,新竹,1.0202842,1.025,0.19724542,0.198,37.6928,37.829,40.46415,40.846,18.370258,18.458,6.4082627,6.358,5.3386784,5.458,18.37,18.458,34.583
新竹市,2024,10,28,新竹,1.271449,1.283,0.27715775,0.277,44.44058,44.996,45.15221,45.254,22.487085,22.652,7.918452,7.888,10.7290125,10.87,34.834,35.292,41.458
新竹市,2024,10,29,新竹,1.5716581,1.571,0.20344298,0.205,41.382618,41.587,39.43167,39.792,12.012689,12.0,7.6910853,7.675,5.362207,5.458,17.41,17.721,38.083
新竹市,2024,10,30,新竹,1.6977243,1.688,0.14938496,0.148,32.800167,32.812,30.582693,30.65,7.1115685,6.375,4.0887604,3.583,1.1475102,1.652,7.112,6.375,29.875
新竹市,2024,10,31,新竹,1.1942692,1.222,0.28202805,0.283,24.347626,24.446,23.421997,23.53,11.2807665,11.333,9.009177,9.0,4.9153943,5.042,15.959,16.37,23.917
新竹市,2024,11,1,新竹,1.4301542,1.436,0.295668,0.297,27.454163,27.692,30.157255,30.209,11.988297,12.087,9.461831,9.445,4.876853,5.0,15.834,16.234,26.583
新竹市,2024,11,2,新竹,1.6105789,1.613,0.2987109,0.299,45.07578,45.283,45.856396,46.242,30.634892,30.75,7.1101804,7.112,14.317167,14.417,46.484,46.808,44.125
新竹市,2024,11,3,新竹,1.5755553,1.583,0.23795599,0.238,36.86745,37.238,37.356266,37.508,23.212955,23.292,8.972045,8.933,8.160378,8.25,26.495,26.786,36.708
新竹市,2024,11,4,新竹,0.8947021,0.886,0.21724378,0.219,45.9107,46.032,46.4267,46.855,25.998428,26.087,6.3996434,6.379,10.399106,10.435,33.763,33.88,41.167
新竹市,2024,11,5,新竹,1.7558916,1.754,0.187811,0.187,43.107357,43.383,41.942944,42.267,25.997541,26.083,6.989891,6.958,7.442336,7.458,25.998,26.083,39.875
新竹市,2024,11,6,新竹,1.1205124,1.13,0.18115254,0.181,40.634468,40.917,41.000687,41.3,14.837198,14.739,5.645361,5.648,4.04948,4.174,14.837,14.739,37.375
新竹市,2024,11,7,新竹,1.6411979,1.629,0.19379883,0.195,40.377834,40.592,39.425426,39.542,11.028389,11.042,7.205302,7.233,4.2982554,4.25,13.955,13.799,37.083
