county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
新竹縣,2024,10,1,湖口,0.65838873,0.658,0.1444389,0.145,38.325058,38.225,40.78425,40.696,22.355783,22.25,2.545913,2.575,8.1050205,8.125,26.315,26.38,38.625
新竹縣,2024,10,2,湖口,0.61624426,0.612,0.17515962,0.175,45.500736,45.467,45.373505,45.2,12.072896,12.042,3.0924213,3.104,4.3953905,4.417,14.271,14.341,41.958
新竹縣,2024,10,3,湖口,0.40376213,0.4,0.18383777,0.184,47.019238,46.858,46.965267,46.871,11.931008,11.75,2.584258,2.629,4.5996532,4.583,14.934,14.88,43.0
新竹縣,2024,10,4,湖口,0.75624466,0.758,0.2042359,0.204,34.301476,34.4,30.995035,31.088,18.393179,18.292,7.4257007,7.421,8.128357,8.167,26.391,26.516,31.833
新竹縣,2024,10,5,湖口,0.38328332,0.388,0.2301335,0.23,21.138945,21.083,19.06197,19.179,19.953293,19.958,6.8641844,6.888,9.677119,9.652,31.419,31.338,34.375
新竹縣,2024,10,6,湖口,0.20165218,0.214,0.16030136,0.16,15.521827,15.496,17.70268,17.791,11.602609,11.522,6.780569,6.773,5.2555685,5.261,17.064,17.081,20.625
新竹縣,2024,10,7,湖口,0.41529974,0.417,0.18500474,0.185,41.79916,41.725,44.886055,44.904,10.144493,10.125,4.9930573,5.017,5.498901,5.542,17.854,17.994,38.167
新竹縣,2024,10,8,湖口,1.3183569,1.312,0.2202157,0.22,44.943584,44.896,44.374157,44.4,22.126543,22.083,7.024001,7.004,9.492156,9.458,30.819,30.708,41.167
新竹縣,2024,10,9,湖口,1.2229964,1.212,0.20705122,0.207,54.787674,54.958,56.089176,55.95,25.807606,25.75,4.819178,4.842,11.809399,11.833,38.342,38.419,54.958
新竹縣,2024,10,10,湖口,1.5982814,1.588,0.2202139,0.22,57.716923,57.408,56.183304,56.296,27.210386,27.125,5.6643395,5.675,11.30326,11.25,36.699,36.526,58.792
新竹縣,2024,10,11,湖口,1.2753519,1.283,0.19501798,0.195,46.238693,46.083,44.099846,44.142,18.182999,18.167,5.712931,5.708,6.7016606,6.75,21.759,21.916,42.333
新竹縣,2024,10,12,湖口,1.3479019,1.354,0.22347604,0.224,34.337234,34.329,32.56428,32.421,16.272078,16.208,6.314277,6.296,11.005641,11.042,35.733,35.851,35.042
新竹縣,2024,10,13,湖口,1.0527499,1.058,0.26044977,0.261,31.130814,31.021,32.20015,32.054,25.248343,25.125,10.2371435,10.246,12.195863,12.13,39.597,39.383,46.667
新竹縣,2024,10,14,湖口,0.40444514,0.404,0.24002537,0.24,30.11044,29.95,30.386244,30.375,24.278841,24.125,9.137796,9.096,12.237286,12.25,39.731,39.773,42.167
新竹縣,2024,10,15,湖口,0.69222313,0.696,0.17197824,0.172,29.002432,28.892,27.868992,27.812,17.374077,17.333,6.855616,6.821,7.583064,7.625,24.62,24.756,27.583
新竹縣,2024,10,16,湖口,1.1237003,1.133,0.20092127,0.201,26.059622,26.005,24.564154,24.525,21.840017,21.783,8.788192,8.825,11.805208,11.739,38.329,38.114,37.083
新竹縣,2024,10,17,湖口,0.90079546,0.9,0.2357009,0.236,20.471449,20.467,20.503592,20.645,22.993065,22.826,10.447077,10.377,14.71807,14.652,47.786,47.571,46.333
新竹縣,2024,10,18,湖口,0.91330683,0.917,0.25426382,0.254,22.410812,22.4,25.144545,25.104,25.251657,25.042,9.752768,9.654,15.366956,15.333,49.893,49.782,49.5
新竹縣,2024,10,19,湖口,0.51861966,0.512,0.20258814,0.203,40.644047,40.521,40.498528,40.388,18.719604,18.625,3.3883245,3.383,7.9097366,7.958,25.681,25.838,36.958
新竹縣,2024,10,20,湖口,0.7186611,0.721,0.20020717,0.2,37.382454,37.462,36.233074,36.254,16.6551,16.667,6.543318,6.517,7.5015907,7.542,24.356,24.487,34.0
新竹縣,2024,10,21,湖口,0.7002093,0.704,0.19272354,0.193,38.364914,38.329,41.33629,41.275,21.58566,21.583,4.8526726,4.867,9.64283,9.625,31.308,31.25,34.917
新竹縣,2024,10,22,湖口,0.7481126,0.75,0.32843608,0.328,39.60302,39.621,38.740597,38.675,21.26084,21.208,5.720533,5.712,12.031274,12.083,39.063,39.231,41.75
新竹縣,2024,10,23,湖口,0.52000123,0.522,0.16491047,0.165,42.64483,42.525,41.616524,41.629,12.323743,12.417,4.5483437,4.542,5.044855,5.125,16.379,16.64,39.125
新竹縣,2024,10,24,湖口,1.05216,1.05,0.22593826,0.227,33.16874,33.158,28.860329,28.841,14.096976,14.0,9.755906,9.722,7.2662535,7.304,23.592,23.714,36.333
新竹縣,2024,10,25,湖口,0.52474725,0.529,0.3335301,0.335,18.570147,18.683,21.51433,21.488,39.288795,39.375,13.800927,13.833,20.214916,20.208,62.61,62.593,58.875
新竹縣,2024,10,26,湖口,0.6601452,0.662,0.225256,0.226,24.954144,24.887,25.132662,25.15,27.079275,26.958,6.1595817,6.138,14.067644,14.0,45.674,45.455,51.25
新竹縣,2024,10,27,湖口,0.30836928,0.287,0.18680818,0.187,39.126858,39.138,42.166336,42.017,17.373297,17.25,4.817907,4.808,7.181902,7.25,23.318,23.539,35.875
新竹縣,2024,10,28,湖口,0.31537005,0.309,0.2110724,0.211,46.817314,46.596,47.251472,47.125,25.599634,25.435,5.4822865,5.479,13.888121,13.913,45.091,45.172,44.542
新竹縣,2024,10,29,湖口,1.1235119,1.125,0.18681736,0.187,44.0422,43.908,41.90463,41.867,14.434943,14.375,5.2258997,5.237,9.14313,9.125,29.685,29.627,40.083
新竹縣,2024,10,30,湖口,0.3067791,0.313,0.15146397,0.152,34.209618,34.104,32.55692,32.392,8.069416,7.739,2.333453,2.348,2.4770393,2.478,8.069,8.045,31.083
新竹縣,2024,10,31,湖口,0.95158464,0.963,0.2352297,0.236,26.34229,26.35,26.199896,26.088,10.149792,10.042,5.471795,5.504,6.158403,6.25,19.995,20.292,24.75
新竹縣,2024,11,1,湖口,1.2960107,1.296,0.24325956,0.243,29.782295,29.829,32.236763,32.321,15.579843,15.542,7.281646,7.258,6.9155226,6.958,22.453,22.591,27.458
新竹縣,2024,11,2,湖口,1.0710348,1.075,0.24459769,0.245,47.881775,47.775,48.290672,48.317,34.165485,33.958,5.857917,5.867,17.008244,16.917,54.714,54.489,51.125
新竹縣,2024,11,3,湖口,0.9560284,0.963,0.19209939,0.192,41.507088,41.375,41.048607,40.896,22.71369,22.542,6.9456625,6.933,9.76063,9.75,31.69,31.656,38.667
新竹縣,2024,11,4,湖口,1.0708463,1.071,0.2070249,0.207,46.55294,46.542,47.85835,47.892,29.056234,28.958,5.172499,5.179,13.219603,13.208,42.921,42.883,43.333
新竹縣,2024,11,5,湖口,0.6189049,0.612,0.1768234,0.176,44.884567,44.812,44.126774,44.021,28.636646,28.667,4.893654,4.883,11.094275,11.083,36.02,35.984,41.208
新竹縣,2024,11,6,湖口,0.98627794,0.986,0.18380022,0.184,41.188587,41.2,40.792618,40.752,17.962812,17.87,5.274212,5.276,5.5119557,5.565,17.963,18.068,37.708
新竹縣,2024,11,7,湖口,0.8170603,0.821,0.15869915,0.159,40.883522,40.725,40.22039,40.288,11.90203,11.708,4.8203964,4.838,5.870618,5.875,19.06,19.075,37.25
新竹縣,2024,11,8,湖口,0.36293614,0.361,0.12975416,0.129,36.705723,36.592,35.52174,35.508,4.716098,4.75,4.0903325,4.117,1.7421756,1.875,6.817,6.862,33.083
新竹縣,2024,11,9,湖口,0.7371146,0.742,0.16054775,0.16,32.38856,32.492,32.720215,32.675,14.697903,14.667,5.5477214,5.571,6.2463074,6.318,20.28,20.513,30.708
新竹縣,2024,11,10,湖口,0.47499362,0.475,0.14153084,0.141,33.13194,33.108,32.721592,32.792,12.936963,12.917,6.306055,6.317,4.9095063,4.917,15.94,15.964,30.708
新竹縣,2024,11,11,湖口,0.27064896,0.267,0.15364508,0.154,30.937733,30.904,31.499083,31.483,8.499056,8.391,6.1069136,6.088,3.884413,4.0,12.612,12.987,28.458
新竹縣,2024,11,12,湖口,0.7270694,0.725,0.18997136,0.19,29.335785,29.262,25.150879,25.179,10.924573,10.875,7.6598167,7.621,5.8814936,5.917,19.096,19.211,27.708
新竹縣,2024,11,13,湖口,0.7008183,0.7,0.32318622,0.324,26.645714,26.725,31.414549,31.342,36.800644,36.458,12.288873,12.262,27.084473,27.125,79.525,79.624,69.75
新竹縣,2024,11,14,湖口,0.8902238,0.896,0.3010566,0.302,29.092434,29.113,27.13226,27.129,40.233837,40.25,12.851197,12.821,33.519867,33.13,95.371,94.411,97.958
