county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
澎湖縣,2024,10,1,馬公,1.6569003,1.688,0.15768175,0.159,46.13717,46.146,47.833794,47.825,34.35685,34.542,1.2159072,1.204,11.283531,11.292,36.635,36.662,43.375
澎湖縣,2024,10,2,馬公,0.9488415,0.946,0.14007299,0.141,50.825603,51.012,50.495144,50.542,21.751589,22.043,1.0869354,1.042,7.967123,8.083,25.867,26.244,46.583
澎湖縣,2024,10,3,馬公,0.94768786,0.946,0.15412979,0.155,50.183968,50.133,50.181423,50.296,11.140899,11.13,1.360528,1.336,2.1421885,2.043,11.141,11.13,45.708
澎湖縣,2024,10,4,馬公,1.2744544,1.283,0.15097995,0.152,48.265312,48.254,47.786667,47.888,11.759398,12.0,2.6749809,2.65,4.582702,4.625,14.879,15.016,44.25
澎湖縣,2024,10,5,馬公,1.2682253,1.275,0.1299488,0.131,37.290665,37.575,35.51822,35.779,18.41645,18.458,3.0498679,3.042,6.0298758,6.042,19.578,19.617,34.5
澎湖縣,2024,10,6,馬公,1.3780235,1.383,0.107069746,0.107,29.069351,29.054,29.79091,30.212,14.085626,14.25,2.4476748,2.433,4.8909116,4.857,15.88,15.769,26.5
澎湖縣,2024,10,7,馬公,1.271888,1.291,0.16836108,0.17,48.576164,48.579,51.34615,51.486,12.769816,12.913,2.0187767,1.991,5.0795336,5.091,16.492,16.529,45.417
澎湖縣,2024,10,8,馬公,1.0467807,1.05,0.18819964,0.19,55.20054,55.108,54.78504,54.808,21.03851,21.083,1.897566,1.875,8.983893,9.042,29.168,29.357,52.833
澎湖縣,2024,10,9,馬公,1.5897522,1.621,0.20201233,0.203,64.6094,64.562,66.94687,67.279,20.01332,20.167,2.47838,2.454,12.046495,12.125,39.112,39.367,80.417
澎湖縣,2024,10,10,馬公,1.6778334,1.708,0.20471415,0.206,68.67879,69.071,67.29246,67.433,21.338547,21.708,1.5244099,1.483,10.293686,10.375,33.421,33.685,94.833
澎湖縣,2024,10,11,馬公,1.2720692,1.267,0.13699925,0.138,57.4408,57.312,54.839367,54.742,16.816097,17.042,1.372788,1.354,6.1969175,6.208,20.12,20.156,58.625
澎湖縣,2024,10,12,馬公,1.112417,1.113,0.13898078,0.14,44.861385,45.05,44.13922,44.367,18.707644,18.875,1.8104134,1.783,8.645502,8.625,28.07,28.003,41.542
澎湖縣,2024,10,13,馬公,1.1788692,1.179,0.15414722,0.155,41.66438,42.125,42.710613,42.733,22.15155,22.333,2.3151946,2.279,10.902314,10.958,35.397,35.578,42.042
澎湖縣,2024,10,14,馬公,1.3794243,1.404,0.13698183,0.138,44.426773,44.521,43.631786,43.892,17.880138,18.0,2.125637,2.121,6.8682456,6.833,22.299,22.185,40.667
澎湖縣,2024,10,15,馬公,1.7874206,1.826,0.1300043,0.131,38.725983,39.392,38.03999,38.308,18.41994,18.391,2.0207582,2.0,7.489068,7.478,24.315,24.279,35.833
澎湖縣,2024,10,16,馬公,1.1507806,1.162,0.14601243,0.147,40.14758,40.729,40.698524,40.854,23.315882,23.458,2.1263294,2.108,10.851424,10.833,35.232,35.172,37.833
澎湖縣,2024,10,17,馬公,1.2407168,1.242,0.1389871,0.14,34.191986,34.558,35.47915,35.421,19.6626,19.792,3.1316733,3.121,9.902232,9.917,32.15,32.198,33.375
澎湖縣,2024,10,18,馬公,1.2734605,1.296,0.13382176,0.135,38.003147,38.058,37.997833,37.879,16.829334,17.0,2.4434738,2.421,9.182652,9.167,29.814,29.763,34.75
澎湖縣,2024,10,19,馬公,1.8099306,1.833,0.18621811,0.187,44.913357,44.988,45.65869,45.846,24.608784,24.833,1.5855578,1.554,9.520106,9.667,30.909,31.386,41.667
澎湖縣,2024,10,20,馬公,1.481421,1.504,0.18202764,0.183,47.91406,47.992,47.795555,48.012,23.771244,23.917,2.1719365,2.138,7.5054245,7.583,24.368,24.62,44.125
澎湖縣,2024,10,21,馬公,1.5372429,1.571,0.16504964,0.166,47.12595,47.167,48.853996,49.083,21.789207,22.042,1.5228381,1.496,8.433547,8.417,27.382,27.328,43.625
澎湖縣,2024,10,22,馬公,1.2996584,1.325,0.26774406,0.268,48.87553,48.729,48.136852,48.218,33.90007,34.043,2.4495773,2.425,15.331818,15.318,49.779,49.734,50.833
澎湖縣,2024,10,23,馬公,1.9456056,1.983,0.1501158,0.151,49.58211,49.75,48.467445,48.85,27.061192,27.167,1.5015055,1.442,10.693796,10.708,34.72,34.766,45.75
澎湖縣,2024,10,24,馬公,1.0468949,1.054,0.1181493,0.119,45.675938,45.846,44.87454,45.133,22.45508,22.792,1.8808664,1.85,9.6888275,9.792,31.457,31.792,42.333
澎湖縣,2024,10,25,馬公,0.78610706,0.792,0.14401951,0.145,33.650887,34.129,32.606247,33.042,18.43361,18.542,3.289444,3.283,7.1791196,7.208,23.309,23.403,31.125
澎湖縣,2024,10,26,馬公,1.538745,1.567,0.12492326,0.126,31.596367,31.621,31.673056,32.075,23.295355,23.417,3.2896228,3.267,9.463896,9.458,30.727,30.708,32.958
澎湖縣,2024,10,27,馬公,1.4550345,1.479,0.14300212,0.144,43.24021,43.317,45.699223,45.612,18.424376,18.524,1.9204156,1.9,7.169727,7.208,23.278,23.403,39.5
澎湖縣,2024,10,28,馬公,1.3536288,1.375,0.22488393,0.227,55.136837,55.163,55.705204,55.892,21.760004,21.833,2.4441366,2.413,14.243454,14.333,46.245,46.536,52.458
澎湖縣,2024,10,29,馬公,1.088864,1.104,0.12332007,0.125,52.375565,52.45,50.415455,50.392,45.141872,45.174,1.5242733,1.504,11.070705,11.217,45.142,45.174,52.25
澎湖縣,2024,10,30,馬公,1.5107956,1.525,0.11025585,0.111,40.03698,40.517,38.63807,38.888,61.71419,61.208,0.6802968,0.535,21.608831,21.625,66.042,66.082,59.458
澎湖縣,2024,10,31,馬公,1.7531885,1.788,0.22215602,0.222,39.43696,39.888,43.198967,43.342,27.097492,27.292,4.4539733,4.162,11.578733,11.583,37.593,37.607,46.375
澎湖縣,2024,11,1,馬公,1.2427728,1.262,0.20762637,0.209,44.059887,44.171,43.164658,43.329,16.105467,16.292,3.0530386,3.046,5.1959767,5.25,16.87,17.045,40.583
