county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
苗栗縣,2024,10,1,三義,0.57848793,0.592,0.1722348,0.173,30.084368,30.233,32.755135,32.658,15.8075,16.0,2.7928314,2.804,6.1127787,6.208,19.847,20.156,31.167
苗栗縣,2024,10,2,三義,0.5841536,0.625,0.15867296,0.16,40.224537,40.329,40.377502,40.471,6.7451715,6.75,1.7452098,1.725,2.0976446,2.208,6.811,7.169,36.833
苗栗縣,2024,10,3,三義,0.8122476,0.812,0.18336469,0.184,38.896713,39.017,38.193565,38.258,2.6127799,2.708,3.5707939,3.612,1.701267,0.958,5.951,6.02,35.5
苗栗縣,2024,10,4,三義,0.8533281,0.854,0.16429016,0.165,34.116665,34.229,32.881187,32.967,10.707636,10.957,2.655678,2.712,5.225325,5.25,16.965,17.045,31.167
苗栗縣,2024,10,5,三義,1.2204138,1.229,0.17883667,0.18,27.898012,27.854,27.535059,27.525,17.736832,17.875,2.5410035,2.542,8.150858,8.25,26.464,26.786,30.0
苗栗縣,2024,10,6,三義,1.1130868,1.121,0.18374705,0.185,20.63012,20.75,19.6222,19.712,17.252472,17.25,3.9965882,4.038,8.7935095,8.958,28.55,29.084,30.833
苗栗縣,2024,10,7,三義,0.8568859,0.87,0.15860483,0.16,28.56179,28.704,32.43955,32.335,6.1486506,6.391,3.668406,3.745,2.136735,2.391,6.937,7.763,26.667
苗栗縣,2024,10,8,三義,1.1994092,1.2,0.2037196,0.205,45.218983,45.3,44.692207,44.492,12.13252,12.292,3.0067556,3.021,5.5285664,5.625,17.95,18.263,41.5
苗栗縣,2024,10,9,三義,1.1981655,1.204,0.21431379,0.215,47.106174,47.413,48.767185,48.608,20.418972,20.5,3.7427952,3.771,8.937309,9.042,29.017,29.357,44.625
苗栗縣,2024,10,10,三義,1.0662034,1.074,0.19179486,0.193,46.108982,45.875,45.6603,45.648,16.38753,16.565,2.4209387,2.487,9.887,10.0,32.101,32.468,42.875
苗栗縣,2024,10,11,三義,0.9109563,0.913,0.20570332,0.207,42.265797,42.246,39.051804,39.104,17.245966,17.333,4.7024474,4.761,10.531862,10.583,34.194,34.36,39.5
苗栗縣,2024,10,12,三義,1.1971089,1.208,0.23900168,0.241,32.799118,32.767,31.970984,32.092,17.24688,17.375,6.0037513,6.054,9.865696,9.917,32.031,32.198,36.792
苗栗縣,2024,10,13,三義,1.1221132,1.129,0.22977763,0.232,35.568333,35.675,36.032864,36.096,24.66654,24.792,6.1674294,6.229,13.529775,13.625,43.928,44.237,47.625
苗栗縣,2024,10,14,三義,0.9796727,0.991,0.22990558,0.232,38.89468,38.904,37.650654,37.661,27.926712,28.0,6.016077,6.068,15.959553,16.043,52.132,52.337,54.792
苗栗縣,2024,10,15,三義,0.89015144,0.89,0.2002117,0.202,27.881355,27.854,28.156685,28.308,23.478777,23.625,6.0933394,6.163,12.522903,12.625,40.659,40.99,46.042
苗栗縣,2024,10,16,三義,0.66148424,0.654,0.19116172,0.192,31.808678,31.8,29.783073,29.914,26.442154,26.708,5.4108777,5.483,13.218199,13.333,42.916,43.289,39.042
苗栗縣,2024,10,17,三義,0.80763936,0.821,0.27224588,0.274,31.504053,31.421,31.482828,31.438,39.876534,40.125,7.22923,7.308,23.42833,23.542,70.522,70.802,70.625
苗栗縣,2024,10,18,三義,0.4105493,0.433,0.23264831,0.235,34.376213,34.413,35.743004,35.758,27.89132,28.083,4.849476,4.912,17.926003,17.958,56.974,57.052,58.417
苗栗縣,2024,10,19,三義,1.0638189,1.08,0.22651057,0.228,38.03449,37.992,38.497093,38.546,8.486957,8.625,3.1063118,3.167,4.057783,4.125,13.175,13.393,35.208
苗栗縣,2024,10,20,三義,0.5960131,0.596,0.19922496,0.2,35.54083,35.529,33.987137,33.962,16.984463,17.167,4.4747663,4.546,7.125786,7.208,23.136,23.403,32.75
苗栗縣,2024,10,21,三義,0.4503757,0.162,0.20378663,0.205,21.034946,21.146,22.953142,23.143,17.693148,17.826,5.5911007,5.674,6.9259257,6.957,22.487,22.588,28.667
苗栗縣,2024,10,22,三義,0.8090944,0.818,0.27351016,0.276,39.742435,39.921,40.88548,40.975,21.948313,22.208,2.6483574,2.712,4.8252707,4.958,21.948,22.208,36.708
苗栗縣,2024,10,23,三義,0.73420835,0.746,0.14855896,0.149,43.683777,43.821,42.367107,42.492,9.719458,9.792,1.9981899,1.95,1.5947362,1.0,9.719,9.792,40.25
苗栗縣,2024,10,24,三義,0.7302412,0.754,0.1624359,0.163,37.260403,37.438,36.259865,36.25,11.896537,12.083,4.071575,4.117,6.481418,6.542,21.044,21.24,35.833
苗栗縣,2024,10,25,三義,1.7587981,1.75,0.25584477,0.258,29.699114,29.833,29.072638,29.142,33.811134,34.083,6.6492786,6.688,16.591677,16.542,53.688,53.566,50.375
苗栗縣,2024,10,26,三義,0.71006215,0.704,0.20010059,0.201,23.29528,23.483,22.772749,22.938,20.402681,20.667,4.1183143,4.183,11.175211,11.25,36.283,36.526,40.167
苗栗縣,2024,10,27,三義,0.4358983,0.342,0.16551511,0.167,32.13172,32.233,35.19279,35.083,10.25573,10.417,4.8545856,4.888,3.7778552,3.833,12.266,12.445,30.208
苗栗縣,2024,10,28,三義,0.58970684,0.53,0.22732177,0.23,42.246708,42.375,43.603268,43.643,13.618273,13.826,4.583466,4.622,7.3537493,7.435,23.876,24.14,38.875
苗栗縣,2024,10,29,三義,0.9359719,0.945,0.14865366,0.15,45.164433,45.371,43.086113,42.971,6.124395,6.25,2.4108787,2.512,3.8019013,3.875,12.344,12.581,41.583
苗栗縣,2024,10,30,三義,0.60364413,0.617,0.13037735,0.131,29.763964,29.858,28.591846,28.688,3.9231791,3.958,1.3663665,1.017,1.9511184,1.333,6.335,4.328,27.208
苗栗縣,2024,10,31,三義,0.61305845,0.604,0.22480512,0.226,32.840656,32.842,33.444042,33.508,11.730204,11.958,2.9673417,3.1,7.667236,7.75,24.894,25.162,31.583
苗栗縣,2024,11,1,三義,0.9602778,0.967,0.21485037,0.216,30.775358,30.671,30.13955,30.2,9.889046,10.0,2.6512415,2.654,4.684911,4.75,15.211,15.422,29.25
苗栗縣,2024,11,2,三義,0.8876933,0.888,0.24347246,0.246,35.545143,35.558,37.121464,37.163,23.147669,23.5,2.5306659,2.575,12.162223,12.292,39.488,39.909,36.583
苗栗縣,2024,11,3,三義,1.2432007,1.25,0.19519673,0.196,36.998272,37.104,37.636196,37.583,21.324005,21.417,3.0079608,3.071,9.71815,9.833,31.552,31.925,39.667
苗栗縣,2024,11,4,三義,1.0734596,1.083,0.18072574,0.182,45.26042,45.196,46.38256,46.596,17.2729,17.417,3.3903008,3.454,8.6254,8.75,28.005,28.409,41.417
苗栗縣,2024,11,5,三義,1.2525474,1.261,0.14292854,0.143,47.132313,46.992,46.42415,46.445,16.224379,16.348,2.2135174,2.287,7.2514863,7.348,23.544,23.857,43.167
苗栗縣,2024,11,6,三義,0.83721274,0.846,0.13762963,0.139,43.008568,43.05,41.842087,41.733,6.8205843,7.083,2.3833869,2.5,3.5181978,3.583,11.423,11.633,39.5
苗栗縣,2024,11,7,三義,1.3290445,1.341,0.15776917,0.159,37.28826,37.308,36.78514,36.827,7.8477464,8.042,3.3955636,3.427,4.678865,4.75,15.191,15.422,34.042
苗栗縣,2024,11,8,三義,0.967793,0.979,0.17638609,0.177,27.866837,27.933,26.977558,26.988,8.526378,8.75,4.760077,4.833,7.548867,7.625,24.509,24.756,27.333
苗栗縣,2024,11,9,三義,0.729241,0.742,0.17077905,0.172,23.27905,23.471,23.35524,23.517,8.7093,8.833,2.9941633,3.092,6.553264,6.667,21.277,21.646,23.292
苗栗縣,2024,11,10,三義,1.0646422,1.079,0.16207638,0.163,30.831413,30.738,30.797836,30.758,10.488417,10.542,4.345531,4.392,5.520319,5.5,17.923,17.857,27.917
苗栗縣,2024,11,11,三義,0.5969395,0.633,0.17215802,0.174,20.195591,20.262,18.37011,18.404,7.8858376,7.917,4.580757,4.638,5.514943,5.625,17.906,18.263,20.5
