county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
連江縣,2024,10,1,馬祖,0.3306373,0.421,0.18183124,0.183,42.43147,42.529,44.32241,44.438,16.553215,16.417,2.8209786,2.808,7.5632415,7.583,24.556,24.62,38.917
連江縣,2024,10,2,馬祖,0.53973943,0.646,0.17856987,0.18,52.271603,52.321,52.422894,52.5,24.620861,24.292,2.8753963,2.883,11.558684,11.583,37.528,37.607,47.833
連江縣,2024,10,3,馬祖,0.56497115,0.671,0.15247646,0.154,49.055378,49.033,47.492992,47.204,16.31109,16.043,2.8223345,2.829,6.935918,7.0,22.519,22.727,44.75
連江縣,2024,10,4,馬祖,0.4083275,0.504,0.18112363,0.183,37.607357,37.408,36.105507,36.271,12.080514,11.583,3.6088881,3.612,4.0724373,4.167,13.222,13.529,33.958
連江縣,2024,10,5,馬祖,0.32496125,0.412,0.17815645,0.18,29.15726,28.983,30.730125,30.579,16.618095,16.375,4.0663695,4.121,7.0295734,7.125,22.823,23.133,26.917
連江縣,2024,10,6,馬祖,0.6213086,0.717,0.20265384,0.205,42.968513,42.771,43.248352,43.108,19.335327,19.083,3.8403132,3.867,8.375504,8.417,27.193,27.328,39.708
連江縣,2024,10,7,馬祖,0.1497829,0.226,0.20257941,0.204,48.158478,48.146,48.400475,48.482,13.81382,13.609,3.13937,3.143,4.705117,4.696,15.276,15.247,44.208
連江縣,2024,10,8,馬祖,0.7130335,0.8,0.2646773,0.266,53.352623,53.683,55.849598,55.817,34.682392,34.792,4.401532,4.442,18.28758,18.333,57.864,57.976,61.167
連江縣,2024,10,9,馬祖,0.7985694,0.883,0.2557614,0.255,64.02609,64.508,66.21154,66.396,38.074635,38.208,4.0843825,4.112,22.232649,22.083,67.578,67.209,85.458
連江縣,2024,10,10,馬祖,1.1995349,1.25,0.3041667,0.304,83.61947,87.908,83.887764,88.304,47.786263,48.333,4.9471006,4.933,28.416294,28.625,82.804,83.318,153.833
