county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
金門縣,2024,10,1,金門,1.0055697,1.0,0.18960829,0.19,34.904984,34.933,37.19722,37.217,13.338573,13.333,4.6908016,4.708,2.8239136,2.958,13.339,13.333,31.792
金門縣,2024,10,2,金門,1.4178321,1.4,0.20378086,0.204,41.707447,41.442,41.533123,41.667,17.306032,17.375,5.5359716,5.529,5.5172215,5.583,17.913,18.127,37.958
金門縣,2024,10,3,金門,1.2806245,1.275,0.20782252,0.21,40.31698,40.233,39.17757,38.933,16.1167,16.13,6.846017,6.891,5.8335924,6.0,18.94,19.481,36.75
金門縣,2024,10,4,金門,1.32933,1.313,0.23656395,0.238,39.39276,39.512,39.663998,39.638,20.787443,20.75,7.4527717,7.438,9.564885,9.542,31.055,30.981,40.333
金門縣,2024,10,5,金門,0.9409542,0.912,0.21525878,0.213,30.863575,30.688,29.955421,30.004,14.0122385,14.0,7.096769,7.062,6.6864185,6.833,21.709,22.185,34.917
金門縣,2024,10,6,金門,0.9110687,0.862,0.19353473,0.194,26.72096,26.654,28.98655,28.771,20.27204,20.125,7.844914,7.85,9.561135,9.667,31.043,31.386,35.417
金門縣,2024,10,7,金門,0.9072441,0.886,0.22742796,0.231,44.692337,44.708,45.09225,45.043,9.847638,9.696,5.41903,5.432,3.5983481,3.696,11.683,12.0,40.917
金門縣,2024,10,8,金門,1.7199852,1.717,0.31371668,0.312,53.5188,53.762,55.250957,55.354,27.038816,26.958,6.3716254,6.338,15.805321,15.708,51.752,51.512,58.25
金門縣,2024,10,9,金門,1.6549808,1.642,0.36896694,0.37,61.661095,61.929,63.581276,63.238,38.341896,38.375,7.386144,7.375,23.984243,23.875,71.891,71.622,81.417
金門縣,2024,10,10,金門,1.6749301,1.662,0.3402675,0.341,76.938446,78.013,78.31727,80.1,48.4156,48.25,8.887322,8.854,24.790054,24.833,73.875,73.981,121.792
金門縣,2024,10,11,金門,1.1437656,1.117,0.25529915,0.255,67.89587,68.804,64.05773,64.046,40.47349,40.375,7.3839126,7.383,18.943901,18.875,59.48,59.31,94.625
金門縣,2024,10,12,金門,1.1471237,1.137,0.21258909,0.212,45.89853,45.925,43.56106,43.762,32.06736,31.875,7.5223484,7.538,14.704006,14.708,47.74,47.753,50.875
金門縣,2024,10,13,金門,1.3818917,1.358,0.20117375,0.203,35.84083,35.742,35.643135,35.871,33.12105,33.083,8.625304,8.575,18.12188,18.083,57.456,57.36,57.792
