county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
雲林縣,2024,10,1,崙背,1.031818,1.033,0.18067668,0.181,30.16008,30.154,32.336475,32.442,88.840866,89.625,3.880346,3.933,14.051519,14.167,89.064,89.832,66.833
雲林縣,2024,10,2,崙背,0.96728307,0.988,0.18938962,0.191,39.927765,40.075,39.965282,40.046,122.42361,125.958,3.071828,3.1,16.25718,16.417,107.861,108.993,104.583
雲林縣,2024,10,3,崙背,0.8103582,0.838,0.18263033,0.185,40.003174,40.071,39.520077,39.6,21.664972,21.87,3.6602597,3.712,6.7609696,6.87,21.951,22.305,41.167
雲林縣,2024,10,4,崙背,0.42343056,0.508,0.17567317,0.176,36.095375,36.296,35.382767,35.458,26.722464,27.125,3.5718255,3.579,8.502412,8.625,27.605,28.003,33.333
雲林縣,2024,10,5,崙背,1.2830756,1.296,0.16508764,0.166,33.446262,33.383,33.29852,33.225,30.55032,30.625,3.5719485,3.596,15.247824,15.292,49.506,49.649,47.625
雲林縣,2024,10,6,崙背,1.5219285,1.529,0.20057519,0.202,26.728436,26.746,26.577383,26.442,26.355787,26.875,5.7719774,5.829,14.091948,14.167,45.753,45.997,47.042
雲林縣,2024,10,7,崙背,1.5715423,1.579,0.218285,0.22,30.593739,30.55,32.39262,32.454,32.799843,33.333,6.6492767,6.717,9.810865,10.042,32.8,33.333,35.958
雲林縣,2024,10,8,崙背,1.3686539,1.386,0.2851476,0.287,43.2014,43.233,41.563675,41.717,36.52973,36.87,7.116805,7.217,13.301764,13.478,43.188,43.76,44.458
雲林縣,2024,10,9,崙背,1.2852441,1.292,0.24363282,0.245,47.177067,47.112,49.067577,49.242,43.413727,43.583,5.7787905,5.825,16.22181,16.333,52.777,53.051,57.417
雲林縣,2024,10,10,崙背,1.8513238,1.867,0.2724061,0.275,47.65346,47.908,46.66143,46.962,41.910473,42.042,7.0240154,7.108,18.702667,18.792,58.886,59.106,60.875
雲林縣,2024,10,11,崙背,1.7818359,1.792,0.26534915,0.268,43.832817,44.0,42.620995,42.75,39.48657,39.833,5.9319324,5.992,17.6346,17.75,56.256,56.54,62.958
雲林縣,2024,10,12,崙背,1.1820506,1.2,0.24827053,0.251,32.56366,32.654,31.743845,31.775,41.850266,41.87,6.1566715,6.229,19.679476,19.826,61.291,61.652,59.542
雲林縣,2024,10,13,崙背,1.4240488,1.433,0.20612894,0.209,33.49595,33.571,34.4755,34.492,44.831,44.792,5.776302,5.808,23.247917,23.375,70.078,70.391,71.333
雲林縣,2024,10,14,崙背,1.2230132,1.236,0.18283182,0.185,35.55356,35.5,34.840603,34.996,38.687504,39.083,4.129833,4.162,17.624949,17.75,56.232,56.54,56.542
雲林縣,2024,10,15,崙背,0.8092333,0.835,0.20170362,0.204,31.942526,32.017,30.411419,30.504,44.13181,44.125,5.4479194,5.475,18.473076,18.667,58.321,58.798,57.083
雲林縣,2024,10,16,崙背,2.0506346,2.062,0.2519565,0.254,33.878235,33.954,34.83183,35.025,47.126583,47.458,6.9202824,6.971,24.589478,24.792,73.381,73.88,70.292
雲林縣,2024,10,17,崙背,1.3692689,1.387,0.21714999,0.219,33.21087,33.125,32.675945,32.742,48.503494,48.875,5.092236,5.129,24.948378,25.125,74.265,74.7,76.917
雲林縣,2024,10,18,崙背,1.4509927,1.454,0.22979835,0.232,31.164837,31.142,31.030523,31.042,49.14457,49.208,5.855793,5.892,25.312397,25.375,75.161,75.315,75.708
