county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI,next_aqi
高雄市,2024,10,1,仁武,0.72576284,0.729,0.13390873,0.134,28.66576,28.679,30.238987,30.375,6.656943,5.833,4.3373966,4.312,3.2342815,3.333,10.501,10.821,26.0
高雄市,2024,10,2,仁武,0.77633065,0.775,0.18806143,0.189,37.556103,37.712,33.515003,33.669,6.265989,4.062,5.50017,5.587,1.0650975,1.438,9.167,9.312,26.667
高雄市,2024,10,3,仁武,1.4370003,1.45,0.28629923,0.288,31.735907,31.909,33.02347,33.079,21.546015,21.667,9.400605,9.429,9.405286,9.417,30.537,30.575,31.083
高雄市,2024,10,4,仁武,0.7977038,0.809,0.31247428,0.313,30.181627,30.304,31.86998,31.958,28.832413,28.75,10.144039,10.15,16.42271,16.458,53.272,53.359,48.625
高雄市,2024,10,5,仁武,1.2940907,1.306,0.23800841,0.238,32.67162,32.796,30.769978,30.867,24.64165,24.75,7.296264,7.343,13.713979,13.75,44.526,44.643,48.792
高雄市,2024,10,6,仁武,0.94266146,0.946,0.21999756,0.221,26.42105,26.529,26.671434,26.733,19.616411,19.792,8.338576,8.358,11.040494,11.042,35.846,35.851,35.875
高雄市,2024,10,7,仁武,1.6340772,1.641,0.27993456,0.281,31.246187,31.262,31.773102,31.771,25.748081,25.913,10.941421,10.962,12.363067,12.435,40.14,40.373,41.542
高雄市,2024,10,8,仁武,1.2709403,1.283,0.33022827,0.331,39.643417,39.788,40.38714,40.479,33.82264,33.875,10.941251,10.929,17.536354,17.5,56.014,55.925,57.0
高雄市,2024,10,9,仁武,1.7429427,1.754,0.33935055,0.34,39.014114,39.108,41.50788,41.638,46.74395,46.75,12.656751,12.612,22.64206,22.792,68.586,68.955,68.583
高雄市,2024,10,10,仁武,1.7266645,1.729,0.41915983,0.42,44.16022,44.304,41.27938,41.439,49.73539,49.792,15.763681,15.739,29.029596,29.042,84.314,84.345,84.917
高雄市,2024,10,11,仁武,2.1501205,2.158,0.41009247,0.412,53.50294,53.862,55.891747,57.046,47.523537,47.542,9.4201765,9.414,27.75856,27.792,81.184,81.267,100.167
高雄市,2024,10,12,仁武,1.8071036,1.812,0.37527514,0.377,54.237995,54.383,52.166447,52.092,43.72891,43.75,7.389105,7.404,26.65007,26.833,78.455,78.905,89.583
高雄市,2024,10,13,仁武,2.0286226,2.033,0.3399101,0.341,39.407917,39.6,38.638863,38.762,42.79567,42.783,11.289143,11.268,26.898056,26.957,79.066,79.211,77.667
高雄市,2024,10,14,仁武,0.7954226,0.812,0.31518346,0.316,37.133453,37.129,38.07219,38.158,45.690353,45.833,12.13294,12.121,26.662563,26.75,78.486,78.701,79.375
高雄市,2024,10,15,仁武,1.176924,1.192,0.28364792,0.285,38.533844,38.654,40.045773,40.075,38.59767,38.583,10.231205,10.246,23.903929,23.875,71.693,71.622,71.167
高雄市,2024,10,16,仁武,2.188704,2.196,0.2883538,0.289,43.89059,44.083,44.31686,44.642,39.3684,39.542,10.230783,10.258,22.484299,22.5,68.198,68.236,67.417
高雄市,2024,10,17,仁武,1.0635054,1.067,0.29202607,0.294,42.2165,42.171,38.05992,38.283,40.943626,40.958,11.674522,11.65,22.965904,23.083,69.383,69.672,68.417
高雄市,2024,10,18,仁武,1.6661756,1.675,0.3395272,0.341,38.21426,38.425,39.1992,39.279,51.276596,51.417,12.93766,12.942,32.020615,32.167,91.679,92.039,91.917
高雄市,2024,10,19,仁武,1.6111015,1.621,0.2900429,0.292,35.386322,35.408,35.672504,35.75,41.449394,41.667,10.139129,10.133,22.078142,22.167,67.197,67.416,69.667
高雄市,2024,10,20,仁武,2.8601475,2.865,0.36193946,0.363,30.389072,30.412,28.854027,28.9,45.703674,45.696,14.731967,14.774,20.853487,20.913,64.182,64.328,64.917
高雄市,2024,10,21,仁武,1.4709656,1.483,0.36488166,0.366,35.62072,35.729,33.810257,33.875,57.708008,58.042,15.895438,15.871,25.53604,25.625,75.712,75.931,74.458
高雄市,2024,10,22,仁武,1.6411858,1.646,0.37793517,0.379,33.937794,34.058,34.211037,34.267,53.184776,53.208,15.465103,15.417,21.574532,21.625,65.957,66.082,68.083
高雄市,2024,10,23,仁武,2.3027756,2.317,0.34503403,0.346,31.24162,31.367,30.66713,30.721,36.587723,36.75,16.622696,16.604,14.006691,14.125,45.476,45.86,50.875
高雄市,2024,10,24,仁武,1.5671164,1.571,0.3508693,0.352,25.586342,25.729,25.720089,25.767,39.169693,39.083,17.980896,17.962,16.8534,17.042,54.332,54.797,49.958
高雄市,2024,10,25,仁武,0.7468397,0.762,0.28144622,0.282,25.592752,25.721,26.09248,26.2,44.143883,44.0,13.538841,13.567,22.074446,22.208,67.188,67.517,69.708
高雄市,2024,10,26,仁武,0.37823737,0.346,0.22397271,0.224,26.94953,27.029,27.167313,27.342,18.87044,18.958,6.6667924,6.679,12.641653,12.708,41.044,41.26,44.083
高雄市,2024,10,27,仁武,1.4919662,1.504,0.26223284,0.263,23.417429,23.446,22.071257,22.154,16.154932,16.333,10.191471,10.221,10.897254,10.875,35.381,35.308,33.167
高雄市,2024,10,28,仁武,2.5711184,2.579,0.3319936,0.333,27.889462,28.054,29.845999,29.979,45.90087,45.958,15.718119,15.721,21.57197,21.542,65.951,65.877,62.875
高雄市,2024,10,29,仁武,2.7124817,2.724,0.39439404,0.395,34.336754,34.4,33.705067,33.779,43.03901,43.217,16.229122,16.239,21.56898,21.609,65.944,66.042,69.083
