county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
南投縣,2024,10,1,南投,0.43475786,0.529,0.21650459,0.216,22.316835,22.387,24.816973,24.821,23.501108,23.417,6.1700196,6.104,9.448567,9.292,30.677,30.169
南投縣,2024,10,2,南投,0.88903964,0.946,0.19691391,0.196,32.977726,33.075,33.523243,33.583,12.242353,12.375,4.015096,3.946,5.5304503,5.542,17.956,17.994
南投縣,2024,10,3,南投,0.46712995,0.55,0.2565794,0.256,36.01059,36.158,35.12445,35.021,11.27052,11.375,8.892905,8.958,4.81602,4.792,15.636,15.558
南投縣,2024,10,4,南投,0.35090694,0.442,0.21107517,0.211,33.450054,33.633,33.714275,33.771,19.338377,19.292,8.09008,8.058,8.411076,8.417,27.309,27.328
南投縣,2024,10,5,南投,0.83658475,0.904,0.16973354,0.168,28.717997,28.621,29.412514,29.433,21.425264,21.458,3.4224925,3.321,10.727226,10.667,34.829,34.633
南投縣,2024,10,6,南投,0.20175919,0.296,0.20201607,0.201,28.748701,28.9,28.446012,28.367,25.251818,25.167,6.0814323,6.046,12.097853,12.083,39.279,39.231
南投縣,2024,10,7,南投,1.0933168,1.154,0.21885568,0.218,32.47197,32.554,32.745613,32.879,16.10993,16.25,8.488758,8.442,8.285063,8.167,26.9,26.516
南投縣,2024,10,8,南投,0.8702321,0.926,0.28956193,0.289,34.89071,35.054,34.6728,34.652,21.404325,21.391,12.279966,12.174,8.9830885,8.913,29.166,28.938
南投縣,2024,10,9,南投,1.1511025,1.2,0.2571524,0.255,39.271126,39.296,40.651012,40.646,26.57912,26.565,9.249387,9.27,12.774913,12.696,41.477,41.221
南投縣,2024,10,10,南投,1.7313012,1.725,0.31563592,0.314,42.156345,42.125,41.821537,41.825,31.49312,31.583,11.209349,11.188,16.147146,16.125,52.593,52.539
南投縣,2024,10,11,南投,0.9381176,1.0,0.33152065,0.331,42.175316,42.083,41.412262,41.392,35.349705,35.333,8.767597,8.771,20.588661,20.625,63.53,63.619
南投縣,2024,10,12,南投,1.0369594,1.1,0.28967622,0.29,33.96169,33.908,33.28988,33.367,34.18493,34.125,6.104015,6.029,19.72447,19.667,61.402,61.26
南投縣,2024,10,13,南投,0.7164404,0.787,0.31569389,0.314,36.678825,36.679,37.14,37.138,36.446484,36.458,8.915136,8.825,21.092348,21.083,64.77,64.747
南投縣,2024,10,14,南投,1.180373,1.225,0.3643505,0.364,38.162884,38.188,37.88993,37.854,40.11437,39.917,9.922749,9.867,22.225288,22.083,67.56,67.209
南投縣,2024,10,15,南投,0.89168626,0.963,0.35991532,0.36,34.918713,35.071,33.54299,33.604,42.535465,42.565,10.700962,10.596,24.124563,24.043,72.236,72.036
南投縣,2024,10,16,南投,0.51460725,0.612,0.32282513,0.322,35.14233,35.129,37.547512,37.521,45.39543,45.167,9.236964,9.221,26.134752,26.25,77.186,77.47
南投縣,2024,10,17,南投,1.1228613,1.158,0.34797,0.347,40.743843,40.654,37.999912,38.033,49.44097,49.625,10.217448,10.129,27.212471,27.292,79.84,80.036
南投縣,2024,10,18,南投,0.9832244,1.05,0.36700588,0.366,31.631773,31.7,32.756607,32.871,40.738697,40.583,9.921063,9.938,25.164692,25.25,74.797,75.008
南投縣,2024,10,19,南投,0.90976644,0.979,0.30612415,0.305,35.33412,35.229,35.334328,35.379,22.360268,22.25,6.6525965,6.575,12.506046,12.458,40.604,40.448
南投縣,2024,10,20,南投,0.78365296,0.858,0.2926309,0.291,35.813416,35.875,35.312973,35.275,26.647436,26.625,10.939508,10.9,11.824688,11.75,38.392,38.149
南投縣,2024,10,21,南投,1.8530769,1.848,0.28894344,0.288,29.327902,29.275,29.100374,29.083,33.763004,33.826,9.390204,9.317,13.085969,13.174,42.487,42.773
南投縣,2024,10,22,南投,0.95712495,1.025,0.32191983,0.321,29.354475,29.238,30.086487,30.188,23.23253,23.13,10.220995,10.148,5.7610483,5.609,23.233,23.13
南投縣,2024,10,23,南投,0.7018261,0.779,0.27693754,0.277,28.44916,28.617,27.409986,27.479,19.015594,19.0,9.928525,9.825,4.7012305,4.542,19.016,19.0
南投縣,2024,10,24,南投,0.43426788,0.525,0.25070298,0.251,31.099024,31.233,29.23959,29.233,25.267553,25.333,10.371829,10.329,10.348707,10.25,33.6,33.279
南投縣,2024,10,25,南投,1.3655655,1.394,0.30078968,0.3,20.994728,20.921,20.53367,20.588,40.906662,40.958,9.927102,9.825,18.430676,18.5,58.216,58.387
南投縣,2024,10,26,南投,0.29274085,0.429,0.27598706,0.275,23.205389,23.196,23.636232,23.771,41.872707,41.667,8.755678,8.738,19.123346,19.0,59.922,59.618
南投縣,2024,10,27,南投,1.0089873,1.062,0.26610664,0.266,20.947525,20.925,22.493488,22.433,27.376911,27.375,11.547589,11.417,10.923855,11.0,35.467,35.714
南投縣,2024,10,28,南投,1.1174521,1.171,0.3121416,0.31,37.929253,37.896,37.99024,38.163,20.878214,20.833,9.858752,9.762,9.645905,9.583,31.318,31.114
南投縣,2024,10,29,南投,0.76265097,0.835,0.23773912,0.237,38.18652,38.154,36.472256,36.55,16.613142,16.609,10.246836,10.217,6.476046,6.435,21.026,20.893
南投縣,2024,10,30,南投,0.23009256,0.314,0.15811399,0.157,21.500362,21.567,21.242695,21.354,12.577835,12.458,5.0198827,5.033,2.779176,2.583,12.578,12.458
南投縣,2024,10,31,南投,0.7808438,0.852,0.2651325,0.264,31.596346,31.621,32.014347,32.117,22.699003,22.917,7.035354,7.0,11.611431,11.583,37.699,37.607
南投縣,2024,11,1,南投,1.0916698,1.142,0.36412436,0.364,28.73848,28.896,27.753883,27.675,25.935541,25.917,12.750872,12.654,13.335081,13.333,43.296,43.289
南投縣,2024,11,2,南投,0.74984485,0.821,0.33485872,0.334,26.457043,26.517,28.81242,28.975,30.956743,30.917,11.151709,11.046,16.046085,15.875,52.345,51.923
