county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
嘉義市,2024,10,1,嘉義,0.956252,0.959,0.19129153,0.192,24.493898,24.496,25.532642,25.546,25.851994,25.667,5.7252936,5.683,10.773391,10.792,34.979,35.039
嘉義市,2024,10,2,嘉義,1.094556,1.113,0.1770654,0.176,33.730312,33.667,34.09452,33.996,22.235586,22.125,4.6782174,4.688,6.3843713,6.375,22.236,22.125
嘉義市,2024,10,3,嘉義,1.9391769,1.938,0.22125988,0.217,36.238014,36.071,35.152542,35.079,16.81515,16.667,7.946329,7.921,6.5178647,6.583,21.162,21.373
嘉義市,2024,10,4,嘉義,1.5314338,1.533,0.19556478,0.196,32.58278,32.454,33.11556,33.108,26.635805,26.583,7.0470853,6.996,8.769399,8.833,28.472,28.679
嘉義市,2024,10,5,嘉義,1.6092329,1.617,0.15745698,0.156,30.848318,30.829,29.049551,28.917,27.108309,27.0,4.5089536,4.508,9.930756,9.875,32.243,32.062
嘉義市,2024,10,6,嘉義,1.307776,1.317,0.15779383,0.158,24.474344,24.421,25.489725,25.354,18.588572,18.583,4.7232466,4.75,5.873943,5.875,19.071,19.075
嘉義市,2024,10,7,嘉義,2.9473598,2.935,0.21521255,0.214,32.072144,32.021,32.819313,32.687,24.77394,24.696,8.359892,8.3,10.800882,10.783,35.068,35.01
嘉義市,2024,10,8,嘉義,4.2659197,4.217,0.31206572,0.31,36.214005,36.196,36.538933,36.342,36.04058,36.0,10.919207,10.875,16.168734,16.125,52.647,52.539
嘉義市,2024,10,9,嘉義,2.97289,2.967,0.28659934,0.285,41.182453,40.862,43.064014,43.092,36.732197,36.458,9.715364,9.725,17.9836,17.917,57.115,56.951
嘉義市,2024,10,10,嘉義,4.1376414,4.108,0.35294077,0.353,42.876476,42.779,41.5398,41.462,46.96879,47.083,12.108325,12.088,23.50672,23.542,70.715,70.802
嘉義市,2024,10,11,嘉義,3.502409,3.504,0.35144052,0.35,44.655415,44.421,44.02484,43.771,43.300014,43.625,9.5347595,9.558,25.032423,24.958,74.472,74.289
嘉義市,2024,10,12,嘉義,2.0825958,2.096,0.2918165,0.29,41.97601,41.775,41.796497,41.721,40.59252,40.333,6.1728516,6.125,22.296347,22.208,67.735,67.517
嘉義市,2024,10,13,嘉義,1.9541227,1.958,0.27290362,0.27,39.87459,39.692,40.39501,40.204,38.092937,37.957,6.576308,6.546,21.476393,21.435,65.716,65.614
嘉義市,2024,10,14,嘉義,2.0562506,2.054,0.27357754,0.271,37.89684,37.617,37.62935,37.538,40.72682,40.375,7.372772,7.333,23.892096,23.583,71.664,70.903
嘉義市,2024,10,15,嘉義,2.8711712,2.854,0.3182593,0.32,36.426884,36.262,33.106106,33.062,46.284565,46.458,8.625339,8.6,23.882639,23.833,71.641,71.518
嘉義市,2024,10,16,嘉義,2.0838604,2.071,0.30704072,0.303,34.989456,34.829,40.818233,40.612,46.269592,46.417,8.485273,8.421,25.111921,25.125,74.668,74.7
嘉義市,2024,10,17,嘉義,1.9316239,1.929,0.2867944,0.288,44.507954,44.433,39.964046,39.875,45.57796,45.25,6.767655,6.737,24.271975,24.417,72.599,72.956
嘉義市,2024,10,18,嘉義,2.3066332,2.292,0.2914856,0.292,32.649246,32.471,33.13616,32.946,44.2437,44.042,8.333348,8.308,27.051811,26.833,79.444,78.905
嘉義市,2024,10,19,嘉義,2.7327344,2.708,0.3245371,0.326,35.22698,35.2,35.857876,35.679,34.658157,34.458,7.3695965,7.25,17.533619,17.667,56.007,56.336
嘉義市,2024,10,20,嘉義,3.6808126,3.645,0.30682075,0.303,34.216366,34.104,32.51337,32.368,32.695576,32.783,9.056424,8.986,16.21835,16.261,52.769,52.874
嘉義市,2024,10,21,嘉義,2.1186287,2.117,0.32982457,0.328,31.18254,30.958,30.703623,30.5,50.526142,50.5,9.566996,9.55,21.031199,20.875,64.62,64.235
嘉義市,2024,10,22,嘉義,2.7671838,2.758,0.31872848,0.318,35.46415,35.337,36.737167,36.479,41.579117,41.542,8.782419,8.758,12.221722,12.042,41.579,41.542
嘉義市,2024,10,23,嘉義,2.271788,2.264,0.25297767,0.25,36.93203,36.712,35.401344,35.304,20.41805,20.458,8.497824,8.509,6.510071,6.5,21.137,21.104
嘉義市,2024,10,24,嘉義,1.300224,1.309,0.25277033,0.252,34.523838,34.504,33.3646,33.217,23.902136,23.917,9.529968,9.546,10.178557,10.208,33.047,33.143
嘉義市,2024,10,25,嘉義,1.9100548,1.9,0.21255006,0.213,26.600636,26.596,27.948606,27.912,46.377422,46.417,6.4124503,6.417,19.460838,19.667,60.753,61.26
嘉義市,2024,10,26,嘉義,1.9368037,1.938,0.23589522,0.235,28.90271,28.804,29.035572,28.825,49.243385,49.583,6.0897856,6.075,23.864916,23.583,71.597,70.903
嘉義市,2024,10,27,嘉義,1.0913192,1.096,0.24209,0.241,24.292782,24.371,24.549953,24.658,20.904932,20.826,8.209261,8.2,9.93397,9.826,32.253,31.903
嘉義市,2024,10,28,嘉義,1.7175426,1.717,0.3063205,0.304,35.233852,35.154,35.86404,35.812,28.888273,28.875,9.897929,9.971,15.743891,15.708,51.601,51.512
嘉義市,2024,10,29,嘉義,1.7014034,1.704,0.26858062,0.268,39.64489,39.35,38.20692,38.008,24.059004,24.208,9.70083,9.658,12.309299,12.417,39.965,40.315
嘉義市,2024,10,30,嘉義,1.0465535,1.046,0.15280305,0.152,24.033192,24.058,25.052795,24.908,15.481818,15.25,4.337911,4.229,4.9644847,5.083,16.118,16.503
嘉義市,2024,10,31,嘉義,1.4843333,1.483,0.24894147,0.248,38.096703,37.942,39.473904,39.337,22.830687,22.833,5.780038,5.796,14.087038,14.208,45.737,46.13
嘉義市,2024,11,1,嘉義,1.7865807,1.792,0.3652899,0.364,36.916405,36.692,35.6105,35.425,35.41243,35.625,9.052455,9.058,17.096907,17.167,54.932,55.105
嘉義市,2024,11,2,嘉義,2.335483,2.325,0.39400738,0.392,34.49095,34.292,35.87841,35.9,42.439194,42.25,7.9780016,7.996,20.517914,20.458,63.356,63.208
嘉義市,2024,11,3,嘉義,2.1192408,2.112,0.38546503,0.386,36.927948,36.671,34.668026,34.404,55.079624,54.875,10.66896,10.696,26.708149,26.667,78.598,78.497
嘉義市,2024,11,4,嘉義,2.1445463,2.135,0.31233072,0.311,26.01352,26.154,26.40616,26.448,39.056683,38.826,13.469431,13.478,17.563105,17.348,56.08,55.55
嘉義市,2024,11,5,嘉義,3.0475972,3.033,0.22985077,0.23,41.81236,41.325,41.53473,41.2,28.885792,29.0,8.909901,8.938,13.345315,13.417,43.329,43.562
嘉義市,2024,11,6,嘉義,3.8526657,3.846,0.2362027,0.236,36.203873,35.929,35.156315,35.046,32.179234,32.0,11.47046,11.367,12.962023,13.083,42.084,42.477
嘉義市,2024,11,7,嘉義,2.309505,2.292,0.28206167,0.282,26.906143,26.996,26.075647,26.05,28.012999,28.125,13.65975,13.562,13.7049055,13.708,44.496,44.506
嘉義市,2024,11,8,嘉義,5.692774,5.657,0.33587298,0.337,29.904411,29.758,30.04896,30.13,35.97834,36.167,11.42642,11.361,21.873268,22.083,66.693,67.209
嘉義市,2024,11,9,嘉義,4.463317,4.421,0.3166042,0.314,21.283792,21.233,21.49044,21.529,38.359802,38.333,9.9064,9.821,22.763872,22.5,68.886,68.236
嘉義市,2024,11,10,嘉義,4.9184933,4.871,0.32355347,0.325,23.391607,23.479,21.868536,21.881,39.091072,39.043,12.71629,12.75,19.448,19.478,60.721,60.795
嘉義市,2024,11,11,嘉義,3.0509338,3.054,0.3776202,0.375,14.504259,14.583,13.362639,13.567,46.348034,46.13,16.885628,16.858,21.9065,21.739,66.775,66.362
嘉義市,2024,11,12,嘉義,1.7856665,1.792,0.28165773,0.279,23.631859,23.608,27.26169,27.204,52.599483,52.417,7.974406,7.925,25.865692,25.833,76.524,76.443
嘉義市,2024,11,13,嘉義,3.881982,3.85,0.32975927,0.327,29.586327,29.621,27.507421,27.475,74.11902,74.208,12.318537,12.275,36.398,36.25,103.328,102.944
嘉義市,2024,11,14,嘉義,3.6228359,3.596,0.38625103,0.386,16.517157,16.658,14.088491,14.271,79.571846,79.167,13.974118,14.021,46.67586,46.25,129.974,128.87
嘉義市,2024,11,15,嘉義,2.0320857,2.043,0.26043484,0.257,15.672646,15.688,17.449633,17.567,44.904755,44.917,8.398717,8.254,23.503239,23.375,70.706,70.391
嘉義市,2024,11,16,嘉義,3.8484354,3.817,0.20755845,0.207,22.031282,22.142,22.666513,22.683,28.478945,28.583,7.1639714,7.108,12.318448,12.333,39.995,40.042
嘉義市,2024,11,17,嘉義,3.0067124,2.983,0.26007786,0.259,23.40349,23.458,22.857569,22.887,25.861242,25.783,10.6974125,10.704,11.4169445,11.391,37.068,36.984
嘉義市,2024,11,18,嘉義,5.96386,5.896,0.2960948,0.296,17.698551,17.85,16.945854,17.038,26.29862,26.292,14.878096,14.812,12.9775305,12.875,42.135,41.802
嘉義市,2024,11,19,嘉義,3.6523542,3.629,0.28613237,0.288,20.790045,20.854,21.713305,21.825,27.795568,27.583,13.102487,13.125,15.273765,15.375,49.59,49.919
嘉義市,2024,11,20,嘉義,2.034679,2.033,0.2682201,0.267,24.288937,24.308,24.311031,24.221,26.285656,26.083,11.43379,11.45,13.012728,13.0,42.249,42.208
嘉義市,2024,11,21,嘉義,4.4542785,4.4,0.30600002,0.304,26.610622,26.483,27.506632,27.479,26.286,26.458,12.514837,12.546,12.301265,12.333,39.939,40.042
嘉義市,2024,11,22,嘉義,3.5639057,3.542,0.34189618,0.34,32.355583,32.142,32.04925,31.683,38.88795,38.833,12.916435,12.921,22.321287,22.304,67.796,67.754
嘉義市,2024,11,23,嘉義,6.73106,6.478,0.33609438,0.336,28.208475,28.142,28.651848,28.535,42.414276,42.0,10.904117,10.822,23.0583,23.13,69.611,69.787
嘉義市,2024,11,24,嘉義,3.2149131,3.188,0.31236503,0.312,24.74372,24.721,25.533346,25.613,48.480305,48.455,11.160407,11.112,23.171564,22.957,69.89,69.361
嘉義市,2024,11,25,嘉義,3.5947485,3.554,0.29178673,0.291,28.573261,28.637,27.93699,27.858,43.305695,43.0,9.392049,9.438,14.49192,14.458,47.052,46.942
嘉義市,2024,11,26,嘉義,3.1166096,3.108,0.29657266,0.296,33.160473,32.942,34.642357,34.558,45.0457,45.167,12.136254,11.971,17.497356,17.583,55.918,56.129
嘉義市,2024,11,27,嘉義,2.4042768,2.404,0.27761394,0.275,35.235218,35.05,36.300045,36.121,38.98826,39.167,13.467989,13.433,15.737072,15.583,51.584,51.204
嘉義市,2024,11,28,嘉義,2.768379,2.771,0.30129546,0.301,44.672146,44.379,43.08929,42.767,45.570625,45.708,13.088526,13.171,19.782944,19.75,61.546,61.465
