county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
基隆市,2024,10,1,基隆,0.35753608,0.35,0.14789715,0.146,37.639503,37.696,40.81516,40.675,19.906626,19.95,1.5479953,1.265,3.2945476,3.15,19.907,19.95
基隆市,2024,10,2,基隆,0.4667995,0.456,0.34736407,0.346,11.327953,11.433,8.806287,7.867,11.137995,11.0,17.020523,17.0,3.5860965,3.3,28.368,28.333
基隆市,2024,10,4,基隆,0.6784534,0.675,0.24107267,0.24,7.777863,7.646,7.9495344,8.582,11.221629,10.958,9.198741,9.208,2.9595191,2.625,15.331,15.347
基隆市,2024,10,5,基隆,1.3236918,1.336,0.1603519,0.159,13.126123,13.117,12.598504,12.421,12.37575,12.208,3.9275424,3.952,2.0777538,1.875,12.376,12.208
基隆市,2024,10,6,基隆,0.85292906,0.855,0.15373999,0.153,15.25173,15.475,20.858442,20.858,9.772032,9.5,4.3683763,4.339,1.3071699,1.125,9.772,9.5
基隆市,2024,10,7,基隆,0.549237,0.548,0.19600257,0.195,45.556694,45.411,46.95206,46.915,17.119295,17.136,2.348754,2.276,3.9876218,3.952,17.119,17.136
基隆市,2024,10,8,基隆,0.827374,0.833,0.21631865,0.215,50.65216,50.504,50.71329,50.592,25.188034,25.292,3.4919047,3.471,7.225476,7.167,25.188,25.292
基隆市,2024,10,9,基隆,1.1127539,1.113,0.21321927,0.213,55.99546,55.808,56.137875,56.488,21.208302,21.167,2.8712103,2.846,7.725017,7.708,25.081,25.026
基隆市,2024,10,10,基隆,1.1481767,1.154,0.22410083,0.223,57.476154,57.312,56.333447,56.467,22.5196,22.583,3.9002538,3.858,8.973919,9.0,29.136,29.221
基隆市,2024,10,11,基隆,1.2237873,1.226,0.24590236,0.245,34.53622,34.638,31.70094,31.674,14.969398,14.792,6.7640567,6.7,4.2280006,4.167,14.969,14.792
基隆市,2024,10,12,基隆,1.1116816,1.121,0.22122513,0.22,25.849922,25.854,24.947124,25.104,16.800137,16.625,4.968955,4.929,7.003933,7.0,22.74,22.727
基隆市,2024,10,13,基隆,0.8763444,0.886,0.22123046,0.221,23.13486,23.067,23.782093,23.842,14.635564,14.364,5.704524,5.662,4.8623085,4.783,15.787,15.529
基隆市,2024,10,14,基隆,0.9318234,0.939,0.19730079,0.196,29.156641,29.283,29.809443,29.804,14.9486065,14.792,4.971654,4.968,4.2004023,4.0,14.949,14.792
基隆市,2024,10,15,基隆,0.86615,0.858,0.16385232,0.164,31.009216,30.792,30.786028,30.942,17.993673,17.917,3.9425147,3.883,4.8585806,4.792,17.994,17.917
基隆市,2024,10,16,基隆,1.0181246,1.017,0.18636285,0.186,28.403416,28.596,26.58434,26.542,20.70868,20.833,4.971846,4.9,7.1160674,7.125,23.104,23.133
基隆市,2024,10,17,基隆,0.90353173,0.904,0.2462793,0.245,16.48229,16.617,15.053022,15.029,13.595799,13.458,7.53835,7.562,2.8659022,2.625,13.596,13.458
基隆市,2024,10,18,基隆,0.7802403,0.787,0.2113792,0.211,17.952688,18.0,23.51246,23.504,15.856216,15.667,3.9429014,3.929,3.8990161,3.833,15.856,15.667
基隆市,2024,10,19,基隆,0.85286784,0.854,0.20781595,0.207,45.261047,45.333,45.394493,45.35,26.537888,26.833,1.791213,1.518,6.2435145,6.167,26.538,26.833
基隆市,2024,10,20,基隆,0.74889785,0.755,0.21649456,0.216,41.35305,41.2,40.20622,40.191,18.638508,18.458,3.9405935,3.843,3.2653134,3.167,18.639,18.458
基隆市,2024,10,21,基隆,0.79414666,0.791,0.22122566,0.22,41.075447,41.158,43.51253,43.518,24.194439,24.261,3.6487417,3.57,5.9743814,5.957,24.194,24.261
基隆市,2024,10,22,基隆,0.74747974,0.754,0.31463912,0.315,43.63154,43.629,43.482063,43.404,35.747757,36.083,3.162823,3.142,12.477254,12.542,40.511,40.721
基隆市,2024,10,23,基隆,0.7916145,0.792,0.15243548,0.152,46.631138,46.621,45.68676,45.567,17.54453,17.542,1.8092268,1.579,4.451117,4.25,17.545,17.542
基隆市,2024,10,24,基隆,0.80372125,0.8,0.13185246,0.129,34.01908,34.129,30.581438,30.579,11.698121,11.417,2.7594533,2.567,0.7717204,1.304,11.698,11.417
