county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
屏東縣,2024,10,1,屏東,0.4262989,0.433,0.14511134,0.145,27.515236,27.512,28.2342,28.212,4.232235,4.208,3.2622898,3.258,0.2794968,0.542,5.437,5.43
屏東縣,2024,10,2,屏東,0.4442425,0.45,0.14313863,0.144,32.174118,32.271,33.43429,33.475,5.0976,5.042,3.160527,3.117,0.7824923,0.722,5.268,5.195
屏東縣,2024,10,3,屏東,0.82537436,0.821,0.2696559,0.267,34.55285,34.504,33.69082,33.7,19.180092,19.042,7.340415,7.223,4.862068,4.833,19.18,19.042
屏東縣,2024,10,4,屏東,0.8126542,0.817,0.34233996,0.34,31.165905,31.3,29.983232,30.046,25.480003,25.208,7.805387,7.758,10.45983,10.375,33.96,33.685
屏東縣,2024,10,5,屏東,1.007359,1.008,0.29345652,0.293,24.682152,24.646,24.705687,24.758,19.544283,19.375,5.328425,5.237,7.67296,7.625,24.912,24.756
屏東縣,2024,10,6,屏東,0.97422385,0.975,0.2502051,0.248,23.085773,23.137,23.087366,23.046,17.804207,17.583,7.4450803,7.388,3.4147775,3.375,17.804,17.583
屏東縣,2024,10,7,屏東,0.88254386,0.883,0.28113812,0.278,28.281477,28.475,28.688887,28.942,21.018208,20.833,7.192137,7.122,7.6587963,7.5,24.866,24.351
屏東縣,2024,10,8,屏東,0.8673236,0.87,0.37266552,0.37,29.88418,29.962,29.421854,29.322,23.057388,22.826,9.196655,9.105,9.424956,9.348,30.601,30.351
屏東縣,2024,10,9,屏東,1.1253221,1.125,0.36958352,0.368,35.07409,35.108,38.733738,38.842,34.934643,34.417,7.9860153,7.896,14.5380535,14.375,47.201,46.672
屏東縣,2024,10,10,屏東,1.7312344,1.721,0.48964855,0.49,47.509827,47.617,44.581116,44.692,55.65416,54.958,12.023992,11.912,27.80034,27.333,81.287,80.137
