county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
臺北市,2024,10,1,中山,0.8016908,0.85,0.18788047,0.189,29.827991,29.804,34.882572,34.933,14.437897,14.583,5.5431495,5.487,6.507389,6.625,21.128,21.51
臺北市,2024,10,2,中山,0.42877403,0.5,0.17743368,0.177,42.94579,42.754,42.68518,42.946,6.8732667,6.75,3.9185157,3.933,3.2896247,3.292,10.681,10.688
臺北市,2024,10,3,中山,0.4980557,0.567,0.4590084,0.46,29.514488,29.55,24.094873,24.108,11.00788,11.083,19.021868,19.108,6.161809,6.25,31.703,31.847
臺北市,2024,10,4,中山,0.5968226,0.646,0.44660175,0.446,9.906454,9.787,10.02363,9.95,15.584606,15.708,17.64961,17.712,7.8292103,7.875,29.416,29.52
臺北市,2024,10,5,中山,0.80213016,0.846,0.18804088,0.188,10.933472,11.017,10.7375345,11.046,11.70554,11.667,8.036641,7.95,5.599388,5.708,18.18,18.532
臺北市,2024,10,6,中山,0.5433904,0.6,0.24985296,0.251,11.114626,11.108,13.929428,13.864,11.717354,11.696,11.163658,11.223,6.6086926,6.652,21.457,21.597
臺北市,2024,10,7,中山,0.49060398,0.55,0.32399103,0.325,31.222054,31.225,33.27627,33.358,12.438793,12.375,15.08392,15.092,7.394302,7.5,25.14,25.153
臺北市,2024,10,8,中山,0.59857154,0.646,0.37605262,0.377,33.603577,33.604,32.293175,32.358,25.18029,25.25,18.026924,18.038,11.611076,11.708,37.698,38.013
臺北市,2024,10,9,中山,0.66616863,0.729,0.30394337,0.304,41.911903,41.892,43.001694,43.225,26.15205,26.292,13.509679,13.545,12.786246,12.833,41.514,41.666
臺北市,2024,10,10,中山,0.73597664,0.795,0.371857,0.372,43.78884,43.829,42.72726,42.808,31.198078,31.375,17.910015,17.946,12.866372,12.913,41.774,41.925
臺北市,2024,10,11,中山,0.65936327,0.717,0.27019304,0.272,35.951923,36.083,35.221947,35.346,21.700891,21.833,12.292732,12.262,8.212141,8.25,26.663,26.786
臺北市,2024,10,12,中山,0.39042115,0.462,0.23263864,0.233,28.75581,28.738,28.08825,28.092,22.980904,23.083,8.641563,8.596,9.959246,10.042,32.335,32.604
臺北市,2024,10,13,中山,0.43266714,0.492,0.28143343,0.282,25.816801,25.904,24.510023,24.554,19.76802,19.833,12.316631,12.354,7.9095387,7.958,25.68,25.838
臺北市,2024,10,14,中山,0.761479,0.812,0.27597097,0.277,20.612219,20.658,21.63908,21.775,18.751743,18.833,12.320006,12.312,7.267582,7.333,23.596,23.808
臺北市,2024,10,15,中山,0.806019,0.854,0.3009206,0.301,20.771435,20.829,20.451488,20.508,19.030067,19.167,13.621358,13.604,7.9075694,7.958,25.674,25.838
臺北市,2024,10,16,中山,1.1136086,1.15,0.28407112,0.285,20.120867,20.158,18.913414,18.85,21.988035,22.043,12.734577,12.735,11.566284,11.652,37.553,37.831
臺北市,2024,10,17,中山,0.7294555,0.775,0.43258065,0.434,25.810738,25.854,25.974102,25.983,27.020308,27.125,18.985807,19.008,13.720026,13.75,44.546,44.643
臺北市,2024,10,18,中山,0.8961575,0.942,0.28230357,0.284,14.187968,14.329,17.711067,17.738,16.531473,16.5,10.930556,10.917,8.157879,8.208,26.487,26.649
臺北市,2024,10,19,中山,0.41082522,0.471,0.27405137,0.275,36.226864,36.208,36.21742,36.421,22.686926,22.75,7.250904,7.304,8.526926,8.625,27.685,28.003
臺北市,2024,10,20,中山,0.9497586,1.0,0.3079019,0.309,32.230286,32.175,30.673355,30.733,22.906385,22.917,11.52559,11.512,9.252584,9.292,30.041,30.169
臺北市,2024,10,21,中山,0.76734143,0.817,0.3169996,0.317,31.498468,31.492,33.285225,33.3,25.03395,25.174,11.536897,11.548,10.411059,10.478,33.802,34.019
臺北市,2024,10,22,中山,0.46730918,0.538,0.41491187,0.416,31.20866,31.25,31.396046,31.446,31.959606,32.042,13.082859,13.083,14.516578,14.625,47.132,47.484
臺北市,2024,10,23,中山,0.66352504,0.729,0.28420472,0.285,34.27117,34.183,33.241825,33.296,11.723572,11.708,11.165012,11.187,4.3668118,4.458,18.608,18.645
臺北市,2024,10,24,中山,0.43491068,0.5,0.26416767,0.265,26.54253,26.571,23.569809,23.554,11.168854,11.333,9.172331,9.123,3.7626026,4.0,15.287,15.205
臺北市,2024,10,25,中山,0.32882187,0.408,0.2473045,0.248,16.267202,16.308,16.197983,16.288,10.351963,10.458,9.303431,9.317,4.0459037,4.125,15.506,15.528
臺北市,2024,10,26,中山,0.49291357,0.554,0.21356514,0.213,19.666008,19.692,20.918203,21.004,16.58704,16.667,8.450446,8.392,4.9171352,5.0,16.587,16.667
臺北市,2024,10,27,中山,0.32826802,0.388,0.3001021,0.301,29.569504,29.662,31.608442,31.592,15.345909,15.458,14.014472,14.012,5.917358,6.042,23.357,23.353
臺北市,2024,10,28,中山,0.3604643,0.417,0.3688805,0.37,34.897373,34.792,35.873264,35.945,26.652678,26.696,15.526515,15.536,12.789453,12.87,41.524,41.786
臺北市,2024,10,29,中山,0.45478085,0.525,0.28697878,0.287,34.90195,34.892,33.576744,33.567,16.804998,16.875,12.740722,12.717,8.686543,8.75,28.203,28.409
臺北市,2024,10,30,中山,0.3262235,0.408,0.13893364,0.134,29.600866,29.588,30.671532,30.792,11.697229,11.625,2.8717084,1.863,4.3551273,4.417,14.14,14.341
臺北市,2024,10,31,中山,0.5645505,0.621,0.5694237,0.572,17.121275,17.121,13.421656,13.429,18.727901,18.833,18.685753,18.729,8.524971,8.583,31.143,31.215
臺北市,2024,11,1,中山,0.76437974,0.812,0.41361898,0.415,19.422352,19.412,22.14748,22.292,20.598429,20.75,17.047392,17.05,9.35197,9.417,30.364,30.575
臺北市,2024,11,2,中山,0.87882096,0.921,0.34031335,0.342,41.65443,41.746,41.84473,41.708,39.83187,40.042,11.66753,11.677,17.105518,17.208,54.953,55.206
臺北市,2024,11,3,中山,0.8479001,0.904,0.32500565,0.326,31.283785,31.3,30.878578,30.857,27.45414,27.565,14.55997,14.552,10.755951,10.87,34.922,35.292
臺北市,2024,11,4,中山,0.43208152,0.492,0.35003945,0.352,35.298916,35.425,37.07465,37.154,30.193972,30.125,14.817663,14.842,14.041723,14.125,45.59,45.86
臺北市,2024,11,5,中山,0.72201985,0.771,0.28628474,0.287,35.873417,35.904,34.88421,34.808,30.682177,30.792,16.677065,16.671,12.374067,12.5,40.176,40.584
臺北市,2024,11,6,中山,0.8464505,0.896,0.29506674,0.297,31.28046,31.321,30.875835,30.9,18.312754,18.5,15.530531,15.543,9.004592,9.083,29.236,29.49
臺北市,2024,11,7,中山,0.79049504,0.833,0.31321505,0.315,29.499062,29.529,28.22772,28.271,13.969202,14.042,14.445969,14.511,7.073065,7.125,24.077,24.185
臺北市,2024,11,8,中山,0.49137866,0.55,0.2768694,0.278,24.496271,24.458,24.78799,24.817,5.66271,5.375,13.1584015,13.219,3.292618,3.333,21.931,22.032
臺北市,2024,11,9,中山,0.41049933,0.467,0.24269073,0.244,27.014635,27.062,27.862131,27.896,8.391354,8.417,9.623894,9.671,5.711436,5.833,18.544,18.938
臺北市,2024,11,10,中山,0.46588963,0.54,0.27097765,0.271,27.988844,27.974,27.3375,27.337,12.046445,12.13,12.151206,12.145,5.1339216,5.217,20.252,20.242
臺北市,2024,11,11,中山,0.6036864,0.667,0.27826142,0.279,26.905575,26.904,27.674469,27.667,8.978256,8.875,12.743044,12.717,5.4676337,5.583,21.238,21.195
臺北市,2024,11,12,中山,0.6558096,0.7,0.27689976,0.278,25.495955,25.492,21.863415,21.954,9.915735,9.833,12.623284,12.65,5.2620807,5.333,21.039,21.083
臺北市,2024,11,13,中山,0.24840097,0.345,0.24914716,0.25,7.97296,7.974,8.017883,8.005,8.406042,8.55,9.312809,9.32,4.2079782,4.2,15.521,15.533
臺北市,2024,11,14,中山,0.9375117,0.987,0.65901977,0.654,16.919998,17.01,14.448198,14.575,43.811386,43.87,26.172749,26.317,32.175987,32.292,92.061,92.347
臺北市,2024,11,15,中山,0.46712807,0.536,0.34319484,0.345,9.508629,9.679,11.888691,11.896,16.173952,16.292,14.407057,14.429,10.26879,10.375,33.34,33.685
臺北市,2024,11,16,中山,0.5585468,0.62,0.21879235,0.218,23.878738,23.975,26.037762,26.129,8.654173,8.625,9.5839615,9.575,5.69169,5.792,18.48,18.805
臺北市,2024,11,17,中山,0.24790971,0.309,0.3038307,0.304,29.998777,30.117,29.146017,29.183,22.91439,22.917,13.668446,13.658,9.677163,9.75,31.419,31.656
臺北市,2024,11,18,中山,0.63476396,0.686,0.28415683,0.285,26.233677,26.275,26.95477,26.986,14.719997,14.696,14.758097,14.75,8.052836,8.13,26.146,26.396
臺北市,2024,11,19,中山,0.68783337,0.745,0.29503554,0.296,29.10717,29.142,29.138437,29.133,6.4234333,6.542,13.6166525,13.612,4.2170777,4.25,22.694,22.687
臺北市,2024,11,20,中山,0.7338327,0.792,0.33204818,0.333,27.80965,27.858,27.275234,27.321,5.0197945,5.125,15.170327,15.175,3.317171,3.417,25.284,25.292
