county,year,month,day,sitename,predicted_next_so2,actual_next_so2,predicted_next_co,actual_next_co,predicted_next_o3_8hr,actual_next_o3_8hr,predicted_next_o3,actual_next_o3,predicted_next_pm10,actual_next_pm10,predicted_next_no2,actual_next_no2,predicted_next_pm2.5,actual_next_pm2.5,predicted_AQI,actual_AQI
花蓮縣,2024,10,1,花蓮,0.9300759,0.95,0.15142456,0.152,27.688168,27.729,29.125877,29.133,9.316488,9.292,1.8097323,1.842,1.2320848,1.615,9.316,9.292
花蓮縣,2024,10,2,花蓮,1.3709995,1.346,0.2070045,0.208,30.487316,30.746,30.160997,30.254,8.518492,8.542,4.3052955,4.3,0.70941794,1.083,8.518,8.542
花蓮縣,2024,10,3,花蓮,1.0326169,1.054,0.2199884,0.22,25.014172,25.004,22.922806,22.904,13.375642,13.435,4.090035,4.083,2.4250996,2.286,13.376,13.435
花蓮縣,2024,10,4,花蓮,0.9029814,0.917,0.1994814,0.202,16.701664,16.546,16.800533,16.696,20.684307,20.708,3.7916617,3.792,3.0799887,3.167,20.684,20.708
花蓮縣,2024,10,5,花蓮,0.74400544,0.762,0.14891842,0.149,14.627827,14.492,14.338094,14.133,17.69086,17.875,2.927401,2.925,2.6675518,2.708,17.691,17.875
花蓮縣,2024,10,6,花蓮,0.74292964,0.758,0.14356999,0.143,13.364048,13.317,15.367255,15.179,16.766129,16.917,2.7758167,2.788,1.5006557,1.75,16.766,16.917
花蓮縣,2024,10,7,花蓮,1.0342436,1.042,0.20883174,0.21,27.994623,27.988,32.409023,32.413,17.874035,18.042,3.3369682,3.358,2.9930952,3.042,17.874,18.042
花蓮縣,2024,10,8,花蓮,1.7792635,1.742,0.2852022,0.287,46.229633,46.721,42.903996,43.329,21.815195,21.875,4.677403,4.692,4.5475945,4.625,21.815,21.875
花蓮縣,2024,10,9,花蓮,1.1609534,1.167,0.27177197,0.274,40.26241,40.817,41.835262,42.225,25.632725,25.958,4.736712,4.758,7.091722,7.167,25.633,25.958
花蓮縣,2024,10,10,花蓮,1.4053721,1.396,0.29871494,0.301,40.27052,40.492,40.266846,40.404,29.188957,29.478,5.6143227,5.643,9.396177,9.522,30.507,30.916
花蓮縣,2024,10,11,花蓮,0.80695,0.83,0.26889026,0.271,34.911068,34.896,31.704473,31.826,24.140493,24.458,5.364482,5.391,7.093327,7.167,24.14,24.458
花蓮縣,2024,10,12,花蓮,1.0381137,1.054,0.20696145,0.208,24.638325,24.688,24.281267,24.309,18.652575,18.917,3.3391142,3.337,6.1566467,6.208,19.989,20.156
花蓮縣,2024,10,13,花蓮,1.0352671,1.038,0.17536104,0.176,22.77537,22.788,23.330091,23.45,18.868103,19.083,2.751849,2.746,6.7766643,6.833,22.002,22.185
花蓮縣,2024,10,14,花蓮,1.3388176,1.312,0.19331942,0.194,23.684834,23.646,25.0087,24.867,17.48911,17.708,4.0785193,4.087,4.65616,4.708,17.489,17.708
花蓮縣,2024,10,15,花蓮,1.2017412,1.205,0.19755913,0.199,22.749151,22.696,21.847433,21.887,16.427887,16.565,3.5726216,3.583,3.9203537,4.045,16.428,16.565
花蓮縣,2024,10,16,花蓮,1.2058544,1.208,0.20204523,0.204,23.6622,23.596,23.98513,24.108,18.259495,18.458,3.929408,3.942,4.549724,4.625,18.259,18.458
花蓮縣,2024,10,17,花蓮,1.1037288,1.104,0.17155206,0.171,20.824945,20.717,18.544281,18.55,14.363149,14.583,2.8517222,2.867,4.2097983,4.25,14.363,14.583
花蓮縣,2024,10,18,花蓮,0.875265,0.888,0.15931742,0.159,17.018621,17.05,18.954157,18.829,15.467464,15.708,2.6565335,2.646,1.9894099,2.083,15.467,15.708
花蓮縣,2024,10,19,花蓮,0.5024416,0.542,0.22541328,0.228,28.75664,28.667,28.102398,28.175,11.05792,11.125,5.841332,5.838,1.0888106,1.208,11.058,11.125
花蓮縣,2024,10,20,花蓮,0.6417866,0.662,0.24058875,0.242,32.13573,32.125,32.289387,32.383,16.059664,16.208,4.8132205,4.833,2.552385,2.667,16.06,16.208
花蓮縣,2024,10,21,花蓮,0.96186006,0.965,0.2021687,0.203,25.708021,25.871,27.23363,27.218,22.09646,22.174,2.978848,2.986,4.659514,4.652,22.096,22.174
花蓮縣,2024,10,22,花蓮,1.0758365,1.078,0.29863867,0.301,37.827377,38.225,39.20974,39.357,21.817451,22.087,3.7991579,3.804,4.263624,4.348,21.817,22.087
花蓮縣,2024,10,23,花蓮,0.8507906,0.858,0.25963256,0.261,30.186333,30.429,28.10388,28.371,12.313633,12.458,5.7689624,5.821,0.716156,1.083,12.314,12.458
花蓮縣,2024,10,24,花蓮,0.92766833,0.938,0.16776958,0.168,26.4324,26.517,23.919312,23.962,13.226666,13.375,4.0346365,4.058,2.1979618,2.125,13.227,13.375
花蓮縣,2024,10,25,花蓮,2.027378,1.983,0.22012047,0.22,13.3135805,13.342,12.783538,12.671,14.061958,14.25,4.898862,4.958,2.9695544,3.042,14.062,14.25
花蓮縣,2024,10,26,花蓮,0.6417478,0.671,0.15924942,0.16,21.870152,22.021,24.29937,24.271,12.41722,12.583,3.653936,3.658,1.8349758,1.909,12.417,12.583
花蓮縣,2024,10,27,花蓮,1.2334477,1.229,0.1732243,0.174,32.475327,32.479,34.66387,35.288,14.735868,15.0,3.1041756,3.112,1.071085,1.583,14.736,15.0
花蓮縣,2024,10,28,花蓮,0.87674737,0.879,0.23116244,0.233,45.49137,45.962,46.53483,46.862,19.262577,19.458,2.8055286,2.812,3.4778423,3.5,19.263,19.458
花蓮縣,2024,10,29,花蓮,1.3804588,1.371,0.20696397,0.208,36.269825,36.388,32.951237,33.142,18.19921,18.545,4.270182,4.271,3.399393,3.435,18.199,18.545
花蓮縣,2024,10,30,花蓮,1.6485136,1.204,0.12379152,0.124,30.15281,30.462,32.08218,32.278,50.306267,50.174,1.1187994,0.761,8.375801,8.522,51.3,51.171
花蓮縣,2024,10,31,花蓮,1.9249659,0.952,0.2222141,0.225,33.443787,33.596,32.362286,32.35,33.47084,34.0,3.339811,3.358,11.316071,11.5,36.74,37.338
花蓮縣,2024,11,1,花蓮,0.42421702,0.471,0.2781997,0.281,32.19717,32.154,32.30566,32.517,15.628097,15.875,5.3426747,5.346,3.065632,3.167,15.628,15.875
花蓮縣,2024,11,2,花蓮,0.6052244,0.638,0.28987303,0.292,35.160908,35.279,34.413208,34.467,27.535604,27.75,4.739762,4.742,8.018337,8.125,27.536,27.75
花蓮縣,2024,11,3,花蓮,0.48486894,0.521,0.22811347,0.23,32.15908,32.321,34.68372,34.875,23.81663,24.0,3.4875817,3.496,7.087448,7.208,23.817,24.0
花蓮縣,2024,11,4,花蓮,0.40582302,0.442,0.23422971,0.234,39.326546,39.462,40.197376,40.4,23.514664,23.667,2.8788857,2.9,6.0768237,6.167,23.515,23.667
花蓮縣,2024,11,5,花蓮,0.25962397,0.314,0.18114951,0.182,47.713947,48.421,46.713123,47.288,28.030218,28.375,2.5395193,2.542,5.462849,5.542,28.03,28.375
花蓮縣,2024,11,6,花蓮,1.1198109,1.129,0.24888587,0.25,40.067745,40.248,38.60641,38.89,18.392199,18.591,4.8219786,4.843,3.475593,3.5,18.392,18.591
花蓮縣,2024,11,7,花蓮,0.89986086,0.922,0.35831133,0.361,24.024086,24.012,20.701487,20.761,15.314835,15.417,9.690801,9.735,2.6966178,2.708,16.151,16.225
花蓮縣,2024,11,8,花蓮,0.78455055,0.8,0.22309332,0.225,21.3439,21.262,23.939882,24.062,13.098434,13.167,4.079217,4.083,2.1729167,2.125,13.098,13.167
花蓮縣,2024,11,9,花蓮,1.2702053,1.258,0.2854976,0.288,27.754587,27.867,28.137735,28.288,14.361476,14.5,5.6871896,5.733,2.175351,2.208,14.361,14.5
花蓮縣,2024,11,10,花蓮,1.5590583,1.529,0.25900084,0.259,29.419207,29.479,28.166882,28.308,22.393719,22.458,6.0290895,6.042,5.9837418,6.042,22.394,22.458
花蓮縣,2024,11,11,花蓮,1.0333608,1.038,0.22843717,0.23,14.619777,14.525,12.7915125,12.521,13.4781,13.625,6.51265,6.517,3.4588678,3.583,13.478,13.625
花蓮縣,2024,11,12,花蓮,0.78066766,0.792,0.22007616,0.222,17.001917,17.017,16.79941,16.7,16.096693,16.261,5.1825767,5.179,2.1862786,2.217,16.097,16.261
花蓮縣,2024,11,13,花蓮,1.162984,1.158,0.17858154,0.18,9.117542,8.908,8.574004,8.287,21.835623,21.875,3.8320317,3.871,4.4778204,4.583,21.836,21.875
花蓮縣,2024,11,14,花蓮,2.1200478,2.058,0.14881669,0.149,8.800955,5.825,8.328527,5.808,17.866272,18.083,2.7532241,2.742,3.7055686,3.792,17.866,18.083
花蓮縣,2024,11,15,花蓮,1.7403662,1.7,0.16223031,0.162,12.233094,12.392,14.535098,14.517,15.782995,15.917,3.3316479,3.333,2.5636582,2.667,15.783,15.917
