datacreationdate,sitename,aqi_2,calc_AQI
2024-10-16,三義,46.042,51.951
2024-10-17,三義,39.042,33.68
2024-10-18,三義,70.625,46.991
2024-10-19,三義,58.417,55.554
2024-10-20,三義,35.208,48.446
2024-10-21,三義,32.75,26.054
2024-10-22,三義,28.667,29.346
2024-10-23,三義,36.708,18.475
2024-10-24,三義,40.25,26.947
2024-10-25,三義,35.833,15.869
2024-10-26,三義,50.375,26.442
2024-10-27,三義,40.167,47.539
2024-10-28,三義,30.208,32.687
2024-10-29,三義,38.875,33.809
2024-10-30,三義,41.583,28.882
2024-10-31,三義,27.208,18.862
2024-11-01,三義,31.583,9.47
2024-11-02,三義,29.25,23.548
2024-11-03,三義,36.583,29.691
2024-11-04,三義,39.667,40.16
2024-11-05,三義,41.417,34.623
2024-11-06,三義,43.167,31.086
2024-11-07,三義,39.5,23.152
2024-11-08,三義,34.042,23.509
2024-11-09,三義,27.333,22.58
2024-11-10,三義,23.292,20.976
2024-11-11,三義,27.917,24.041
2024-11-12,三義,20.5,29.801
2024-11-13,三義,56.708,23.905
2024-11-14,三義,86.542,57.729
2024-11-15,三義,82.333,65.66
2024-11-16,三義,41.958,56.23
2024-11-17,三義,24.458,33.86
2024-11-18,三義,35.333,27.731
2024-11-19,三義,28.417,23.688
2024-11-20,三義,27.083,19.538
2024-11-21,三義,28.333,23.401
2024-11-22,三義,33.667,20.213
2024-11-23,三義,40.458,24.994
2024-11-24,三義,32.083,37.564
2024-11-25,三義,49.917,29.354
2024-11-26,三義,32.875,52.869
2024-11-27,三義,38.167,29.93
2024-11-28,三義,38.708,39.682
2024-11-29,三義,45.333,41.177
2024-10-16,中山,28.292,24.834
2024-10-17,中山,37.917,25.152
2024-10-18,中山,40.958,24.871
2024-10-19,中山,29.167,41.294
2024-10-20,中山,33.917,24.316
2024-10-21,中山,32.375,31.558
2024-10-22,中山,33.167,29.654
2024-10-23,中山,47.0,32.487
2024-10-24,中山,32.583,37.459
2024-10-25,中山,27.167,31.816
2024-10-26,中山,19.292,23.222
2024-10-27,中山,18.625,22.491
2024-10-28,中山,29.958,23.464
2024-10-29,中山,40.417,31.724
2024-10-30,中山,33.917,38.104
2024-10-31,中山,27.125,30.455
2024-11-01,中山,35.917,20.134
2024-11-02,中山,30.958,32.297
2024-11-03,中山,54.375,28.818
2024-11-04,中山,36.583,44.799
2024-11-05,中山,43.667,32.709
2024-11-06,中山,43.167,45.413
2024-11-07,中山,33.583,39.214
2024-11-08,中山,32.375,29.655
2024-11-09,中山,24.167,28.14
2024-11-10,中山,24.833,26.688
2024-11-11,中山,27.208,25.698
2024-11-12,中山,26.542,25.944
2024-11-13,中山,25.917,25.641
2024-11-14,中山,14.333,25.185
2024-11-15,中山,93.375,22.509
2024-11-16,中山,37.833,51.858
2024-11-17,中山,22.917,26.592
2024-11-18,中山,34.5,29.518
2024-11-19,中山,31.875,33.111
2024-11-20,中山,29.375,27.683
2024-11-21,中山,31.667,26.806
2024-11-22,中山,35.042,26.253
2024-11-23,中山,51.083,30.157
2024-11-24,中山,31.792,37.774
2024-11-25,中山,38.667,28.535
2024-11-26,中山,40.667,42.502
2024-11-27,中山,46.292,36.654
2024-11-28,中山,47.75,45.836
2024-11-29,中山,44.417,46.956
2024-10-16,二林,53.667,62.806
2024-10-17,二林,60.958,47.339
2024-10-18,二林,75.458,63.182
2024-10-19,二林,73.208,54.18
2024-10-20,二林,47.042,55.668
2024-10-21,二林,41.333,41.585
2024-10-22,二林,51.208,42.699
2024-10-23,二林,67.958,31.372
2024-10-24,二林,44.417,31.46
2024-10-25,二林,38.917,26.296
2024-10-26,二林,52.958,32.356
2024-10-27,二林,59.417,45.809
2024-10-28,二林,33.875,58.368
2024-10-29,二林,44.833,31.17
2024-10-30,二林,44.208,44.732
2024-10-31,二林,31.417,32.049
2024-11-01,二林,37.292,14.859
2024-11-02,二林,39.292,46.822
2024-11-03,二林,55.667,53.86
2024-11-04,二林,60.458,62.123
2024-11-05,二林,47.292,59.001
2024-11-06,二林,44.583,52.532
2024-11-07,二林,42.167,37.083
2024-11-08,二林,36.25,43.187
2024-11-09,二林,30.167,35.54
2024-11-10,二林,29.042,41.064
2024-11-11,二林,34.292,34.422
2024-11-12,二林,35.75,43.129
2024-11-13,二林,68.583,49.813
2024-11-14,二林,73.208,73.136
2024-11-15,二林,84.917,77.953
2024-11-16,二林,40.75,66.884
2024-11-17,二林,25.958,36.389
2024-11-18,二林,34.833,27.639
2024-11-19,二林,29.5,25.863
2024-11-20,二林,30.5,29.01
2024-11-21,二林,25.542,29.489
2024-11-22,二林,30.625,20.882
2024-11-23,二林,43.708,30.692
2024-11-24,二林,33.75,53.45
2024-11-25,二林,54.0,55.389
2024-11-26,二林,33.5,65.362
2024-11-27,二林,50.625,39.578
2024-11-28,二林,46.75,46.058
2024-11-29,二林,53.542,54.393
2024-10-16,仁武,71.167,56.956
2024-10-17,仁武,67.417,56.659
2024-10-18,仁武,68.417,59.678
2024-10-19,仁武,91.917,59.781
2024-10-20,仁武,69.667,63.537
2024-10-21,仁武,64.917,60.33
2024-10-22,仁武,74.458,59.143
2024-10-23,仁武,68.083,65.03
2024-10-24,仁武,50.875,65.8
2024-10-25,仁武,49.958,61.783
2024-10-26,仁武,69.708,59.336
2024-10-27,仁武,44.083,60.74
2024-10-28,仁武,33.167,55.083
2024-10-29,仁武,62.875,51.678
2024-10-30,仁武,69.083,61.263
2024-10-31,仁武,40.917,68.377
2024-11-01,仁武,63.542,55.477
2024-11-02,仁武,59.792,71.741
2024-11-03,仁武,75.667,65.866
2024-11-04,仁武,85.208,70.786
2024-11-05,仁武,75.25,72.573
2024-11-06,仁武,69.917,68.308
2024-11-07,仁武,64.292,68.502
2024-11-08,仁武,64.083,67.557
2024-11-09,仁武,85.458,62.756
2024-11-10,仁武,79.75,70.377
2024-11-11,仁武,77.958,68.735
2024-11-12,仁武,85.292,71.877
2024-11-13,仁武,74.958,66.326
2024-11-14,仁武,78.833,74.673
2024-11-15,仁武,125.542,77.354
2024-11-16,仁武,51.958,78.621
2024-11-17,仁武,54.792,65.352
2024-11-18,仁武,60.458,71.74
2024-11-19,仁武,67.208,71.44
2024-11-20,仁武,70.792,76.625
2024-11-21,仁武,73.542,83.196
2024-11-22,仁武,66.25,84.737
2024-11-23,仁武,84.667,85.542
2024-11-24,仁武,96.458,88.646
2024-11-25,仁武,74.292,89.878
2024-11-26,仁武,68.417,82.764
2024-11-27,仁武,70.5,79.588
2024-11-28,仁武,61.458,82.144
2024-11-29,仁武,56.875,80.756
2024-10-16,冬山,20.958,29.193
2024-10-17,冬山,23.708,19.974
2024-10-18,冬山,25.167,21.537
2024-10-19,冬山,26.042,22.983
2024-10-20,冬山,38.167,25.079
2024-10-21,冬山,28.208,27.579
2024-10-22,冬山,27.167,18.251
2024-10-23,冬山,38.542,25.219
2024-10-24,冬山,36.667,34.918
2024-10-25,冬山,29.208,14.614
2024-10-26,冬山,17.792,15.061
2024-10-27,冬山,20.25,14.532
2024-10-28,冬山,29.333,18.161
2024-10-29,冬山,37.125,21.193
2024-10-30,冬山,33.167,25.023
2024-10-31,冬山,34.625,18.662
2024-11-01,冬山,31.917,18.901
2024-11-02,冬山,27.125,21.482
2024-11-03,冬山,44.0,22.525
2024-11-04,冬山,33.542,36.198
2024-11-05,冬山,35.25,28.439
2024-11-06,冬山,36.75,31.321
2024-11-07,冬山,27.625,25.279
2024-11-08,冬山,27.833,16.938
2024-11-09,冬山,20.917,16.65
2024-11-10,冬山,28.0,15.139
2024-11-11,冬山,27.417,14.928
2024-11-12,冬山,20.5,17.508
2024-11-13,冬山,19.25,13.592
2024-11-14,冬山,14.542,16.057
2024-11-15,冬山,11.833,14.037
2024-11-16,冬山,22.083,9.432
